Date,Open,High,Low,Close,Volume
20150303,48.607,48.607,47.7832,48.2208,6529869
20150304,48.4989,49.1013,47.2631,47.6184,10265085
20150305,47.7832,50.1569,47.3815,49.7141,15468343
20150309,49.7398,51.2691,48.8645,49.194,14754737
20150310,49.4309,49.9458,49.0344,49.3382,7554932
20150311,49.3279,50.9447,48.6585,50.1466,11302533
20150312,50.2496,51.0683,49.642,50.7181,9431870
20150313,50.955,52.4585,50.059,51.1661,20527971
20150316,51.1815,51.3772,49.0344,49.9355,17836381
20150317,50.4401,50.8932,50.0487,50.5688,20881781
20150318,50.7696,51.6913,50.1517,50.3577,7641764
20150319,50.8675,51.6913,50.7696,51.3927,11558994
20150320,51.4905,51.9951,50.1569,50.4401,8349202
20150323,50.1775,50.9189,49.7398,49.9715,5221985
20150324,49.9973,50.3474,49.0859,49.4772,4275338
20150325,49.4772,49.5493,48.71,49.1168,5009953
20150326,49.1168,49.3536,47.8089,48.1282,7720822
20150327,48.6894,49.3691,47.7832,48.6946,5328705
20150330,48.916,51.6964,48.7151,51.403,10839071
20150331,51.8973,53.545,51.7479,53.0301,16183169
20150401,53.3956,53.5192,52.0157,52.3195,9995381
20150406,52.4328,53.2927,52.0208,52.8756,10678938
20150407,53.0352,53.1845,51.9436,52.3298,6254286
20150408,52.7263,52.7263,51.82,52.1393,8913891
20150409,52.3143,53.7252,52.0002,52.5924,12018412
20150410,52.6233,52.9322,52.129,52.3967,4575191
20150413,52.613,52.9219,52.0569,52.4019,7514480
20150415,52.4173,53.9466,52.129,52.7366,20724077
20150416,52.8292,53.3081,50.9756,52.0569,9197249
20150417,52.2989,54.3637,52.129,53.3544,18428336
20150420,53.8488,55.0588,53.4574,53.8024,21721584
20150421,53.9878,54.3431,51.3566,51.6604,20926408
20150422,51.9848,52.1702,49.2352,50.3319,14370811
20150423,50.5636,51.0271,49.1116,49.3021,9826922
20150424,49.3742,49.3742,47.5824,48.1024,11116327
20150427,48.5813,48.6122,46.2076,46.8409,14735804
20150428,46.846,48.0767,44.7658,47.7265,28353777
20150429,50.4607,51.2691,48.4989,49.3382,22355523
20150430,49.436,52.51,48.71,51.9179,23935812
20150504,52.4173,52.8189,51.2227,51.7119,7142916
20150505,51.9848,52.7263,51.3875,51.923,6812733
20150506,51.7994,53.1433,49.6059,50.4504,11069888
20150507,49.9355,50.5276,47.2683,48.4474,16886333
20150508,49.4412,50.4092,48.5504,50.0179,12776769
20150511,50.5585,52.9528,50.4607,52.7057,11841940
20150512,52.8292,53.2103,49.6162,50.1981,32972837
20150513,50.9189,52.304,50.6924,51.6089,20462444
20150514,51.336,51.4699,50.6357,51.0477,10840405
20150515,51.197,52.0054,50.6821,51.0065,7861537
20150518,51.6964,52.2628,51.13,51.4493,10837877
20150519,51.1249,51.336,49.4309,49.678,14545076
20150520,49.8788,49.8943,48.4011,48.8696,20747794
20150521,49.2146,49.2146,47.881,48.4114,18414567
20150522,48.71,49.9303,48.5092,49.3021,10219445
20150525,49.3176,49.8634,48.813,49.1271,5421022
20150526,49.0601,49.2249,48.02,48.4268,10132448
20150527,48.1024,48.916,47.9994,48.7872,7583129
20150528,48.8902,49.3536,48.1951,48.7872,8852514
20150529,49.0189,50.3886,48.9675,50.1466,14940663
20150601,50.0899,50.2959,48.6379,48.849,7630770
20150602,49.0138,49.1477,48.1333,48.2878,6362151
20150603,48.2981,49.0189,47.1859,48.4474,8960321
20150604,48.9366,49.6265,47.8295,48.2517,7601329
20150605,48.1848,48.5349,47.1653,47.8141,8563227
20150608,48.2775,48.2775,46.5474,46.8203,8673843
20150609,46.4496,47.5051,46.3981,47.2837,7945932
20150610,47.5257,50.4504,47.3764,50.229,27255618
20150611,50.5843,50.8417,48.71,49.0498,15526698
20150612,48.9983,49.6832,48.5298,48.6482,6003688
20150615,48.8954,50.0745,48.8233,49.4978,6057275
20150616,49.4772,50.2496,48.71,49.9509,6080465
20150617,50.4349,50.6151,49.7398,49.884,8033983
20150618,50.1208,50.9653,50.023,50.4607,8389061
20150619,50.6872,51.439,50.3268,50.8623,10722370
20150622,50.9859,51.7685,50.8211,51.3927,7082420
20150623,51.4596,51.7119,50.9086,51.4802,4291586
20150624,51.7582,53.03,51.4081,52.7005,20481220
20150625,52.6542,53.8333,52.4688,53.1639,25627054
20150626,53.0352,53.8385,52.4276,52.958,12016955
20150629,49.1219,52.8138,49.1219,52.3658,19853770
20150630,51.9127,53.7458,51.9127,53.4162,12403516
20150701,53.4162,54.2298,52.8807,54.0187,11714467
20150702,54.3225,54.7704,53.962,54.4151,9561328
20150703,54.5799,54.6623,53.7406,54.3225,5268712
20150706,51.7634,54.1577,51.7273,53.8436,11272944
20150707,53.8591,54.3688,52.5975,52.9889,7243954
20150708,52.5203,52.6233,51.6347,51.9385,10973660
20150709,51.7067,52.6851,51.5986,51.7582,5999480
20150710,52.0054,52.3092,51.4956,51.9076,6840230
20150713,51.645,54.5696,51.645,54.4254,11366809
20150714,54.5799,54.5902,53.3956,53.9208,5611585
20150715,53.6634,53.9311,53.0558,53.4832,8275563
20150716,53.962,54.3739,53.5501,53.8642,6657293
20150717,54.271,55.5685,53.9105,54.4563,9734868
20150720,54.9506,55.687,54.204,55.2441,7653129
20150721,55.3008,55.481,54.1937,54.5078,5185108
20150722,54.5284,55.1875,53.3699,53.8796,7723350
20150723,55.5096,56.1333,53.0148,54.5039,5782457
20150724,54.8859,54.8859,52.8589,53.085,4145817
20150727,53.3266,53.6229,51.1671,51.4088,6587302
20150728,51.8999,52.8043,51.3386,51.8142,6084816
20150729,52.3053,53.3266,51.8453,52.8745,8753955
20150730,53.311,53.7087,52.3131,52.5236,9266219
20150731,53.311,54.4493,52.7029,54.1764,8599605
20150803,54.5351,55.5018,53.4358,54.4883,4678614
20150804,54.9561,58.7685,54.769,58.3241,27813865
20150805,59.1661,61.4192,58.7061,60.9904,21453723
20150806,61.5595,61.7466,56.8038,57.8095,45972720
20150807,57.8875,58.0122,53.3578,54.3791,49111700
20150810,54.5351,55.1354,53.0304,53.389,16577276
20150811,53.9036,54.4727,52.4691,54.2466,16221224
20150812,53.9893,54.348,52.4067,52.8511,12663411
20150813,53.4046,53.9036,52.2352,52.6016,11326583
20150814,53.1317,53.8724,52.6328,53.5215,14760438
20150817,53.8334,53.8958,52.7263,53.2331,12733899
20150818,53.4826,54.0907,53.0772,53.2175,6935092
20150819,53.4202,53.4514,52.547,52.6717,7346864
20150820,52.7029,53.085,50.7227,51.0969,9887698
20150821,50.6525,50.6525,45.9903,50.0756,25536525
20150824,47.5574,49.2726,45.3744,46.0917,29807573
20150825,46.6452,47.612,42.4118,46.3022,26955134
20150826,46.3568,48.1655,44.2518,45.2341,19115716
20150827,46.7778,49.7403,46.1073,49.101,21019809
20150828,49.7481,50.2861,48.5943,49.296,9815854
20150831,49.0777,49.101,47.0116,47.3235,16495555
20150901,47.0584,47.0584,44.3765,45.2341,22698333
20150902,45.9591,46.9337,44.93,45.7876,17674641
20150903,46.2554,47.7523,46.2554,47.1598,12247483
20150904,46.5595,46.5595,44.9066,45.7642,17311967
20150907,45.9202,46.4659,42.8796,43.1681,17651978
20150908,43.1915,44.8755,42.1701,43.8619,17991889
20150909,44.8599,44.9066,43.8152,44.4623,12217513
20150910,43.8152,43.8931,42.9108,43.0667,11858644
20150911,43.3318,44.088,43.1135,43.4799,10394142
20150914,43.7996,44.0101,43.2694,43.6047,7246021
20150915,43.6281,44.4077,42.8796,43.9945,9003367
20150916,44.2829,44.4155,42.8172,43.0745,9538288
20150918,43.4643,45.4056,43.363,44.2907,14134595
20150921,43.6592,44.2751,40.2912,40.8916,46164749
20150922,40.4628,40.4628,37.2585,37.7263,110535268
20150923,35.8629,38.771,35.5901,38.4201,109983042
20150924,38.8567,40.2601,38.8255,39.1296,72466820
20150928,39.7611,39.7923,36.6426,37.2039,43590919
20150929,35.8552,37.7341,35.6057,36.4009,32910208
20150930,36.9544,37.313,35.785,35.9175,35022174
20151001,36.4555,36.6971,35.0443,35.2392,23756037
20151005,35.5667,37.5469,33.8437,37.1259,67331321
20151006,37.5158,38.0459,36.0968,36.3931,40012426
20151007,36.6426,37.8276,36.549,37.3364,22123718
20151008,36.9232,38.2018,36.7127,37.1571,24465046
20151009,37.3442,38.0459,36.7283,37.5781,17879605
20151012,38.0615,40.1509,37.9368,39.5974,46425839
20151013,39.9794,40.0574,38.8333,39.2855,20782382
20151014,39.2933,39.2933,37.9446,38.1862,14603349
20151015,38.4513,39.6831,37.9368,39.2777,19816627
20151016,38.7632,39.5506,38.5137,39.2777,24652512
20151019,39.2777,39.3089,38.5137,38.7944,10420736
20151020,38.9503,40.8214,38.8099,39.9794,46047200
20151021,40.1899,40.1899,38.9815,39.2777,17466872
20151023,39.5662,39.9014,37.0714,37.6639,31771865
20151026,37.89,38.4201,36.7985,38.2096,23623714
20151027,38.1784,38.3266,37.6639,38.0303,8785551
20151028,37.7185,38.4357,36.9934,37.7964,15842371
20151029,37.773,39.3713,37.5937,39.1686,30428536
20151030,39.2153,39.6441,38.0615,38.35,15376213
20151102,38.4825,38.9893,37.7496,38.2096,10354547
20151103,38.3812,39.192,38.0147,38.3188,17574654
20151104,38.8255,38.8255,37.4612,37.8978,18302335
20151105,37.6639,38.4981,37.3598,37.7964,9283200
20151106,38.2018,42.3417,37.6171,41.5075,68211315
20151109,40.876,44.8521,40.1665,44.3141,59780943
20151110,44.1192,44.1192,41.0475,41.3749,31753396
20151113,41.64,42.9732,40.9929,42.6145,28841252
20151116,42.5522,43.3474,42.3339,42.7471,21296463
20151117,42.942,44.1738,42.8952,43.4877,36898569
20151118,43.6436,44.2829,43.5345,43.9867,23147965
20151119,44.4077,44.9768,44.0179,44.6494,30922094
20151120,44.7351,44.7351,43.6592,44.2829,20722721
