Date,Open,High,Low,Close,Volume
20150303,776.7622,792.7382,775.7998,786.3863,409536
20150304,789.1772,821.8992,789.1772,808.4735,129791
20150305,812.1307,926.5133,809.8691,889.5567,535021
20150309,883.4934,894.7536,864.2452,872.3295,293548
20150310,870.8377,881.5686,823.054,833.8811,103127
20150311,833.4478,849.5201,809.3876,820.3109,34777
20150312,818.0495,827.6736,790.8133,793.7486,34300
20150313,796.8762,842.1095,794.5183,816.6057,458436
20150316,819.9744,819.9744,796.8284,806.2119,76642
20150317,809.3876,816.1245,792.1123,798.2236,19821
20150318,800.4374,816.1247,794.9998,808.3292,217727
20150319,815.9803,815.9803,781.4779,786.5305,158652
20150320,785.5679,846.9216,785.5679,816.2689,144771
20150323,808.4253,813.2374,784.7019,793.2673,33526
20150324,800.6778,844.9968,774.7408,834.1216,192206
20150325,841.0511,851.7339,803.8058,810.2058,93656
20150326,809.0992,810.8796,780.5155,786.4344,94743
20150327,781.5741,795.0479,762.2778,787.108,609436
20150330,794.759,813.2373,777.6762,786.7229,94784
20150331,798.7051,811.3127,787.2524,808.3292,59970
20150401,808.0885,811.89,794.5185,806.7411,15141
20150406,816.9908,820.263,800.7261,810.9758,85238
20150407,804.9125,818.9637,788.2147,811.6494,43698
20150408,819.012,822.8616,792.0645,794.1337,33802
20150409,812.1789,812.1789,773.2974,778.8794,110980
20150410,787.2522,792.0643,766.1273,769.6401,91111
20150413,783.8839,813.2374,776.6658,806.0193,154643
20150415,808.5697,841.5323,798.8012,828.6359,121310
20150416,836.9607,893.8873,836.9607,849.087,420933
20150417,854.4285,854.4285,808.4252,813.0929,44345
20150420,802.2658,836.2389,791.198,798.4643,59222
20150421,803.5172,816.606,785.472,813.2856,27927
20150422,820.7923,824.5938,802.747,814.681,65633
20150423,830.1277,855.5835,793.0267,800.8704,100042
20150424,812.9004,826.6629,785.7123,790.4281,91390
20150427,794.1335,805.538,766.6085,771.3243,47874
20150428,774.7407,776.6656,750.6805,754.6745,155309
20150429,764.1544,764.1544,750.6807,751.1138,56433
20150430,751.1619,756.0702,736.2445,740.1423,190327
20150504,753.2791,765.6942,741.0565,744.4249,69230
20150505,745.8686,759.3424,741.0566,745.7724,66463
20150506,745.8686,745.8686,697.8443,713.1948,173107
20150507,720.2687,721.616,697.7001,712.4731,46818
20150508,713.387,720.7013,691.011,703.811,118509
20150511,707.324,714.8789,694.3315,699.2397,153058
20150512,699.2398,716.6113,691.1074,702.8969,94450
20150513,705.2067,711.7029,670.8486,685.1885,177443
20150514,688.1238,696.4005,676.4305,690.0486,171202
20150515,692.936,699.8654,680.4727,693.8503,155943
20150518,692.936,697.6519,684.3706,688.0278,112769
20150519,689.5675,729.5075,689.5675,716.4188,227768
20150520,719.8836,743.9439,716.4189,734.7529,142109
20150521,740.0941,810.4945,731.9618,787.3485,455425
20150522,786.2898,863.2827,769.9288,804.1425,430254
20150525,807.1262,810.3503,752.0282,763.3365,103784
20150526,769.8808,794.9516,750.6807,760.1123,211734
20150527,759.1017,763.1439,739.7091,753.8085,138045
20150528,751.1619,783.3546,742.1152,749.3333,237913
20150529,753.0866,808.4253,746.831,786.0011,540466
20150601,785.2793,797.7425,772.1424,779.5048,57824
20150602,774.8854,784.3651,751.7393,755.589,33691
20150603,756.4551,765.0687,745.9648,756.4551,32260
20150604,756.4551,777.4357,751.4506,762.2777,177179
20150605,750.6805,781.9107,747.0233,759.1016,81297
20150608,756.4551,768.9664,745.8686,753.8566,89130
20150609,762.8072,762.8072,745.8688,755.2042,26557
20150610,748.3227,776.6657,748.3227,771.3243,57492
20150611,773.7787,792.6901,766.1275,783.7396,98803
20150612,788.1184,802.3621,772.9123,790.1395,82147
20150615,798.705,798.705,782.6808,784.5576,25368
20150616,784.365,792.5455,776.7619,779.601,28254
20150617,787.6372,787.6372,777.6281,786.0011,25264
20150618,792.9306,832.4857,786.0012,815.7878,83378
20150619,815.7877,822.6689,799.0898,808.9064,27388
20150622,805.6343,836.3352,791.4387,831.5231,65408
20150623,830.6571,837.2977,805.5382,814.0555,45891
20150624,836.2391,864.2452,825.7969,835.6135,92029
20150625,839.2224,863.2826,832.1005,851.7337,87476
20150626,842.3502,864.245,837.6343,844.4194,79049
20150629,834.218,834.4105,809.5321,815.1622,49715
20150630,811.457,837.2977,811.457,821.9472,54743
20150701,821.8991,845.9594,821.8991,837.3939,37921
20150702,836.2871,858.8075,835.854,841.9172,56315
20150703,843.5535,854.4288,804.8165,814.5368,94714
20150706,798.8013,832.3894,793.9892,821.0811,28606
20150707,819.9742,870.0196,818.0494,853.5624,130170
20150708,848.6541,851.6376,822.8615,828.8284,51259
20150709,836.3353,842.7353,809.7728,815.5953,32556
20150710,823.6314,831.9082,808.4254,810.9758,77391
20150713,817.3277,855.0061,813.2855,843.6015,61253
20150714,853.2256,859.2407,826.6631,830.1758,20217
20150715,837.1533,846.9218,828.0586,837.827,35829
20150716,844.7562,850.7713,837.2975,844.4194,131934
20150717,858.5028,877.9397,848.8567,854.6926,57781
20150720,866.1715,866.1715,838.246,842.3456,20160
20150721,845.4323,855.609,835.3522,837.1849,38159
20150722,844.7088,863.3257,840.1751,857.4417,29758
20150723,861.3968,904.8042,843.3103,869.1619,175638
20150724,868.1007,887.4412,856.7666,865.3998,46557
20150727,866.2197,874.9012,812.6839,849.532,323524
20150728,832.1689,832.1689,792.0411,798.4075,98111
20150729,787.1218,800.3369,765.9968,786.5912,331647
20150730,795.8032,797.6842,781.8164,786.8806,56742
20150731,790.1603,806.4139,783.9385,803.2307,61246
20150803,804.8222,818.9538,801.3496,814.7095,29712
20150804,820.4006,820.4006,803.52,809.9346,31188
20150805,818.8574,839.2106,806.0763,834.6769,88207
20150806,827.6834,843.7442,824.7414,836.9919,55106
20150807,838.3423,845.7216,815.0952,821.6063,29022
20150810,811.2368,836.9919,804.9668,810.4651,43851
20150811,801.7837,815.4811,801.7837,805.6421,17801
20150812,805.6421,805.6421,805.6421,805.6421,0
20150813,803.5681,824.7413,800.8672,802.1694,15117
20150814,804.8221,820.8829,798.5522,810.2722,21203
20150817,810.2722,823.7768,800.6261,810.5616,17181
20150818,819.822,821.3654,802.2661,817.3622,57943
20150819,815.0954,816.06,792.0412,800.9639,33385
20150820,810.2723,810.2723,786.1571,790.3049,16697
20150821,779.453,789.0509,775.5464,781.1411,36587
20150824,766.8648,775.5463,737.9747,745.0646,222735
20150825,747.5727,764.8392,707.9272,722.541,88420
20150826,722.4928,731.5602,675.2269,702.6701,601906
20150827,713.7148,734.0681,691.4323,724.6149,154790
20150828,735.901,753.3604,722.1553,742.2674,36386
20150831,742.2674,742.2674,715.403,723.5539,47596
20150901,724.4703,734.0682,715.6924,723.0234,23093
20150902,743.2318,755.7718,708.9882,729.9202,172539
20150903,716.705,731.126,709.3258,719.5989,32410
20150904,722.4928,725.9654,706.0945,714.583,40427
20150907,709.4223,713.8112,703.2488,705.3227,126128
20150908,718.6345,739.8559,705.3228,730.7885,120730
20150909,741.785,789.0509,735.0328,781.1893,107112
20150910,768.7941,768.7941,742.7496,755.0966,32320
20150911,756.3506,774.0994,727.7982,738.8912,84884
20150914,742.7496,745.4022,724.7113,726.6406,19323
20150915,721.0459,741.785,710.194,723.5056,35884
20150916,739.8559,740.7723,708.9883,725.8208,37049
20150918,733.1035,831.6385,713.8113,765.2733,569611
20150921,750.4664,759.1961,742.7013,750.1288,34859
20150922,753.2639,783.2632,753.2639,763.9228,56975
