Date,Open,High,Low,Close,Volume
20150303,617.1652,627.7289,607.7236,622.0964,262430
20150304,628.0358,641.624,623.5605,639.9364,452810
20150305,639.9584,645.7838,635.2508,639.6033,303840
20150309,639.6953,650.9165,634.2601,647.3485,215760
20150310,647.5765,657.9298,644.2934,648.4751,182580
20150311,647.8132,652.7356,635.8381,638.2664,193450
20150312,639.9671,646.9627,639.9671,642.4918,137010
20150313,644.8107,645.0168,635.9302,639.8708,215150
20150316,644.1574,644.1574,636.0133,637.9244,127230
20150317,639.9583,648.7249,639.9583,647.7825,270940
20150318,649.6016,650.4783,645.7443,649.4614,496110
20150319,650.4782,650.4782,641.7993,645.8626,270130
20150320,648.7249,648.7249,633.3834,636.8111,274460
20150323,638.5557,638.5907,621.5486,625.3971,236250
20150324,629.8768,630.3152,612.782,615.5566,267750
20150325,611.2039,621.9824,611.2039,617.3229,271320
20150326,615.4121,616.3676,593.0573,600.0881,423610
20150327,604.7168,606.3781,593.5833,597.4449,262430
20150330,599.6322,613.571,599.6322,608.7494,451930
20150331,609.2754,625.2306,598.5452,609.0431,642000
20150401,618.1296,618.9142,602.2621,606.9216,137490
20150406,612.6857,626.8086,607.2066,624.297,249130
20150407,624.3014,628.9959,619.2825,627.4617,177180
20150408,626.4577,628.3996,614.5353,617.7087,126950
20150409,618.9186,623.4772,618.9186,622.5129,304670
20150410,624.3538,625.9055,619.3569,622.2936,449570
20150413,624.1741,624.1741,619.4621,622.298,295020
20150415,622.5129,623.2449,615.8503,619.655,234270
20150416,619.6549,621.9868,612.7819,616.008,264060
20150417,615.7846,618.3049,612.782,613.7332,143460
20150420,613.7464,614.5354,604.8922,609.556,152580
20150421,613.6412,613.6412,601.8239,603.827,111330
20150422,603.7524,608.3987,598.3435,602.4418,173740
20150423,607.8728,607.8728,601.9115,605.6548,358270
20150424,609.2754,609.2754,594.3811,600.4869,106390
20150427,600.4213,602.0869,592.6979,600.3423,342390
20150428,599.6322,600.5001,595.7267,599.3561,253260
20150429,603.1345,603.1345,572.0177,575.5637,416550
20150430,575.5418,588.2314,572.0966,576.1906,429190
20150504,583.8524,597.0023,580.6439,596.2527,169410
20150505,596.9146,599.1939,593.671,596.7743,145820
20150506,596.9496,597.8788,592.2902,596.3666,174330
20150507,600.5088,600.5088,589.5506,593.2808,285090
20150508,592.7065,602.2577,592.7065,595.8011,224520
20150511,601.1137,602.2621,592.8994,596.6778,393580
20150512,597.1951,600.0705,585.6057,587.7491,380690
20150513,587.8235,597.059,582.9756,587.4904,345110
20150514,587.7974,606.6191,587.7974,600.9034,202420
20150515,602.7005,618.0419,601.3986,616.4026,231380
20150518,622.434,644.2539,608.4864,620.4396,376660
20150519,624.7647,629.864,607.3857,618.4907,261140
20150520,622.0105,626.1991,603.206,612.5862,302550
20150521,604.9569,615.8771,601.0059,611.4686,309070
20150522,611.5654,626.4805,609.6339,615.6044,423960
20150525,609.4534,617.1882,607.6055,610.3861,129150
20150526,612.4452,615.349,575.0561,598.8367,628400
20150527,598.8367,627.8443,596.2541,621.4647,617000
20150528,623.8847,634.4441,612.0493,621.038,342150
20150529,615.2611,621.038,577.6696,594.1027,1083380
20150601,589.5666,592.4704,574.691,586.9443,683230
20150602,595.9022,615.9562,594.4195,598.652,751540
20150603,571.9675,574.8713,526.2101,544.4207,3904440
20150604,517.4106,532.3698,510.4194,528.3616,4304770
20150605,513.0109,538.9694,502.5394,528.9907,7561890
20150608,514.7708,514.7708,484.0605,490.0442,3448690
20150609,491.9229,538.5295,486.1725,524.8331,5688810
20150610,532.361,549.0888,529.8399,533.2805,2471500
20150611,541.9524,554.8965,525.8361,542.4628,3028020
20150612,544.2051,544.2051,521.4012,535.6432,1046990
20150615,532.1938,532.3698,518.5018,524.0147,730670
20150616,519.0827,519.0827,506.4114,509.0205,874820
20150617,505.5313,519.1705,497.2598,513.7941,1405170
20150618,516.0028,539.2334,514.7708,535.1548,1189690
20150619,528.85,556.5685,528.85,552.6967,1458410
20150622,552.2567,564.1492,546.889,554.0694,789440
20150623,553.4885,553.4885,536.7783,539.2201,543830
20150624,541.1693,542.3264,526.3069,528.3308,550280
20150625,528.41,532.2818,511.273,513.5785,1365130
20150626,521.1064,525.3302,516.5307,524.2874,758630
20150629,512.615,535.6697,512.615,534.2222,820960
20150630,529.906,562.4642,529.906,558.9619,2526930
20150701,563.168,571.4395,538.1774,540.6808,1689990
20150702,550.8443,560.9681,546.8889,549.2296,1113290
20150703,555.6841,558.324,541.2573,542.5069,897650
20150706,545.5647,545.5647,534.5698,538.556,386210
20150707,544.6891,544.6891,533.2497,535.4364,635270
20150708,533.25,533.2676,524.4593,527.6095,1090010
20150709,534.5695,536.6814,528.0579,530.6053,708190
20150710,533.2497,534.1296,521.4627,524.7494,920720
20150713,529.73,529.73,518.7306,524.0543,657450
20150714,527.0813,527.4421,522.2724,523.8431,407380
20150715,520.9304,527.5828,520.9304,525.1453,1014010
20150716,527.0858,531.9739,525.7747,530.214,355370
20150717,529.7299,538.9693,529.7255,534.8864,528520
20150720,537.2052,539.5679,533.0475,534.2222,199530
20150721,536.7653,537.4604,532.3699,533.9978,226460
20150722,532.1938,532.1938,525.6822,527.1429,262330
20150723,527.97,534.1209,527.9172,533.2849,313370
20150724,532.5458,538.921,527.97,530.9531,305320
20150727,536.7695,554.9713,530.8738,550.9719,1132390
20150728,551.2887,554.3685,542.8412,544.9047,538870
20150729,545.5691,550.3737,535.2209,541.4026,731260
20150730,530.7904,562.2882,526.2499,557.1141,1769790
20150731,546.449,562.2881,546.449,559.4195,1119550
20150803,561.8481,571.9675,547.3333,556.6783,1087920
20150804,558.7595,561.7249,556.1461,558.8255,1057710
20150805,598.3658,615.7888,579.9045,601.7404,3645550
20150806,574.9329,580.415,567.5677,570.7443,1732950
20150807,576.1912,577.2471,574.2157,576.244,693390
20150810,576.3673,577.8896,558.5087,562.1473,620310
20150811,568.4785,568.7954,554.3686,555.8953,512370
20150812,547.7689,558.7683,528.5904,548.5873,1144370
20150813,554.3687,574.8715,548.5611,555.8866,5060850
20150814,562.9921,562.9921,550.0656,551.6232,638540
20150817,551.623,552.6042,539.4093,539.8845,454170
20150818,545.657,546.185,540.2893,542.4628,633900
20150819,545.5692,545.5692,535.1198,536.6553,591660
20150820,538.9651,543.8092,535.5157,541.2486,655410
20150821,534.5697,545.1291,533.2498,535.9556,369490
20150824,534.8336,546.3389,527.53,531.1378,785840
20150825,536.3252,547.3994,530.522,542.3485,505680
20150826,542.9249,545.556,532.3699,533.6194,569830
20150827,542.4894,543.3693,530.61,532.9859,359800
20150828,536.7695,540.2893,531.4898,537.1787,431700
20150831,536.7653,537.2053,523.5704,524.9255,694080
20150901,522.2504,530.4735,520.0505,528.2868,348520
20150902,531.5778,533.8833,519.4829,521.8104,405750
20150903,530.5659,534.5432,514.7708,531.0894,517990
20150904,532.3697,533.6852,524.4853,527.5828,195380
20150907,528.2341,530.61,524.4503,528.0889,310040
20150908,526.2981,528.3308,517.4106,519.3641,372890
20150909,522.6861,527.5302,521.9029,526.791,262340
20150910,527.97,529.2856,525.3258,528.4188,229460
20150911,528.058,533.2497,524.5558,528.08,141920
20150914,529.7301,534.0418,527.9702,532.9419,184570
20150915,531.4855,535.8897,527.9701,529.906,213650
20150916,535.6257,540.1134,528.3089,536.4484,520250
20150918,536.4484,550.8488,536.4484,548.7985,648940
20150921,550.4088,550.4088,542.9292,543.5276,99140
20150922,547.3291,554.3687,538.9696,541.033,253320
20150923,543.7123,558.799,533.2497,547.3113,314490
20150924,553.3127,553.3127,541.3762,546.6295,268460
20150928,549.5288,552.4326,541.4332,547.2673,278130
20150929,544.5131,549.9688,537.7375,543.774,241870
20150930,549.9688,562.992,546.7482,560.3214,548710
20151001,560.0001,566.1598,556.4055,565.1478,303090
20151005,567.5679,570.3838,565.456,570.0846,294330
20151006,570.2077,573.6395,565.368,571.5496,232360
20151007,571.0878,571.0878,555.6622,557.6729,369340
20151008,562.4641,564.84,557.9191,560.3038,89720
20151009,560.2642,567.4798,558.9926,564.6243,148750
20151012,564.6642,565.8125,548.2091,550.5057,240600
20151013,551.4647,555.9173,537.2227,541.3409,462650
20151014,545.4811,549.7928,537.7375,546.5062,156190
20151015,545.1291,550.7564,541.2133,546.1411,241090
20151016,549.9689,586.9225,542.9293,576.8074,3173730
20151019,580.591,582.0342,567.7658,571.3516,719120
20151020,580.6263,585.0348,572.8915,575.1794,731530
20151021,575.9275,583.3191,566.6968,568.7383,599550
20151023,576.3674,576.3674,555.3542,556.8897,390670
20151026,559.4723,564.928,552.6087,555.8029,334160
20151027,563.0801,564.048,558.3283,559.1643,333260
20151028,560.5283,561.4126,554.3686,557.6596,298440
20151029,557.6684,560.5283,550.1405,553.5327,477750
20151030,548.209,551.0248,541.1694,543.2725,510200
20151102,542.0494,556.0406,541.1694,552.2612,296900
20151103,554.2806,556.1284,546.0222,547.131,285000
20151104,549.9689,569.6799,547.3071,550.0701,1573710
20151105,550.8488,554.2807,541.1694,542.5465,383090
20151106,545.4809,548.6443,541.2571,542.8367,160500
20151109,538.9695,545.5648,536.6817,537.7728,516830
20151110,544.689,544.689,532.3697,534.332,328280
20151113,541.5916,544.3371,529.202,530.9794,1157910
20151116,532.3698,534.1297,524.6702,526.7777,1101970
20151117,528.4099,540.1001,523.6582,535.4144,675710
20151118,537.2095,539.8406,533.9537,535.212,278000
20151119,537.5615,556.3924,535.454,552.6218,611480
20151120,551.5528,552.5208,543.8093,545.2392,199340
20151123,545.4813,547.8571,537.6497,540.4303,282030
20151124,542.2694,542.2694,532.3699,532.9287,330230
20151126,534.4728,540.2892,528.4979,530.0422,721890
20151127,529.8179,531.7758,519.6589,523.4823,1137080
20151130,519.1706,524.8155,514.7709,515.6552,1423810
20151201,515.5539,523.5702,515.5539,517.3358,500000
20151202,517.8682,520.9304,513.442,516.3635,598270
20151203,515.6506,515.6506,512.1308,513.53,662200
20151204,513.5388,519.7865,510.8242,515.3911,412180
20151207,518.9945,520.0505,512.1133,518.6074,175950
20151208,518.5546,519.1441,512.1309,512.6017,504080
20151209,512.7558,514.6829,506.1958,506.8249,1200580
20151210,506.8513,512.131,505.9713,507.7884,285790
20151211,509.2001,523.2611,508.7016,521.3419,534520
20151214,521.4876,521.4876,510.2415,518.8272,277430
20151215,521.2318,521.4965,512.9416,515.1962,345190
20151216,519.6436,521.9378,513.6432,514.2963,314150
20151217,514.6138,522.3744,513.6255,519.1449,279110
20151218,520.3493,520.3493,496.7893,500.5836,614570
20151221,504.2898,505.7899,499.8954,500.7028,280160
20151222,503.3985,507.2899,501.2014,505.6134,191300
20151223,508.7017,511.2607,505.6133,509.8488,122530
20151224,509.584,511.6135,505.1721,509.6635,140430
20151228,509.6723,516.2594,507.3781,512.2004,222860
20151229,514.3491,516.6433,511.3533,515.2491,141600
20151230,516.202,517.0844,510.9164,515.3063,192550
20151231,517.3183,517.9713,512.0989,514.2608,192100
20160101,513.5592,516.202,509.584,510.4797,120850
20160104,513.0254,514.1725,498.7306,500.3012,354260
20160105,506.4074,506.4074,498.5541,499.6483,271120
20160106,499.9747,505.5736,498.9953,504.6868,553720
20160107,505.6089,505.6089,496.0305,497.5791,222200
20160108,502.0839,502.1721,495.4659,497.0145,444650
20160111,496.3481,496.3481,479.6311,482.6048,500600
20160112,486.6417,486.6417,477.2133,480.0104,564650
20160113,482.2298,487.9653,476.5295,485.4196,618740
20160114,481.7886,496.8071,479.3179,495.5673,348300
20160115,494.1421,496.7892,491.6758,493.9391,270170
20160118,493.9391,494.142,476.4941,479.6707,214140
20160119,480.4607,484.7889,475.6119,479.0356,213470
20160120,478.0649,487.5241,474.2882,484.0475,146850
20160121,481.7886,484.6122,476.9001,479.1281,791440
20160122,484.4358,486.4123,479.287,480.6944,248840
20160125,481.7887,486.3772,480.7298,481.9078,264170
20160127,484.8374,484.8374,481.0033,484.2329,595440
20160128,483.5534,484.4358,480.9062,482.5783,402870
20160129,484.3432,485.3182,482.5828,484.2593,501180
20160201,491.9361,491.9361,478.334,480.8135,193180
20160202,483.5534,485.6623,478.259,481.5547,416820
20160203,481.5547,481.5547,476.4942,477.231,319390
20160204,478.7001,484.696,478.7001,484.021,194390
20160205,482.6708,489.73,475.1705,478.3912,308830
20160208,482.6666,484.4358,476.6663,477.6414,214740
20160209,480.3766,481.7752,475.7219,478.1926,249940
20160210,479.9355,480.8179,465.8524,467.4584,468420
20160211,469.7836,469.7836,457.9639,460.3508,583130
20160212,461.4934,464.9039,441.291,446.1441,374390
20160215,446.3162,454.346,442.9586,446.2941,662720
20160216,451.3459,451.3459,443.8455,445.5927,498110
20160217,449.1399,450.0223,444.1985,447.6133,722800
20160218,449.5811,459.2875,446.4927,457.3329,266330
20160219,459.4595,462.3758,456.6491,459.7021,129390
20160222,459.5521,467.4937,455.5063,465.848,852930
20160223,468.5482,468.5482,457.0815,458.1624,213870
20160224,457.5226,459.2786,453.1106,458.7933,118430
20160225,458.7933,458.8463,449.2237,453.8078,313880
20160226,457.9638,457.9638,450.1105,451.0106,360110
20160229,453.9842,453.9842,439.5218,441.9042,529420
20160301,445.6104,451.5445,441.2469,445.8089,415300
20160302,448.2575,450.4635,445.1691,448.0987,291380
20160303,450.9047,462.6406,448.2575,460.4126,331100
20160304,460.4346,469.8807,455.8461,466.3688,262910
20160308,467.6702,479.0531,465.5612,469.5056,535470
20160309,465.4907,468.3276,457.258,459.711,471230
20160310,460.8757,462.5214,450.5826,456.8873,637110
20160311,457.9595,463.2494,450.0223,455.5946,353120
20160314,456.4638,456.4638,449.1399,450.2958,612130
20160315,451.5577,451.5577,444.7985,445.9412,994130
20160316,446.0427,446.4883,441.6395,442.2351,918500
20160317,444.7279,451.3194,443.85,449.7444,349790
20160318,449.7841,464.1407,444.9927,457.633,516960
20160321,458.8463,463.2583,458.8463,461.6303,528340
20160322,463.2583,471.994,454.8755,464.1715,461920
20160323,468.6497,471.1998,459.7287,463.5362,1077920
20160328,467.582,474.2882,466.1304,472.391,696610
20160329,471.1999,475.6118,468.5527,470.8381,156400
20160330,472.5058,485.4638,472.5058,483.5357,478160
20160331,480.4693,516.1137,476.4941,508.0265,721710
20160401,502.0835,507.2897,490.4403,497.5127,373930
20160404,496.7893,505.1677,494.7598,501.5145,216940
20160405,496.9657,509.7605,496.9657,506.403,312310
20160406,506.3191,507.2942,503.319,505.097,306960
