Date,Open,High,Low,Close,Volume
20150303,12.2115,12.4155,12.1823,12.2698,2839048
20150304,12.2698,12.3864,11.8618,11.92,4867068
20150305,11.9492,12.0075,11.6869,11.7452,3026768
20150309,11.716,11.716,11.512,11.5412,2799565
20150310,11.5412,11.6286,11.3955,11.4246,1950404
20150311,11.4829,11.6577,11.4246,11.4829,2078891
20150312,11.4829,11.716,11.4829,11.5995,2312333
20150313,11.6286,11.716,11.4246,11.4537,1604805
20150316,11.4537,11.4829,11.2789,11.308,2001449
20150317,11.3954,11.4246,11.2206,11.308,2572807
20150318,11.2789,11.512,11.2497,11.3954,4089547
20150319,11.4246,11.6286,11.3663,11.5412,4916886
20150320,11.5995,11.5995,11.2497,11.4829,3843528
20150323,11.4829,11.5412,11.3955,11.4246,1718881
20150324,11.3954,11.4829,11.2206,11.2789,2740854
20150325,11.2789,11.4246,11.104,11.3663,4568088
20150326,11.2497,11.5995,11.1914,11.3663,18825422
20150327,11.3372,11.5412,11.2789,11.512,3670089
20150330,11.4537,11.6286,11.3663,11.5703,2339084
20150331,11.6286,11.6869,11.4246,11.5412,1629156
20150401,11.5412,11.7743,11.5412,11.6869,1973742
20150406,11.6286,11.7452,11.512,11.6869,1462713
20150407,11.716,11.716,11.5995,11.6869,1168143
20150408,11.6577,11.9783,11.4537,11.8326,5170716
20150409,11.92,11.92,11.7743,11.8326,1395342
20150410,11.8618,12.0949,11.7452,12.0366,2411591
20150413,11.9783,12.3281,11.9783,12.2115,2532784
20150415,12.2406,12.3572,12.0075,12.0949,2344088
20150416,12.1241,12.1823,11.9492,12.0658,1940678
20150417,12.0366,12.1241,11.9783,12.0075,1924884
20150420,12.0949,12.0949,11.7743,11.8035,2068894
20150421,11.8035,11.8909,11.7452,11.8035,1698243
20150422,11.8035,11.8618,11.6577,11.8035,1592412
20150423,11.8035,11.8909,11.716,11.7452,1137838
20150424,11.716,11.7743,11.6286,11.6869,2477922
20150427,11.716,11.7452,11.5412,11.5703,2664430
20150428,11.512,11.5995,11.3663,11.512,1722354
20150429,11.512,11.5412,11.3663,11.4537,2213742
20150430,11.4246,11.5703,11.3663,11.512,3061512
20150504,11.4537,11.716,11.4537,11.6577,1506693
20150505,11.6577,11.716,11.4537,11.5995,1790595
20150506,11.5995,11.6286,11.2789,11.3663,2006264
20150507,11.308,11.3663,11.1331,11.1914,1288319
20150508,11.2497,11.3663,11.1914,11.2497,1589474
20150511,11.308,11.3663,11.2206,11.2497,1403644
20150512,11.1914,11.2206,10.9291,11.0166,1896419
20150513,11.0166,11.1914,11.0166,11.0749,1320538
20150514,11.0457,11.1914,11.0457,11.0749,1795929
20150515,11.0749,11.1623,11.0457,11.0749,1627604
20150518,11.0749,11.1914,11.0457,11.0749,3793043
20150519,11.0749,11.1623,11.0166,11.104,2703899
20150520,11.104,11.3372,11.0749,11.1914,2379241
20150521,11.2206,11.308,11.104,11.2789,2223926
20150522,11.308,11.3663,11.2497,11.3372,1639744
20150525,11.2789,11.308,11.1623,11.1914,1037090
20150526,11.1623,11.308,11.104,11.2206,1450085
20150527,11.1914,11.3954,11.1623,11.3663,2081374
20150528,11.3954,11.9783,11.308,11.7743,11072157
20150529,11.7452,11.92,11.6577,11.7452,2584271
20150601,12.2406,12.2989,11.5412,11.6577,7313096
20150602,11.6577,11.7452,11.4537,11.4829,2346542
20150603,11.4246,11.4829,10.8708,11.1331,2912107
20150604,11.0749,11.1623,10.9583,11.0457,2085881
20150605,11.0749,11.2789,11.0166,11.1623,1754991
20150608,11.1623,11.1914,10.9291,10.9874,1623893
20150609,10.9583,11.1914,10.9583,11.1331,1060759
20150610,11.1331,11.2206,11.104,11.1331,915269
20150611,11.1331,11.1623,10.9874,10.9874,1149652
20150612,10.9874,11.1623,10.9583,11.0749,1184772
20150615,11.0749,11.1331,11.0166,11.0166,753852
20150616,11.0166,11.1331,10.9874,11.0749,973559
20150617,11.104,11.1914,11.0749,11.1331,1198826
20150618,11.1331,11.1914,11.104,11.1623,1287634
20150619,11.1331,11.6577,11.1331,11.512,3467119
20150622,11.512,11.5995,11.3663,11.4246,1547621
20150623,11.3954,11.5995,11.3663,11.4537,1941744
20150624,11.4537,11.6577,11.4537,11.512,1951213
20150625,11.512,11.8035,11.4829,11.6869,5946108
20150626,11.716,11.716,11.4537,11.5703,2468407
20150629,11.4537,11.4829,11.2497,11.4246,2328476
20150630,11.308,11.4537,11.2789,11.4246,1122268
20150701,11.4246,11.512,11.3663,11.4537,1603718
20150702,11.4246,11.4829,11.3372,11.3954,991240
20150703,11.3663,11.4537,11.3372,11.4246,1434421
20150706,11.2497,11.3372,11.1623,11.308,1435805
20150707,11.308,11.4246,11.2206,11.308,1584484
20150708,11.2206,11.5995,11.2206,11.4246,3947844
20150709,11.3954,11.4537,11.2789,11.308,1137383
20150710,11.3372,11.3663,11.0166,11.0457,6993820
20150713,11.0457,11.1331,11.0457,11.104,2807041
20150714,11.1331,11.1623,10.9874,11.0457,2412103
20150715,11.0749,11.1914,11.0457,11.104,1996097
20150716,11.1331,11.1914,11.0749,11.104,2039424
20150717,11.1331,11.1914,11.104,11.1331,2102578
20150720,11.1331,11.1331,11.0749,11.104,1752733
20150721,11.104,11.4246,11.104,11.1914,2710164
20150722,11.1623,11.308,11.0457,11.104,3848511
20150723,11.0749,11.1331,11.0166,11.0457,2637403
20150724,11.0749,11.1331,10.9874,11.0166,1469434
20150727,10.9874,11.0749,10.8708,10.9,2350782
20150728,10.9291,11.0749,10.8709,10.9291,2799361
20150729,10.9583,11.1331,10.9583,11.0166,2586553
20150730,11.0749,11.2206,10.7834,10.8708,10139271
20150731,10.8708,11.0749,10.8708,11.0166,3124096
20150803,11.0166,11.1331,11.0166,11.0749,2217303
20150804,11.0749,11.1914,11.0457,11.104,3660419
20150805,11.1914,11.3372,11.0457,11.104,4852698
20150806,11.1623,11.3372,10.9874,11.0457,8710863
20150807,11.0457,11.104,10.9291,10.9874,2777318
20150810,10.9874,11.0749,10.9,10.9291,2547217
20150811,10.9291,10.9583,10.7251,10.7834,2745004
20150812,10.7543,10.8417,10.6377,10.6668,2638115
20150813,10.6668,10.7251,10.4628,10.492,3929081
20150814,10.5211,10.6668,10.492,10.5503,3235060
20150817,10.5794,10.6668,10.492,10.6377,2081757
20150818,10.6668,10.7834,10.6085,10.696,2598770
20150819,10.696,10.696,10.5794,10.6085,1486558
20150820,10.6086,10.6377,10.4045,10.4628,3312690
20150821,10.3754,10.4045,10.2588,10.3463,4096864
20150824,10.2005,10.2297,9.3262,9.3553,9849323
20150825,9.4428,9.6759,9.0639,9.5302,6327366
20150826,9.7342,9.9091,9.4136,9.5885,3961396
20150827,9.7342,10.0548,9.6468,9.7925,17688976
20150828,9.8217,10.0257,9.7051,9.8508,2617189
20150831,9.8217,9.9091,9.5011,9.5885,4593593
20150901,9.5302,9.6176,9.3262,9.3553,3142007
20150902,9.3845,9.5594,9.2971,9.3553,3567780
20150903,9.3553,9.6759,9.3553,9.5885,2712094
20150904,9.6176,9.6176,9.2679,9.4136,4780836
20150907,9.4136,9.4719,9.2679,9.3262,2877187
20150908,9.3845,9.5594,9.3262,9.4428,5190358
20150909,9.5302,9.7925,9.5011,9.7342,2549281
20150910,9.7342,9.7342,9.4953,9.6148,5320719
20150911,9.6446,9.7342,9.5551,9.6148,3163809
20150914,9.6148,9.7044,9.5551,9.6148,3412316
20150915,9.6148,9.7342,9.5849,9.6745,4971002
20150916,9.7342,9.7342,9.5849,9.6446,3058303
20150918,9.6745,10.0627,9.6745,9.9432,9057219
20150921,9.9432,10.0925,9.8238,10.003,2836144
