Date,Open,High,Low,Close,Volume
20150303,87.0478,87.3207,86.1746,86.6112,5796930
20150304,86.775,87.2116,85.0013,85.9563,4580594
20150305,85.2741,86.6112,84.7011,86.3111,4307704
20150309,85.9563,86.2838,82.6272,82.8455,3058852
20150310,83.6642,83.6642,81.3174,81.8359,3849673
20150311,81.5903,84.4555,80.0076,83.9098,4759294
20150312,84.0462,89.9131,83.5004,87.157,23732349
20150313,87.4844,88.0302,86.5567,87.0206,16271358
20150316,86.9387,87.0478,84.4282,85.0558,12014666
20150317,85.1923,86.5021,84.7557,86.1474,6403596
20150318,86.2292,86.966,82.5181,83.3094,19386136
20150319,83.7733,85.0558,81.945,84.4555,24922042
20150320,78.4795,80.9354,77.8792,79.4073,20606029
20150323,79.2436,82.1361,79.2436,81.945,8907972
20150324,81.8632,83.7187,81.6449,83.3367,7701613
20150325,84.3191,84.5374,79.953,80.4169,19117210
20150326,79.8166,80.6625,78.0156,78.5886,26353953
20150327,79.6256,80.0349,78.3158,79.4619,5357637
20150330,79.7347,80.8808,79.5164,80.5534,4959049
20150331,81.0445,81.0445,79.0798,80.144,8397256
20150401,80.2259,81.8086,80.2259,80.6352,3645848
20150406,81.0445,83.4732,80.8808,83.0093,4071922
20150407,83.4732,85.6835,82.6818,85.3014,5508952
20150408,85.3014,86.2019,83.746,85.1923,3068680
20150409,85.2196,86.2292,83.7187,85.8745,3480921
20150410,85.6835,86.775,84.1826,84.9467,3200816
20150413,84.974,86.6112,83.7733,85.8472,3189088
20150415,85.2469,86.5021,83.7187,84.2372,4110085
20150416,84.0462,85.4652,83.7733,85.1923,3141138
20150417,84.8921,86.6931,84.8921,86.2292,3831186
20150420,86.9933,87.3207,83.937,84.2645,2855564
20150421,84.5374,85.3014,82.4089,82.5999,3864529
20150422,82.9001,83.746,82.0269,83.3367,3322204
20150423,84.0462,84.0462,81.2628,81.5903,2880820
20150424,82.1088,82.4089,80.7171,81.754,4004778
20150427,82.327,83.6914,80.6079,80.9081,4911789
20150428,80.7717,83.0365,80.1713,82.5726,3926425
20150429,82.6272,83.364,82.0815,82.7364,4480990
20150430,82.5727,82.9001,81.5357,82.0269,6908986
20150504,82.4089,83.5277,81.5084,83.1457,2244895
20150505,82.6818,83.0093,80.99,82.136,2478207
20150506,81.6449,81.8905,78.0975,78.9161,5876370
20150507,79.0253,79.2163,77.4971,77.77,3870685
