Date,Open,High,Low,Close,Volume
20150303,127.3898,129.7581,126.1758,127.569,9377275
20150304,128.3452,130.0567,126.8923,127.5889,12393369
20150305,127.7879,127.9471,126.3351,127.3501,5311246
20150309,126.5142,126.7729,125.0216,125.7779,8394541
20150310,126.5739,126.952,122.6533,125.141,10846846
20150311,125.3799,126.1361,122.9917,123.1907,7587334
20150312,123.7877,124.9619,122.9518,124.2653,5494894
20150313,124.6235,126.0963,123.9071,124.942,5558430
20150316,124.9221,125.2207,123.8275,124.1858,3707103
20150317,124.2255,125.5788,123.4096,125.0614,3799833
20150318,125.3798,125.5589,122.5936,123.0712,4852030
20150319,123.3499,124.942,123.0712,124.1459,5367529
20150320,124.2654,124.5838,122.7528,123.927,4793802
20150323,123.7877,125.5191,123.728,125.141,4589812
20150324,125.2216,126.9955,124.5766,126.3505,3764554
20150325,127.2576,127.5801,124.4556,124.8386,4139605
20150326,125.3829,125.5442,120.4643,121.5932,11858041
20150327,122.1375,124.3145,121.5126,122.9438,5891944
20150330,122.9639,127.9631,122.5003,127.0762,6601768
20150331,127.3785,128.8501,122.7624,123.5082,6853342
20150401,123.7703,124.6774,123.1655,123.5485,3321565
20150406,124.2137,128.3058,124.1734,127.9026,5556453
20150407,129.0113,129.2129,126.9955,128.6082,3490815
20150408,128.6082,128.6082,125.7458,126.1892,5976249
20150409,126.794,127.3181,124.375,125.0402,5713269
20150410,125.0604,127.3181,124.6371,124.879,8693394
20150413,126.3908,126.3908,125.02,125.7255,2797114
20150415,126.1086,130.0999,125.5845,127.8624,9083739
20150416,128.4469,132.539,128.4066,132.0955,9836785
20150417,132.8414,134.1919,132.2366,133.0429,6401871
20150420,132.9825,134.2121,127.4793,129.737,4536202
20150421,130.0596,131.9947,128.326,129.1525,4822603
20150422,129.4347,130.5635,124.7983,125.907,7356646
20150423,126.9955,127.1568,123.6896,124.1533,5199051
20150424,124.9798,128.5679,124.0323,127.7414,7401441
20150427,128.1849,128.1849,124.2137,124.7177,3309372
20150428,124.5766,126.4311,122.5809,123.992,5021299
20150429,123.992,124.7984,122.6011,123.4881,4445740
20150430,123.7098,124.496,122.198,122.5608,9699340
20150504,123.4074,133.2445,123.4074,132.3777,16873108
20150505,133.4461,138.3647,132.4382,137.9413,24530452
20150506,136.9133,137.3971,131.0675,132.1963,10301064
20150507,133.043,133.5671,127.6003,129.0315,5843113
20150508,129.3944,130.7853,126.5319,127.1971,6429162
20150511,127.7615,129.3339,127.0157,128.6082,5431555
20150512,129.0517,129.1928,123.8509,124.8386,4464550
20150513,125.8465,128.0841,124.375,125.4232,5646844
20150514,125.8264,127.8019,124.6371,127.4592,4257052
20150515,127.3584,128.8904,125.9876,128.5679,3325147
20150518,129.1323,130.8659,128.8703,129.7169,4586017
20150519,128.7493,129.5354,127.2173,128.0437,4366932
20150520,127.8019,128.709,126.5924,126.8141,3059541
20150521,127.56,128.588,126.7537,128.326,3139372
20150522,130.4224,131.0272,128.6888,130.241,3893322
20150525,130.624,133.3453,130.3015,132.8615,5574003
20150526,133.0429,133.3856,129.6161,130.0192,2979945
20150527,130.624,134.3936,129.2734,133.8493,3477921
20150528,135.0588,135.9457,130.745,132.1963,8512186
20150529,128.205,133.7686,126.2699,132.9825,13023642
20150601,132.6398,133.0027,129.979,130.6643,2889510
20150602,132.539,132.539,128.326,129.1323,4511451
20150603,129.1323,130.3418,123.5687,124.113,5149029
20150604,124.8991,124.8991,121.0489,121.4924,7210408
20150605,121.9359,125.9675,119.8596,124.2541,8311552
20150608,124.9798,124.9798,123.0043,123.5284,3424894
20150609,123.0043,123.6896,121.0893,121.5327,3158752
20150610,121.7545,124.1734,121.7545,123.1051,4509799
20150611,123.4074,124.3548,121.1094,121.3513,3997858
20150612,121.3513,122.1374,120.7465,121.1094,2924445
20150615,121.3513,123.7299,120.3636,122.5406,4211761
20150616,122.5406,123.0849,120.9481,122.7422,3878482
20150617,122.9639,123.871,122.2987,123.3671,7374735
20150618,123.5284,127.0762,123.0647,126.1288,6067755
20150619,126.8947,129.4145,126.6327,128.6686,5823981
20150622,129.0113,129.0113,126.5924,128.3663,4448203
20150623,128.6082,130.3821,128.1244,128.5679,3509530
20150624,128.9912,130.2208,127.4591,128.1647,3734515
20150625,127.6809,129.1323,125.6651,126.1691,7207431
20150626,126.1892,127.1971,125.2216,126.2699,1821207
20150629,124.6169,125.3023,123.3671,124.5968,2261232
20150630,124.2541,125.524,123.9719,124.8185,3225894
20150701,124.5765,127.8421,124.4556,126.552,4331775
20150702,126.5924,127.0358,124.758,124.9797,3314205
20150703,125.7861,126.1086,124.3145,124.6572,4952577
20150706,123.1857,124.5766,122.6414,124.2742,3164748
20150707,124.375,124.5967,122.8027,122.9438,3602245
20150708,122.1576,124.0726,121.6738,122.1374,3476700
20150709,122.2584,122.9236,119.8999,120.424,5336425
20150710,121.6738,121.6738,117.4809,118.4888,10773607
20150713,119.0533,119.2952,115.9691,117.1584,7725928
20150714,116.9165,118.0857,115.9892,116.7956,4437270
20150715,117.4205,119.0331,117.1987,117.4003,4577782
20150716,117.5213,118.8315,116.9568,117.5616,3341661
20150717,118.0051,118.6703,117.2592,118.0454,2702260
20150720,118.126,118.5695,117.1181,117.6624,1863025
20150721,117.6422,117.6825,112.9655,113.3889,4128988
20150722,113.4897,116.09,113.4897,114.8402,3767242
20150723,114.9007,115.0822,112.7035,114.4371,5707321
20150724,114.296,115.2636,113.5501,114.0339,3961647
20150727,113.6913,114.034,108.8534,109.4581,10950876
20150728,109.7,109.8612,106.2126,108.7929,8345236
20150729,109.2565,109.4984,106.8375,108.7525,10220164
20150730,110.0225,110.6272,108.8936,109.2162,5602353
20150731,109.458,111.4738,109.3371,109.9418,3895096
20150803,110.0225,111.8771,108.0672,110.3249,4666620
20150804,110.3652,110.3652,106.7166,107.3818,7648746
20150805,108.4502,109.6596,108.0067,108.8533,3759064
20150806,109.2565,110.2644,108.6316,109.2363,3982426
20150807,108.8533,114.4774,108.6719,114.0339,14143717
20150810,114.4976,114.7798,110.466,110.8893,4017831
20150811,111.5343,111.5343,108.4703,108.8735,2668081
20150812,108.8533,109.8612,107.0794,108.5912,6082657
20150813,109.2565,110.466,107.0996,108.7525,6835678
20150814,109.6798,110.2644,108.0671,109.0146,3797374
20150817,108.8936,108.9138,105.4063,106.4344,7815285
20150818,107.2407,107.4624,104.8217,105.1442,4157310
20150819,104.8217,105.9506,103.6526,105.0636,5711535
20150820,104.0154,104.2976,102.443,103.1284,7178769
20150821,102.4229,103.7735,101.2336,103.1889,6613182
20150824,100.7901,101.1126,91.1949,91.7996,19008639
20150825,93.0293,94.9241,90.4087,92.989,10863165
20150826,93.1301,95.3878,89.9048,90.6506,7245826
20150827,93.5332,94.0976,91.1344,92.8478,11633059
20150828,96.315,99.3387,95.9118,98.23,10958608
20150831,99.8629,100.1451,95.8312,96.4763,9689886
20150901,97.8873,98.1091,93.8154,94.3798,10033095
20150902,94.4,94.9443,90.449,90.7917,9458158
20150903,92.2229,93.4526,91.3158,92.3842,3640380
20150904,93.7953,93.7953,89.1992,90.9328,7345293
20150907,91.7207,92.2662,90.3268,91.3369,5324035
20150908,92.1046,93.135,90.549,92.8925,6841087
20150909,94.1653,94.3875,92.6299,93.0946,11075230
20150910,92.3268,92.8723,90.3874,91.6803,6478407
20150911,92.3875,93.7006,91.8016,92.2662,5834527
20150914,92.8925,93.0945,91.3167,92.7915,3143677
20150915,92.8925,93.7006,91.2359,92.6299,3661399
20150916,94.0643,94.0643,92.2258,93.135,4234243
20150918,93.3774,97.4584,92.8925,96.6502,9682537
20150921,95.2764,96.9129,94.9532,96.5492,2754552
20150922,97.7008,97.7008,94.2057,94.7512,5576616
20150923,92.9733,96.1452,92.8319,95.5795,3247758
20150924,95.5997,95.5997,91.3571,91.9228,8968651
20150928,92.2258,92.3066,90.549,90.953,4326612
20150929,90.4278,91.8824,87.963,91.4783,7599778
20150930,92.3268,93.2562,89.7409,92.6703,7694695
20151001,92.6703,94.5492,92.1248,93.8825,4161730
