Date,Open,High,Low,Close,Volume
20150303,67.171,68.051,65.6175,66.5192,9964622
20150304,67.9383,68.5753,64.9213,65.3683,8294017
20150305,65.7482,66.4522,64.9996,65.9047,7445652
20150309,65.5694,66.0164,64.1727,64.7202,4484700
20150310,65.0666,65.48,63.3681,63.7592,3838827
20150311,63.6922,65.2119,63.0664,64.195,6223492
20150312,64.5861,65.2119,64.2062,64.6867,4498920
20150313,65.2566,65.2566,60.5076,60.8652,5395147
20150316,61.0216,62.4519,60.2394,60.6081,3194422
20150317,61.2227,62.7983,60.8093,62.2843,10791977
20150318,62.6642,63.9939,61.7144,63.3346,5855742
20150319,64.0721,64.7649,62.2843,62.7089,5407697
20150320,62.9324,64.4073,61.0551,61.4574,5499825
20150323,62.0161,62.4295,60.7311,61.6697,3730242
20150324,61.6697,62.9994,61.625,62.3625,3071485
20150325,62.7983,63.0776,61.6362,62.6642,4711362
20150326,62.0943,62.8988,60.2282,60.4629,7477555
20150327,60.5635,61.4127,57.5241,59.0661,5713520
20150330,59.446,60.8987,59.2896,60.6417,2753480
20150331,60.8428,61.8261,60.5634,61.0216,3662472
20150401,61.4797,63.6698,60.8987,63.167,4031885
20150406,64.0945,64.0945,61.4239,62.1502,4703612
20150407,61.1892,61.2339,60.0941,61.0663,3748965
20150408,61.4909,62.7871,60.8428,62.1166,4859237
20150409,63.7592,64.4855,62.7424,64.2732,5039420
20150410,64.2732,65.3013,63.5916,64.2732,6228832
20150413,64.3626,64.5414,63.3793,64.0498,3451870
20150415,64.4632,64.5861,61.9043,62.4966,4437610
20150416,62.7536,62.8206,60.7981,61.5244,4421252
20150417,61.5691,62.5748,61.111,62.2172,3324512
20150420,62.329,62.5524,61.1222,61.6697,3319600
20150421,61.8932,62.2396,60.217,61.6138,3357580
20150422,61.882,62.0831,60.9434,61.7479,3322377
20150423,62.1613,63.0218,61.435,61.7256,3803467
20150424,62.0161,62.0161,60.6752,60.9992,2833485
20150427,61.3456,61.3903,59.6695,60.6193,3542950
20150428,60.5858,61.6585,59.6584,60.5188,5475327
20150429,60.6752,60.8987,58.3957,58.9097,6596562
20150430,58.6862,59.8707,56.9989,59.3678,8211147
20150504,59.4461,61.6474,59.4461,61.4015,4345782
20150505,61.4574,62.4966,60.9322,61.7367,5506625
20150506,62.1278,62.1278,57.6359,60.5523,10603042
20150507,60.6305,60.6305,55.8257,56.4514,5779807
20150508,57.2112,58.4963,57.0213,57.3118,4967415
20150511,57.4571,59.379,56.3173,59.1779,5991397
20150512,59.2114,59.3455,57.1889,58.2839,7997657
20150513,58.5633,59.5801,57.2448,59.2449,3216477
20150514,59.2002,60.7869,58.4739,60.4182,3372830
20150515,60.7869,61.0439,59.1555,60.2953,3446445
20150518,60.6752,61.3233,59.9154,60.9992,2204607
20150519,60.5634,61.4574,59.9824,60.4741,2460512
20150520,61.0104,61.6362,60.6193,61.0216,2507877
20150521,61.0216,61.5915,60.3512,60.9546,4586322
20150522,61.0104,62.4966,60.921,62.0943,3400240
20150525,61.7256,63.2117,61.3345,62.8094,2177127
20150526,62.7871,62.9659,61.3345,61.7367,1679072
20150527,60.8763,62.4407,60.6528,61.9602,2111780
20150528,61.9602,63.3346,61.0104,62.6642,7222460
20150529,63.2229,63.2229,60.7646,60.921,4764825
20150601,60.7869,60.7869,59.7142,60.3511,4226507
20150602,60.34,60.7534,59.5019,59.8371,5311932
20150603,60.15,60.15,57.2112,58.2951,4387787
20150604,58.7756,58.7756,56.105,57.1554,3748077
20150605,57.1889,59.1108,56.5408,58.8315,4792115
20150608,58.8426,59.189,57.0771,58.1946,2845135
20150609,57.6805,59.2226,57.6135,58.3622,2091155
20150610,58.7533,60.1053,58.5521,59.1444,3803390
20150611,59.4907,59.96,57.2112,57.6582,3186245
20150612,57.2112,58.5968,57.1107,57.8705,1935002
20150615,57.7923,59.1779,57.6023,58.4516,2169590
20150616,58.7086,59.2114,58.3845,59.0326,2541140
20150617,59.2337,60.4629,59.2337,59.636,2604317
20150618,59.379,59.7142,58.2057,58.3175,2376545
20150619,59.1444,59.8036,58.608,59.4908,3991477
20150622,59.8036,61.4127,58.8762,60.6081,3681915
20150623,61.0104,62.4631,60.9546,62.0384,2973082
20150624,62.586,62.91,61.0104,61.625,2150147
20150625,61.2339,61.558,60.4517,60.9657,4542765
20150626,60.6193,60.9434,59.2561,59.7813,2802357
20150629,58.5745,58.932,57.0436,57.7476,3417645
20150630,58.0716,58.4962,56.8313,57.2112,4689115
20150701,57.8146,58.4627,57.2336,57.9375,3711240
