Date,Open,High,Low,Close,Volume
20150303,552.6159,569.4135,547.9315,567.3788,428209
20150304,581.0534,581.0534,554.4612,559.5241,457367
20150305,564.8236,593.1665,564.8236,571.9211,1181043
20150309,572.4891,575.7066,552.7578,556.2593,220419
20150310,558.3412,560.6124,540.4553,545.1397,333759
20150311,546.0388,553.6096,544.1461,548.1208,167539
20150312,550.7706,555.9755,545.0926,547.9789,165481
20150313,549.8243,575.6121,546.0389,566.7638,917764
20150316,577.268,586.6841,555.5968,583.7978,643954
20150317,586.7315,594.3022,579.1608,588.9081,1096345
20150318,593.3085,597.567,568.7509,592.7407,509613
20150319,597.1412,601.8729,587.7251,593.829,628429
20150320,600.9266,603.7656,574.2871,587.9617,3325187
20150323,588.151,591.274,572.5364,577.4101,335882
20150324,576.3218,581.9525,568.893,571.874,271065
20150325,572.0633,576.9843,565.9121,568.0414,239885
20150326,567.4261,576.0379,550.7706,566.3852,363462
20150327,565.3442,569.1296,557.1583,567.1422,322000
20150330,577.1734,577.1734,559.1929,563.2148,302514
20150331,572.4419,574.4291,563.073,567.6628,310617
20150401,567.8047,578.8769,563.6881,570.1705,185189
20150406,568.3251,571.5427,555.4549,558.1047,262237
20150407,561.0857,561.1803,548.9724,551.8115,209206
20150408,553.6095,556.1173,540.4553,544.0988,477965
20150409,547.7422,568.751,541.591,563.1675,863058
20150410,566.6217,569.6027,560.3285,563.3568,257328
20150413,563.972,566.2432,554.6032,559.808,433777
20150415,562.1266,562.1266,553.1363,558.2939,879923
20150416,558.3411,565.7225,556.543,563.2621,677222
20150417,563.0729,566.8583,551.4802,560.3285,217863
20150420,563.073,563.073,551.7169,554.6979,102926
20150421,556.4485,556.4485,535.629,546.5593,268871
20150422,543.2471,553.4675,535.9129,546.7485,270214
20150423,548.3573,549.3983,537.6163,541.1178,341613
20150424,541.1652,541.2126,527.1121,529.9511,465365
20150427,529.951,529.951,508.1851,514.8095,376233
20150428,517.5539,532.79,514.8568,530.1876,426932
20150429,531.7964,531.7964,513.8632,524.6989,282800
20150430,527.112,539.8876,517.1754,536.6227,227775
20150504,539.4143,549.824,534.7299,547.3162,94744
20150505,544.1934,561.1802,540.4554,552.0954,231288
20150506,552.6631,553.5621,529.9036,540.5026,456333
20150507,542.7266,548.8305,530.0456,535.0139,549935
20150508,537.5218,544.2408,532.7901,541.733,527125
20150511,542.348,555.7861,541.7329,553.4675,134009
20150512,553.6095,564.0193,544.1461,557.7261,474066
20150513,560.234,566.7637,549.9188,553.1837,142458
20150514,554.5558,565.3441,541.4017,562.8836,215685
20150515,564.9656,569.6973,558.4358,563.688,103642
20150518,562.6943,577.268,560.2339,567.0948,235325
20150519,570.6435,579.1133,560.5177,565.2021,309998
20150520,548.168,562.8363,530.8973,536.1495,939980
20150521,544.1461,545.0925,506.5291,520.6769,1379312
20150522,524.2729,528.0583,515.2827,520.9608,403390
20150525,521.8598,525.7397,517.0808,521.4339,130495
20150526,518.1218,524.7461,517.6486,519.3993,336534
20150527,517.0808,524.6988,516.0398,520.7242,264791
20150528,521.3866,534.3041,520.4875,521.8597,205607
20150529,526.071,534.1149,520.5349,522.4276,461058
20150601,522.8534,534.2568,519.8251,524.2729,385131
20150602,524.7462,528.6262,515.898,517.6014,437207
20150603,517.9324,518.4529,506.2924,512.8222,384670
20150604,513.4374,517.1754,501.6554,510.4091,262599
20150605,510.0777,520.4875,506.387,512.9167,120663
20150608,513.5322,517.5541,502.9804,507.7595,88408
20150609,505.2988,512.5383,493.5642,507.9013,167784
20150610,506.2924,526.1656,506.1032,520.4402,239652
20150611,520.7242,522.3803,504.5418,510.4091,580496
20150612,510.3617,512.8222,506.4817,508.9422,262965
20150615,502.8384,516.9862,502.8384,506.5764,93338
20150616,506.5763,508.7056,493.1382,497.6334,343887
20150617,499.6681,507.712,493.99,504.5417,250186
20150618,510.9767,514.8094,505.346,513.3426,130435
20150619,513.9578,528.0583,513.4373,524.4149,337356
20150622,527.112,531.6544,512.9169,520.9608,420262
20150623,521.8125,526.1657,517.7432,520.5349,254653
20150624,520.4876,525.2193,511.9705,515.2354,119576
20150625,515.2353,529.4777,510.4563,525.0299,379164
20150626,527.869,537.3797,525.2192,533.1685,381272
20150629,524.273,529.6671,511.5447,525.3139,191835
20150630,519.0682,531.4652,519.0682,520.8663,249360
20150701,521.434,536.3862,521.434,524.9355,199819
20150702,526.2603,531.7964,513.2481,515.4247,239844
20150703,518.5003,521.5286,513.6739,516.0871,128744
20150706,512.0651,518.3583,506.6236,511.4973,301718
20150707,515.7559,543.6729,515.7559,535.5817,849271
20150708,536.2915,546.9852,524.8408,532.6481,511477
20150709,532.6481,533.1687,515.756,517.0809,337018
20150710,520.5348,524.0363,513.39,516.229,180140
20150713,518.5475,526.3075,514.7621,521.6704,206069
20150714,525.2192,525.2192,517.6484,519.9197,276656
20150715,522.2857,524.273,518.7842,521.3867,173056
20150716,522.2383,534.5881,520.8187,530.5187,493753
20150717,534.6827,537.9476,525.2193,530.3295,245062
20150720,533.7364,533.7364,525.2193,530.7554,174437
20150721,530.8972,530.8972,514.0524,515.9451,184501
20150722,515.7559,520.8662,511.9706,518.9735,138245
20150723,518.5003,525.3139,516.2291,519.0208,167000
20150724,518.5949,519.7778,512.9168,515.7086,170175
20150727,516.7022,517.0808,502.5071,509.7466,172392
20150728,512.4437,519.3047,509.3208,513.1534,352361
20150729,534.6354,535.0139,520.8661,529.2412,826869
20150730,529.9037,536.3388,524.6041,528.7208,389491
20150731,533.6417,535.629,526.6388,528.2003,270044
20150803,529.4305,533.5471,521.7651,523.8944,285088
20150804,524.273,564.4925,521.4813,559.9974,1168958
20150805,564.4924,575.1861,561.1802,567.0475,923082
20150806,568.7037,572.3471,554.6032,562.7418,253560
20150807,563.0256,578.025,558.8143,561.0856,610107
20150810,562.9783,572.1105,562.1266,566.1486,543061
20150811,566.8583,568.7509,549.1617,557.0163,366483
20150812,556.4485,558.2466,539.4144,543.4836,274796
20150813,546.8905,553.0417,535.1559,540.1241,415751
20150814,543.9765,558.3392,543.3582,549.4933,375094
20150817,551.6809,565.6632,543.1203,553.9161,464413
20150818,557.2453,558.1489,548.9225,552.2993,423020
