Date,Open,High,Low,Close,Volume
20150303,155.4159,158.9544,153.6466,157.6042,4831921
20150304,167.6145,167.6145,151.8308,153.0879,10791374
20150305,153.4604,153.8329,150.9462,152.0636,5662205
20150309,150.8531,152.9017,148.5251,150.3409,6243195
20150310,150.6668,152.9017,150.1081,152.1567,4688547
20150311,152.2033,153.6466,149.9684,151.9239,4486358
20150312,153.4604,155.6021,153.2276,154.7175,3243182
20150313,156.8127,157.6508,153.6932,154.6244,5387958
20150316,154.5778,156.8592,153.3207,155.9281,2366022
20150317,157.0455,157.4645,153.7398,156.0677,2220029
20150318,156.8127,158.7682,155.509,156.9524,3562679
20150319,158.1164,158.3026,149.7822,150.8065,3507227
20150320,150.434,152.5292,148.3854,151.6446,4609429
20150323,151.9239,153.0879,149.9219,151.8774,2575948
20150324,151.6446,152.343,149.0372,150.5737,3666174
20150325,151.3187,151.3187,144.1485,144.8003,4061249
20150326,143.4035,144.8003,136.6989,137.956,6682880
20150327,138.3751,139.4459,132.7879,136.6524,7981634
20150330,139.1201,139.6788,135.3487,138.3286,4043714
20150331,139.5391,139.5856,133.626,134.4641,4878263
20150401,134.0916,142.193,133.1604,141.4946,6851445
20150406,141.9136,142.3327,137.8164,138.4217,4912327
20150407,139.865,140.8427,137.8164,140.2375,5130148
20150408,141.2618,143.6363,139.4925,142.2861,5274757
20150409,142.8448,152.0171,141.0756,150.8065,10677889
20150410,151.2255,154.1122,148.432,152.343,6720817
20150413,152.343,155.4159,151.598,154.2054,3636655
20150415,155.09,159.001,154.2054,155.2297,5842805
20150416,155.6022,156.3006,149.1769,150.8065,5693105
20150417,150.8531,153.9726,150.015,152.0171,3221014
20150420,151.8774,155.509,145.8246,149.4563,4771231
20150421,148.9907,151.6446,146.3833,149.5494,4368756
20150422,149.9219,151.2721,147.2214,150.1081,4121436
20150423,151.3187,151.6911,148.5251,148.9907,3630930
20150424,149.4563,149.4563,145.7315,146.7558,3857199
20150427,147.1749,150.7599,144.0088,148.6648,5782192
20150428,148.5251,151.3186,147.5008,149.9219,3453682
20150429,149.9219,150.3875,147.5008,148.9907,3438582
20150430,148.7113,150.2478,147.2214,148.7579,3793999
20150504,149.8753,155.509,149.5028,155.1831,4247243
20150505,155.1831,156.7196,153.7398,154.4382,3014633
20150506,154.0657,155.4625,147.7801,148.9907,4239348
20150507,148.0595,148.9907,142.0068,145.2194,4699564
20150508,147.1283,149.0372,132.5086,135.6746,24007184
20150511,135.3953,140.3771,132.6017,138.8407,16920116
20150512,138.282,138.282,131.9499,132.9276,9420744
20150513,133.2535,135.8609,132.6483,134.8831,6265150
20150514,135.0228,141.448,132.462,140.2375,7147050
20150515,140.2375,140.9359,136.699,137.2577,7265749
20150518,137.5836,139.2597,136.1868,138.282,4215926
20150519,137.8629,139.9581,136.9783,139.2132,4561243
20150520,139.2132,140.61,138.4216,140.0978,3297364
20150521,140.9359,140.9359,137.0714,138.7941,2773904
20150522,138.9338,143.1707,138.7476,139.5856,5053228
20150525,138.7476,141.8671,137.3973,140.7031,2644474
20150526,140.9824,142.3792,139.3528,139.9116,2246754
20150527,139.0269,143.3104,138.4682,142.7051,3523690
20150528,142.6586,147.8733,139.7719,145.4987,10042433
20150529,144.3347,145.9643,142.5655,143.0776,3279145
20150601,143.2173,145.1728,142.7051,143.2639,2593483
20150602,143.4035,143.4035,138.5613,141.3083,4215737
20150603,140.7031,141.448,137.9095,139.5391,2725092
20150604,140.3306,141.0756,133.207,134.8831,4081741
20150605,134.0916,136.8852,133.3001,133.8123,2356297
20150608,134.0916,134.4175,127.6664,128.7838,3844299
20150609,126.9214,130.0409,125.6178,126.8749,4550384
20150610,127.2939,129.715,127.2939,128.0854,2636899
20150611,129.9013,129.9013,122.9173,123.3363,3884771
20150612,122.6845,124.9194,122.2189,122.8242,3774860
20150615,122.9173,124.0347,121.0549,121.4274,2757526
20150616,121.5205,124.0347,120.5893,123.5691,3190856
20150617,123.9882,125.2453,123.0104,123.3363,2298938
20150618,124.3141,125.7109,121.6602,122.4517,3308221
20150619,123.8019,125.3384,122.4517,124.5935,2459195
20150622,126.1688,133.568,125.1186,131.8017,5652399
20150623,133.9022,138.294,133.9022,136.7186,6896968
20150624,137.387,137.387,130.8947,131.8017,4147880
20150625,130.9902,133.6157,128.9853,131.9449,5649031
20150626,131.8495,131.8495,129.1762,129.749,3411146
20150629,125.7391,132.4223,123.7342,131.3244,5778838
20150630,130.7993,133.1384,129.2717,132.5178,3406724
20150701,132.5655,136.48,131.2289,134.4273,4730525
20150702,135.382,136.0026,133.8544,135.1433,2833710
20150703,135.4775,136.4799,133.9499,135.8594,2688959
20150706,133.2339,137.9598,132.5655,137.387,3079695
20150707,137.8643,140.0602,137.7211,138.5327,3577535
20150708,136.8141,137.4824,133.2816,136.0026,2545136
20150709,136.7186,139.3919,136.289,137.387,3487397
20150710,138.3894,139.7261,137.387,138.5327,2912877
20150713,139.1055,140.824,137.5779,138.4849,2673162
20150714,138.5326,140.6331,137.6256,138.1507,2157420
20150715,138.4372,139.5351,135.9549,137.0528,1824927
20150716,137.4824,138.6281,136.8141,137.4824,2437394
20150717,137.7211,138.8668,137.4824,138.2462,1773902
20150720,138.2462,138.5326,133.8067,134.9046,3104291
20150721,135.0001,135.6684,131.0379,131.6585,3168580
20150722,131.2766,133.7589,129.4626,132.7565,4024846
20150723,132.7087,135.0478,132.3269,133.3293,3350378
20150724,132.4701,134.8092,132.2314,132.7087,3770415
20150727,131.754,132.7088,128.2692,129.033,5645768
20150728,127.9828,137.6734,126.1688,135.4298,23448427
20150729,136.2413,136.289,129.1762,131.4198,7448459
20150730,132.661,147.9846,131.3244,144.2611,17601728
20150731,142.7335,147.7459,140.3466,144.1656,10309473
20150803,144.1656,151.5649,143.8315,148.0323,9160148
20150804,148.8438,153.2356,146.2183,151.9467,9912356
20150805,153.5698,156.3863,151.1352,151.8035,6021357
20150806,151.3262,155.527,149.4644,154.62,5153544
20150807,154.4768,155.4315,150.992,152.6628,2952255
20150810,152.5196,154.9542,150.992,151.899,2300821
20150811,152.3286,153.5221,146.6957,148.8916,2801635
20150812,146.6002,151.3262,145.1204,145.7887,4438186
20150813,147.4595,150.3714,144.5952,145.9319,3240640
20150814,147.9846,159.6324,145.5977,158.7254,8118172
20150817,159.9665,172.3782,159.9665,165.4563,11270555
20150818,165.1699,167.8432,160.4917,162.8785,8272132
20150819,162.067,162.7353,158.9641,160.3962,3337718
20150820,159.4414,162.4011,150.8965,151.8035,4320237
20150821,147.9846,153.3788,145.5977,152.1377,5226166
20150824,145.5977,146.9821,133.4248,136.1458,8034728
20150825,141.1104,141.1104,131.4676,137.6256,6205792
20150826,137.4824,138.7236,133.377,135.9548,4762592
20150827,139.7261,139.9648,135.6685,139.2964,4916923
20150828,141.6833,143.0677,135.0956,136.7664,4350664
