Date,Open,High,Low,Close,Volume
20150303,57.0199,57.0929,56.2715,56.7826,3773373
20150304,57.0016,57.4397,55.8882,56.381,4927543
20150305,56.2168,57.0016,55.3407,56.6366,2511965
20150309,56.2112,56.5962,54.8912,55.0929,2904210
20150310,55.0929,55.1296,53.7912,54.4512,4007085
20150311,54.7812,55.0012,54.0662,54.2312,3350372
20150312,54.2862,55.8812,54.2862,54.8729,4034334
20150313,55.0929,55.1479,53.5345,53.7545,3743353
20150316,53.3695,54.1578,53.3695,53.8095,1546607
20150317,53.9379,54.6345,53.5529,54.1395,4288235
20150318,54.0845,54.3595,53.4979,53.7729,3493449
20150319,53.7729,54.7262,53.1678,53.5712,2641643
20150320,53.5345,54.9462,53.0212,54.3412,3763675
20150323,54.8179,55.6979,54.4695,54.7079,4249360
20150324,54.6345,55.3129,54.0845,54.2495,5170910
20150325,54.1762,54.4695,53.6079,53.7179,6008163
20150326,53.8645,54.8179,52.8195,53.2045,11848617
20150327,53.2045,53.5162,52.5078,53.0762,3479176
20150330,53.1862,53.3878,52.6545,53.1678,4359504
20150331,53.3512,53.6995,52.9845,53.2595,4797950
20150401,53.2045,53.8462,53.2045,53.6995,2808077
20150406,53.6812,54.7995,53.4795,54.2495,5315447
20150407,53.9745,54.3412,53.5345,54.2495,2457023
20150408,54.1029,54.9279,53.9012,54.0112,4009038
20150409,54.1029,55.5879,54.0479,55.3679,2422269
20150410,55.5512,56.1196,55.1112,55.9912,2200148
20150413,56.0279,57.0913,55.2762,56.5962,2208671
20150415,56.8163,57.2013,55.3679,55.5696,2330815
20150416,55.4229,55.8262,54.0845,55.2579,2492100
20150417,55.2579,55.5879,54.6712,55.0379,3666806
20150420,55.0745,55.9546,54.5062,54.9279,2278982
20150421,55.0012,55.7346,54.3045,54.5795,2312891
20150422,54.6345,54.8362,53.7545,53.9195,4849646
20150423,54.2679,54.6162,53.4979,53.7729,3515131
20150424,53.5345,54.2495,52.8195,53.4795,2613457
20150427,53.5712,54.1762,52.9845,53.1495,2052351
20150428,52.9112,53.7178,52.6178,52.9662,3429520
20150429,52.9295,53.0945,52.2512,52.4528,2061972
20150430,52.1045,53.0945,51.4811,52.1411,4099911
20150504,52.4345,53.0212,51.7011,52.8562,3652050
20150505,52.4528,53.7728,51.9028,52.4895,7999174
20150506,52.3428,52.3428,51.3528,51.5545,6031578
20150507,51.3344,51.7195,50.6194,51.4445,5448071
