Date,Open,High,Low,Close,Volume
20150303,63.5503,64.5082,61.739,62.6621,8306181
20150304,63.202,64.7433,60.0846,60.8683,14432863
20150305,60.8683,61.7913,60.0584,61.0947,4814698
20150309,60.3632,61.1817,59.1876,59.5621,3406938
20150310,59.3879,61.3472,59.1528,60.1194,6319501
20150311,60.2587,61.8087,59.0048,60.607,7153626
20150312,61.1817,61.4778,60.5199,60.7899,4660159
20150313,61.3559,61.3559,57.0542,57.4548,4291591
20150316,57.8031,58.5171,56.7233,57.0368,2483218
20150317,57.6463,59.8581,57.4635,59.5708,9753775
20150318,59.5621,60.9205,58.7697,60.4764,6062389
20150319,60.9205,61.4604,58.8654,59.2399,5171930
20150320,59.3879,60.0584,57.507,58.1862,4694994
20150323,58.5171,59.2138,56.8191,57.3851,3226101
20150324,57.6463,58.9612,57.4896,58.4736,4625058
20150325,58.9351,58.9351,57.5767,57.9337,2813810
20150326,57.6463,58.2472,56.6885,57.0107,8424445
20150327,57.2806,58.1514,55.3823,55.8002,6653445
20150330,56.6014,57.8727,56.2008,57.0107,2679946
20150331,57.2109,58.4736,56.9671,58.0295,3868151
20150401,57.9946,58.8828,57.5592,58.7958,3871751
20150406,58.9699,59.266,57.507,58.5345,5564818
20150407,56.3576,57.1239,55.7306,55.9483,15208234
20150408,55.3823,58.1688,55.3474,57.5244,29079138
20150409,59.684,60.3632,58.0817,58.5781,45899519
20150410,58.43,60.3109,58.3343,59.9278,21072847
20150413,59.8581,60.5896,59.1354,59.414,7470773
20150415,59.3531,59.6753,57.9946,58.3604,8119338
20150416,58.491,58.5781,57.1674,57.6115,6398583
20150417,57.6463,58.0905,57.1239,57.5854,5619493
20150420,57.7944,57.8118,56.4272,56.6014,4018165
20150421,56.7407,57.2458,56.2531,56.3663,3983805
20150422,56.6101,57.1151,55.6609,56.7668,4599895
20150423,57.1326,57.298,56.0789,56.2269,5505021
20150424,56.3401,56.4185,54.8075,56.0615,9045431
20150427,55.9918,56.2444,54.2502,54.6856,7053325
20150428,54.6508,55.4607,54.3112,55.2343,5274687
20150429,55.2342,55.3736,53.8584,54.4941,6989722
20150430,54.6595,54.9817,53.8149,54.259,14217069
20150504,54.5376,55.896,54.4854,55.5564,3849325
20150505,55.4432,55.9744,54.9208,55.5129,5114151
20150506,55.7306,55.9483,51.8469,53.4927,14867973
20150507,52.8047,53.8758,49.548,50.2272,9677941
20150508,50.9935,52.0384,50.8542,51.5856,5206877
20150511,51.7424,52.8047,50.7584,51.873,6698322
20150512,51.9862,52.0559,49.4435,49.9572,9408514
20150513,50.68,51.6901,49.6786,51.3331,5073709
20150514,51.2025,52.1603,50.5233,52.0036,4364685
20150515,52.3693,52.4738,50.8716,51.4028,3616269
20150518,51.6901,52.3693,51.1154,52.0646,5137365
20150519,51.8817,52.5435,51.4811,52.0297,4460327
20150520,52.4738,53.2575,52.0733,52.7351,4894085
20150521,52.8134,53.3533,51.5856,53.2053,5730434
20150522,53.4317,54.2328,52.9179,54.0064,8175205
20150525,53.6581,53.9803,53.1618,53.2663,3130493
20150526,53.1182,53.4665,52.6828,53.2924,2536050
20150527,52.7525,52.9789,52.0733,52.5261,4020378
20150528,52.5261,52.8222,51.9165,52.5435,4267493
20150529,52.5,53.1008,51.2199,51.5943,6535365
20150601,51.7249,52.0123,50.9499,51.7946,3694783
20150602,51.7946,51.7946,50.0705,50.3404,6314949
20150603,50.3317,50.5929,49.0342,50.1836,6316335
20150604,50.6626,50.8019,48.5117,49.3042,6222165
20150605,49.1126,49.8963,48.5901,49.7483,4827391
20150608,50.114,50.4536,48.6249,49.2084,5103205
20150609,49.069,49.8092,48.5466,49.3129,3856450
20150610,49.3651,50.3317,49.2868,49.6612,6045039
20150611,49.8963,50.0443,47.6235,47.7803,5352178
20150612,47.7193,48.0676,47.2143,47.4929,4126970
20150615,47.7019,48.1112,46.8485,47.4407,2510018
20150616,47.371,47.8761,46.5873,47.4494,2779311
20150617,47.7193,48.294,47.4929,47.728,3865927
20150618,47.8935,48.0067,47.3275,47.4755,4766807
20150619,47.7019,49.1126,47.6322,48.9994,5130623
20150622,49.4609,50.1314,48.6075,49.8179,4400210
20150623,49.8266,50.5755,49.548,50.3056,3616575
20150624,50.68,50.9761,49.7483,50.1924,4704133
20150625,49.8092,50.3056,49.4957,49.6699,6642503
20150626,49.5306,49.9747,48.9384,49.3564,2609751
20150629,48.416,48.5901,46.805,47.6061,3537826
20150630,47.7193,48.1808,47.2839,47.9196,4992621
20150701,47.6497,49.0691,47.5626,48.773,5309490
20150702,48.7643,49.5044,48.416,48.8862,3333522
20150703,48.9907,49.8527,48.8165,49.6786,3685154
20150706,49.1039,50.5059,48.773,50.2185,3185770
20150707,50.1575,50.8193,49.4957,49.6264,3726637
20150708,49.2867,49.3738,47.8935,48.9646,4231002
20150709,49.0255,50.0618,48.8688,49.7483,2945181
20150710,49.9311,50.2359,49.1126,49.487,3723333
20150713,49.487,50.1488,49.487,49.905,3463749
20150714,50.1488,50.2794,49.2954,49.6351,2340285
20150715,49.1213,49.8527,48.7381,48.8078,3161685
20150716,49.1387,51.8295,48.8514,51.6118,5356949
20150717,51.9078,52.4564,50.889,51.037,6467621
20150720,51.3244,51.3505,50.114,50.6278,3450378
20150721,50.6278,51.5421,48.9384,49.2258,3697250
20150722,49.1126,51.1677,48.9384,50.889,5013639
20150723,51.0283,51.1589,50.2011,50.4188,2563165
20150724,50.4188,50.7323,49.5131,49.6438,4080178
20150727,48.9384,49.8615,48.8688,49.3129,5622730
20150728,49.4174,49.5306,47.6322,48.0676,4674802
20150729,48.0676,48.2592,47.0401,47.6061,4207271
20150730,47.9806,48.5901,47.3362,47.9893,16406023
20150731,48.1808,48.4247,46.5089,47.1968,5880279
20150803,47.4929,47.7803,46.9095,47.3623,4422383
20150804,47.5365,48.9907,47.3101,48.6337,5987079
20150805,48.8165,49.1126,47.5278,47.7367,4023397
20150806,47.8935,48.1025,46.5873,46.8137,5797637
20150807,46.6744,47.4232,46.239,46.3435,4024093
20150810,47.5713,48.4334,46.6483,46.9095,8910114
20150811,47.2752,47.8064,46.8311,47.1707,7089245
20150812,47.0227,47.0662,43.5744,44.3494,6994378
20150813,44.837,45.1418,43.496,43.8269,4679701
20150814,44.4103,45.6294,43.914,45.194,2775069
20150817,45.2114,46.6395,44.5496,45.8732,3727213
20150818,45.8384,46.5699,45.403,46.0561,3364442
20150819,46.0648,46.1432,44.5496,44.8022,2149623
20150820,44.332,45.2027,43.9227,44.2623,5009370
20150821,43.8878,44.4016,42.9038,44.123,4126042
20150824,42.8429,42.8429,38.2451,38.5325,11012613
20150825,39.3423,41.6151,36.7822,40.7182,12191957
20150826,40.2305,43.3218,39.3423,41.737,10659319
20150827,41.9721,44.3929,41.9721,44.0794,9120005
20150828,44.9328,45.0634,42.7384,43.435,5901037
20150831,42.6339,44.3581,42.3727,44.1055,8083234
20150901,43.3654,44.5496,42.5381,43.4611,5978797
20150902,43.8095,44.4103,42.1724,42.4685,4996402
