Date,Open,High,Low,Close,Volume
20150303,180.5495,188.3304,180.2171,187.1565,20636925
20150304,188.2369,188.9953,182.8454,184.4659,14476047
20150305,185.4321,186.7306,182.4506,183.8634,10716702
20150309,183.8946,185.2762,179.5419,180.6846,14065391
20150310,180.5392,181.9624,177.7239,178.5031,15234060
20150311,178.877,180.6742,177.1006,177.8382,11635873
20150312,178.2641,180.2171,177.7654,179.4691,11782380
20150313,180.5495,180.6742,175.9787,176.6227,12936157
20150316,176.9136,177.4226,174.5866,174.9606,13839990
20150317,176.7162,178.6589,174.7321,178.0252,19070082
20150318,178.0563,181.2248,177.5785,180.4768,9269885
20150319,181.9104,182.1493,177.4538,177.8797,13934612
20150320,178.2433,178.9186,176.3111,177.4538,10405717
20150323,177.9525,179.5107,174.1295,174.9294,13251683
20150324,174.9606,177.4953,174.9606,176.176,9238431
20150325,176.3942,176.4981,174.7321,175.5424,10264941
20150326,174.7528,176.4461,171.2208,172.3012,20621346
20150327,173.2569,173.4855,166.5149,168.6445,23326922
20150330,169.6625,169.8911,165.476,168.4471,17330588
20150331,169.9534,173.0491,169.9534,171.6156,20235395
20150401,171.387,174.3165,168.9354,173.7036,14588531
20150406,173.6932,174.1088,170.6598,171.3351,12334096
20150407,171.6259,173.714,171.6259,173.0387,21275454
20150408,173.1738,180.6534,173.0492,179.9055,24821205
20150409,179.8224,186.7826,178.4303,185.9723,27276420
20150410,185.9411,188.8187,184.7257,187.8941,25323219
20150413,188.4032,192.1326,186.7306,191.6651,20177342
20150415,191.3534,195.2179,188.4862,191.904,22231264
20150416,192.0806,194.8855,190.9379,192.8805,20177302
20150417,194.2725,196.1944,191.6858,192.5688,23958678
20150420,194.74,194.7712,182.5233,184.0089,37628162
20150421,184.9438,186.0554,181.2663,182.0974,17707007
20150422,183.2298,184.2374,180.134,182.7831,14761313
20150423,183.6349,184.788,180.5599,182.2221,13337818
20150424,182.2117,183.7595,180.4768,182.6064,12709854
20150427,182.8454,184.3932,181.0586,181.8585,11042925
20150428,181.7338,183.2505,178.3784,179.7601,14687371
20150429,179.0952,180.8716,176.0618,176.602,16387960
20150430,176.602,179.9055,176.1761,179.1679,34802149
20150504,179.9678,185.7229,178.7835,185.11,15078502
20150505,185.6814,187.3643,183.8946,185.3593,17846755
20150506,184.9126,186.3151,181.1728,182.8869,22438208
20150507,181.7962,182.5129,178.6796,180.9131,16735535
20150508,185.5833,190.4306,183.4739,189.5677,17104443
20150511,190.2388,191.6451,188.2253,190.8994,14214007
20150512,190.6756,190.6756,184.3368,185.0932,16650201
20150513,186.084,189.3439,182.6429,188.5875,16701434
20150514,188.7793,188.8219,185.4341,187.1174,12329713
20150515,187.9057,188.9817,185.3915,186.2118,8331715
20150518,186.4143,190.4839,185.839,189.9619,9847540
20150519,189.8979,192.7744,188.9072,190.8141,14513036
20150520,191.8475,194.1061,191.2722,193.648,8708891
20150521,194.1593,195.0436,190.5052,191.0698,10759523
20150522,191.1231,192.9555,191.1231,192.5826,8349048
20150525,191.7623,193.4668,190.1323,190.5904,6617337
20150526,190.6969,190.91,188.0762,188.481,9510249
20150527,188.7793,189.8234,187.5435,188.6302,8078236
20150528,188.7473,190.5371,185.7963,186.606,26538868
20150529,187.4796,188.8752,186.0307,186.8617,29277517
20150601,187.5009,192.8063,187.0748,192.2417,19594976
20150602,192.9874,195.768,189.9406,191.4747,20178960
20150603,191.5492,193.9889,189.312,190.9846,15546279
20150604,192.6572,195.214,190.1749,194.4683,15931395
20150605,193.8717,195.3738,192.7104,193.4136,13066337
20150608,193.2112,193.893,188.1614,188.6621,10846953
20150609,188.2573,189.7701,186.9363,188.2893,9153355
20150610,188.7793,193.8717,188.5663,192.9981,13509379
20150611,193.0407,193.7865,186.1479,186.8937,14676438
20150612,187.2878,190.2069,187.128,189.5996,21543824
20150615,190.6756,192.8276,189.6316,192.1351,12858570
20150616,191.5492,192.8276,190.3134,192.6039,13929305
20150617,192.8383,200.7858,190.4839,198.4101,26232634
20150618,198.6977,209.234,198.687,208.5841,49366799
20150619,209.3405,214.4328,209.3405,212.3554,45710935
20150622,212.4194,214.9229,210.1928,211.3008,19394187
20150623,211.5032,213.6445,211.1516,212.0039,16007498
20150624,212.0039,214.4435,210.2247,211.1303,18603004
20150625,210.2993,214.9868,209.8732,214.0387,27175118
20150626,213.0479,216.0735,212.0891,213.2184,20966796
20150629,210.4911,211.7588,207.1033,211.1196,20168946
20150630,210.9172,213.6765,210.5124,213.0905,23184864
20150701,213.2823,215.2958,213.2823,214.2731,14824266
20150702,214.9868,217.2773,214.582,215.381,15931202
20150703,215.1466,216.0096,213.7191,214.6033,13831096
20150706,212.2383,217.0962,212.0465,216.3824,12237733
20150707,215.413,216.6062,213.0692,213.7617,11294999
20150708,212.1849,214.9229,211.2901,212.3448,15190654
20150709,212.2169,213.2823,209.479,210.3846,16245867
20150710,211.1729,213.9215,210.9918,213.4527,16110573
20150713,213.4527,215.7326,212.0358,214.5607,9860248
20150714,214.9655,215.5195,212.0465,212.6005,9942927
20150715,213.016,216.1374,212.9733,215.4449,13532911
20150716,215.626,218.9925,215.4449,218.119,14854295
20150717,218.4492,219.7063,216.9045,217.6928,10195142
20150720,218.9926,219.4507,216.8832,218.3427,6348354
20150721,219.0352,219.131,213.6552,214.7312,7923338
20150722,214.1346,224.5643,214.0493,223.8079,17309440
20150723,224.4684,227.526,221.8477,222.7213,18642915
20150724,223.2965,223.6481,217.565,218.4066,13099664
20150727,218.3746,219.44,213.4421,214.2091,20118553
20150728,214.8377,216.6275,213.0905,215.2532,13382878
20150729,215.0934,215.7752,211.386,212.2169,14790821
20150730,213.0905,214.7738,211.4286,213.1012,11701228
20150731,213.0692,214.7525,210.9385,213.4634,16634259
20150803,213.2823,216.0202,212.9414,213.5912,9887787
20150804,213.7936,214.2731,208.8078,210.5124,12006872
20150805,210.5656,213.2397,209.6814,210.4591,14345010
20150806,211.1516,211.3647,208.2752,208.5841,8708037
20150807,208.5948,211.7908,208.2006,209.7347,8608888
20150810,209.7666,210.6828,205.5053,206.4428,9288894
20150811,206.8902,207.4548,204.1203,205.8249,8762464
20150812,205.3135,205.8249,200.4023,200.903,9650325
20150813,201.7765,203.2574,198.0265,198.8681,9340350
20150814,200.3383,207.1033,199.0706,206.0273,12739366
20150817,205.8249,205.8249,201.5741,202.5649,10857430
20150818,203.6942,203.6942,200.7538,201.1587,6630334
20150819,201.1373,204.7595,200.1679,203.3959,8877298
20150820,204.5358,204.5358,194.692,195.2353,19008087
