Date,Open,High,Low,Close,Volume
20171003,723.9893,728.9144,691.1882,696.9505,35367877
20171004,699.5116,700.1026,688.5286,693.1089,3613280
20171005,693.9954,693.9954,675.8218,684.1452,2680742
20171006,683.505,691.4836,678.6784,686.3123,1416485
20171009,683.702,691.9762,683.702,688.1839,951473
20171010,687.8882,690.6955,685.1301,689.5135,555002
20171011,689.5136,692.4686,675.7233,679.5649,1077409
20171012,680.7469,683.6035,674.7383,677.3979,439314
20171013,678.629,684.6376,669.8131,679.3678,1344510
20171016,675.7233,679.1216,658.978,660.0615,971834
20171017,660.4555,663.9031,658.978,662.9673,664335
20171018,660.9481,662.7703,654.2007,658.387,415712
20171019,656.1214,668.0894,656.1214,664.9866,93358
20171023,659.963,663.7061,655.0379,655.8259,292330
20171024,653.8558,661.3913,653.0678,655.8751,350373
20171025,657.0079,663.3612,648.2412,659.8644,583868
20171026,659.8645,659.8645,650.6053,656.8601,242175
20171027,653.2649,656.0721,649.1278,652.2798,396395
20171030,655.0378,655.0378,640.164,645.1876,1164020
20171031,645.9757,658.9779,645.9757,652.1813,1402840
20171101,654.0529,654.8901,632.6287,637.3568,859011
20171102,637.3568,643.8087,631.5945,633.1213,574130
20171103,633.4168,643.7103,631.496,632.6288,672547
20171106,633.0227,650.0143,633.0227,646.9114,483071
20171107,649.1278,649.1278,629.9691,632.7272,763293
20171108,639.2777,639.2777,619.5773,622.1383,843603
20171109,623.5173,660.357,623.5173,648.0935,356798
20171110,645.2861,669.0251,645.2861,666.4148,784443
20171113,655.0379,670.6012,653.0679,655.0379,192279
20171114,645.3847,657.7467,644.2027,650.1128,350594
20171115,640.3611,650.162,634.7465,639.6223,269314
20171116,638.8836,649.3249,633.1705,640.1642,261879
20171117,643.2177,653.7574,635.436,649.6696,3200674
20171120,647.4533,655.0379,646.6653,651.5411,712433
20171121,650.1128,685.9675,650.1128,677.1516,2077453
20171122,678.6784,688.4793,670.946,682.7662,669175
20171123,678.6784,678.6784,654.0529,656.3185,827451
20171124,657.9929,660.4062,645.1877,645.8772,599114
20171127,645.7294,652.7723,642.0848,643.9072,239417
20171128,643.2177,656.9587,642.2327,643.6609,269211
20171129,644.2519,648.5368,641.0506,646.3698,258606
20171130,655.9737,655.9737,644.0549,645.0892,316178
20171201,648.1428,648.1428,642.4789,646.0743,86648
20171204,650.1128,655.8259,643.2669,651.8366,162592
20171205,650.1128,652.2306,643.7594,649.2263,125688
