Date,Open,High,Low,Close,Volume
20150303,275.9535,277.681,272.4984,275.1352,14387971
20150304,285.5004,286.4096,265.4972,267.1793,38674148
20150305,267.9976,269.3615,263.4515,267.1339,16803823
20150309,265.4972,267.3157,262.4967,264.2697,13199803
20150310,264.3607,266.6338,259.2235,261.4966,14064427
20150311,262.3604,264.4971,257.9961,259.269,16329314
20150312,261.9966,263.1787,260.1327,260.8146,9969794
20150313,263.6787,264.6334,254.5864,255.2683,13414248
20150316,255.9502,258.0869,254.5863,256.0866,15132928
20150317,258.1324,258.2233,254.1317,257.405,11350496
20150318,258.3143,262.2695,256.4049,261.2238,12394230
20150319,263.6788,263.9515,255.1319,256.0412,11046649
20150320,256.223,256.7686,251.6768,252.9952,11482652
20150323,254.0408,254.5864,248.7218,249.8129,13058026
20150324,248.9491,251.3131,244.5848,245.9941,17585259
20150325,247.2215,247.4034,240.9478,241.3115,15824629
20150326,240.4932,241.7661,232.0373,233.3557,22253318
20150327,236.2652,240.9023,232.7647,239.6749,19423101
20150330,241.0387,244.903,239.2657,243.5846,12303870
20150331,244.4938,246.7215,241.857,242.8117,19482636
20150401,242.4481,249.722,239.2657,248.6309,12383589
20150406,250.4493,250.7221,246.5851,249.7219,12925445
20150407,250.3129,251.2676,245.7667,247.3579,12933524
20150408,247.2215,252.1769,247.1761,249.04,9913899
20150409,250.0402,256.223,247.7671,255.3592,13471276
20150410,255.4956,261.2693,254.6319,259.8145,16880558
20150413,261.6784,262.3148,257.6323,260.3145,11985436
20150415,261.3147,267.7248,259.9963,263.6787,17289500
20150416,263.906,267.543,260.4964,265.8609,15043998
20150417,264.588,268.134,262.9514,265.2699,16819018
20150420,264.5879,266.7247,258.9961,261.542,13788536
20150421,261.3147,265.4972,256.1775,262.9514,15487948
20150422,264.1788,266.6338,250.4039,258.0869,17741741
20150423,259.1325,261.3147,251.1767,252.4496,13874710
20150424,253.0861,254.2227,249.4492,250.5402,10049508
20150427,251.4495,251.4495,241.948,242.8117,12394191
20150428,242.7663,248.6763,241.0842,247.7671,12693457
20150429,247.5398,248.5854,245.0849,247.2216,8217676
20150430,245.5849,248.6309,242.4935,245.2667,21635216
20150504,249.131,252.7679,246.9943,251.9951,8012690
20150505,251.8586,251.8586,246.7215,247.3579,7102772
20150506,246.8124,248.7673,239.3567,241.3115,16335660
20150507,240.0386,242.9936,236.0834,237.2654,15962706
20150508,240.0386,243.6755,236.6744,238.1747,14044596
20150511,239.493,252.0405,238.7657,250.9949,17198308
20150512,250.313,250.4039,242.1753,243.13,12792368
20150513,245.4031,250.0402,243.721,249.4037,9245732
20150514,249.1309,256.3139,248.1762,255.4501,13101418
20150515,256.4048,262.1785,256.4048,261.3602,18247889
