Date,Open,High,Low,Close,Volume
20150303,11067.3329,11087.3981,10761.4418,11023.0156,4002
20150304,10971.0933,11033.5998,10762.1128,10815.333,5942
20150305,11067.2339,11067.2339,10657.1647,10734.4434,21806
20150309,10734.4443,10777.6553,10586.1903,10686.1816,4497
20150310,10490.8655,10874.9016,10490.8655,10603.0303,24557
20150311,10634.2626,10634.2626,10201.819,10258.2139,132677
20150312,10339.7722,10339.7722,10105.0002,10286.4082,5514
20150313,10506.2654,10533.212,10182.9069,10294.1572,6734
20150316,10316.6762,10345.5475,10009.6781,10284.3887,13725
20150317,10417.727,10417.727,10222.3645,10300.5576,16129
20150318,10269.5665,11067.2327,10249.3565,10432.834,13756
20150319,10596.7289,10942.2221,10586.1427,10608.9033,4889
20150320,10768.9943,10780.7355,10456.8479,10622.5684,51853
20150323,10566.8944,10682.3317,10311.8646,10390.6348,23920
20150324,10352.9594,10393.6678,9770.0477,10188.1045,9937
20150325,10357.9632,10971.093,10185.8416,10650.958,17323
20150326,10585.997,10874.8547,10299.3536,10650.0439,22107
20150327,10347.1846,10802.6773,10347.1367,10496.6895,20124
20150330,10391.7434,10576.5197,10220.4883,10347.8594,10151
20150331,10488.9404,10509.1503,10268.5562,10387.6982,24882
20150401,10297.4761,10626.513,10230.1097,10468.9238,34015
20150406,10634.2607,10682.3795,10345.5477,10456.6543,6372
20150407,10308.0142,10676.6044,10308.0142,10542.7861,10259
20150408,10542.9304,10620.21,10309.9873,10382.4541,1880
20150409,10488.9431,10821.8775,10404.0613,10674.5859,10067
20150410,10585.9,10730.4012,10345.5465,10396.7451,19680
20150413,10557.271,10557.271,9922.1504,10044.9502,20188
20150415,10138.6366,10285.8803,9931.7257,10137.3857,64431
20150416,10148.2615,10180.9823,9924.2204,10058.2793,14157
20150417,10090.5197,10186.5647,9494.52,9661.3955,22748
20150420,9661.5396,9753.7351,9440.9148,9672.2705,31069
20150421,9682.47,9768.1215,9623.7171,9624.1982,6557
20150422,9758.4994,9758.4994,9623.7667,9722.3145,27234
20150423,9830.678,10053.9494,9613.3736,9941.4961,9727
20150424,10066.4575,10066.4575,9546.8222,9663.7988,13867
20150427,9626.845,9670.5363,9455.2046,9602.4971,14509
20150428,9787.7039,10104.8558,9527.4779,9869.458,12983
20150429,9912.4806,10008.7182,9479.411,9943.7578,28669
20150430,9720.1009,10092.4448,9719.9092,9809.3613,12871
20150504,9883.6077,10020.5537,9720.4369,9945.4883,19193
20150505,9945.3928,10085.6112,9837.4618,10022.335,7432
20150506,9917.2898,10027.9631,9864.3591,9942.2637,45614
20150507,9941.3501,9941.3501,9627.0382,9747.0947,26718
20150508,9803.7302,9856.4203,9652.685,9768.6514,22945
20150511,9816.29,9964.4002,9768.1233,9894.002,12265
20150512,9817.299,10045.1417,9547.7377,9694.4043,7493
20150513,10198.3049,11091.3904,10152.9774,10670.9766,186423
20150514,10441.7852,11115.5935,10298.3432,10901.5127,82110
20150515,10956.6586,11534.0846,10877.9843,11375.6777,65851
20150518,11356.0456,11788.1528,11147.2099,11360.1357,52061
20150519,11480.1912,11625.5101,11120.3103,11164.917,42939
20150520,11336.7954,11346.4192,11081.7657,11221.5029,67457
20150521,11240.1739,11328.1835,11213.1315,11248.5947,25973
20150522,11307.9244,11307.9244,11116.4115,11205.6719,31325
20150525,11259.8059,11500.4,11094.5656,11240.0771,36410
20150526,11331.9852,11440.4452,11213.0837,11345.1699,97018
20150527,11221.4073,11351.9541,10706.4879,10996.0674,56381
20150528,10996.0648,11066.7515,10411.5649,10492.8857,53513
20150529,10610.2016,11163.2796,10056.8351,10909.6934,856719
20150601,10496.6423,11138.5475,10496.6423,10991.208,62420
20150602,11027.4412,11144.2741,10833.1858,10879.3799,25724
20150603,10788.2428,10971.0944,10403.2921,10462.623,23181
20150604,10395.5916,11018.5857,10345.5481,10748.3506,25025
20150605,10778.6186,10970.1315,10586.4797,10831.2607,8742
20150608,10779.5811,10831.7421,10451.6033,10577.7705,12358
20150609,10447.9944,10574.499,10393.668,10490.291,2702
20150610,10490.3881,10507.2297,10210.8177,10365.375,5270
20150611,10264.7097,10474.8931,10264.7097,10380.4834,9527
20150612,10372.4949,10470.6094,10056.8354,10202.2021,4917
20150615,10201.1918,10244.884,9820.0906,10094.5127,4783
20150616,9993.3163,10104.952,9817.2494,9843.1377,7940
20150617,9922.1044,10391.6963,9869.1737,10217.9873,14035
20150618,10374.4189,10575.5556,9707.1067,10299.9795,5626
20150619,10181.9429,10586.2369,10181.9429,10454.584,18013
20150622,10538.0248,10777.6566,10393.6683,10600.4834,13340
20150623,10634.4046,10922.9728,10419.5052,10522.4795,13254
20150624,10533.2632,10826.7402,10403.7756,10512.043,10845
20150625,10663.1328,10815.1404,10489.905,10615.4473,11801
20150626,10658.3222,10778.6193,10499.5301,10616.5547,20807
20150629,10513.963,10836.3591,10393.7138,10704.6094,15014
20150630,10777.7537,11115.3562,10730.5014,10914.3633,21418
20150701,10913.3491,11105.5838,10858.2051,10964.0186,16623
20150702,11018.6819,11144.1273,10682.3792,10729.1992,8948
20150703,10778.6179,10846.0801,10451.3619,10514.3008,11561
20150706,10451.4091,10765.2886,10354.2091,10662.4102,5949
20150707,10730.4982,10812.3002,10528.3991,10569.7334,3132
20150708,10542.8344,10802.6281,10494.7635,10678.3848,7983
20150709,10749.7454,10777.6543,10547.6942,10687.5273,9846
20150710,10749.7461,10749.7461,10491.8771,10559.0508,2676
20150713,10558.2816,10802.6773,10558.2336,10765.0967,3300
20150714,10778.6181,10819.2306,10605.3903,10672.8525,1391
20150715,10730.4532,10870.0458,10653.511,10821.8311,41883
20150716,10865.2315,11250.0863,10842.5198,11140.1348,11174
