Date,Open,High,Low,Close,Volume
20150303,143.9652,146.9189,143.9652,146.2468,2346556
20150304,147.9801,151.8358,141.6128,142.5856,1953306
20150305,142.9098,142.9098,138.27,140.0976,1946594
20150309,140.08,144.7965,138.2523,140.9054,3558391
20150310,141.0586,143.2282,138.4292,140.5339,2014418
20150311,141.0232,141.772,136.5426,137.5566,2329848
20150312,138.0755,143.6114,137.7512,142.1552,2436780
20150313,141.6187,146.1879,138.9716,140.08,3695934
20150316,140.5516,140.6106,134.5793,135.3222,1917959
20150317,135.9117,140.9053,135.6759,138.8478,3004531
20150318,139.1366,140.3099,137.9516,138.9421,502969
20150319,140.4573,143.1221,138.553,139.7852,2149251
20150320,138.9716,141.9253,137.3798,140.6165,1250439
20150323,141.4949,141.9666,138.5943,141.548,853355
20150324,142.0845,142.2024,136.1948,136.8669,1470447
20150325,136.8668,137.2913,130.9535,132.0501,3466992
20150326,131.3662,132.4805,126.467,129.1259,4203081
20150327,130.6175,130.6175,123.2185,127.7463,4265342
20150330,127.9468,132.3803,127.9468,132.1032,1693385
20150331,133.8896,133.8896,129.3558,131.3957,3356729
20150401,132.6397,136.6605,129.9984,135.4578,1503520
20150406,136.1889,138.1698,132.8991,136.8138,1652388
20150407,136.9612,140.8817,135.5993,139.9679,2022624
20150408,141.3593,142.3262,136.1947,137.0083,1822676
20150409,138.1816,138.1816,134.9036,136.4247,1741883
20150410,136.4247,136.8963,132.9168,133.9898,2068038
20150413,134.3023,136.4365,133.8306,134.9036,1598162
20150415,135.5993,135.9471,128.5363,129.6211,4035764
20150416,130.6411,130.8592,121.5677,123.8788,5112751
20150417,124.3976,124.4919,119.5986,120.9192,4230088
20150420,121.5677,123.525,117.9124,119.3097,3625000
20150421,120.0172,122.5935,119.0915,121.1727,2088883
20150422,121.8035,124.3976,119.7165,122.8412,2823914
20150423,123.2362,124.9872,120.3886,121.4498,2679408
20150424,122.0394,123.5251,116.7333,122.623,2299094
20150427,122.9414,124.3858,116.1437,117.5528,3282403
20150428,117.6648,118.6199,113.361,116.8807,6243368
20150429,117.1696,118.6199,114.6109,116.0612,4024885
20150430,115.79,115.79,111.5334,114.3574,6497726
20150504,109.8001,111.4272,96.4052,97.6315,28038429
20150505,96.6941,100.426,94.1295,99.8365,30906640
20150506,99.9897,101.1335,95.5739,96.0338,11106009
20150507,94.9195,96.9004,89.7372,90.8987,8459448
20150508,91.5,94.6129,90.3445,93.1567,8135095
20150511,94.2592,97.5136,93.0093,97.0655,6004394
20150512,97.0419,97.0419,94.4596,95.1435,5675252
20150513,95.1966,96.8238,93.2687,95.8746,6032361
20150514,95.627,97.8673,94.5835,96.3934,4437703
20150515,97.1598,99.7539,96.5703,98.9993,3439210
20150518,98.5335,99.8718,98.1326,99.5653,2299433
20150519,99.8423,100.992,98.8106,99.7067,2779141
20150520,100.7562,101.6405,97.8437,98.5925,7249338
20150521,98.8106,98.8106,96.0927,97.2129,3625908
20150522,97.6315,98.3566,96.3403,97.2365,1985671
20150525,97.2129,98.7635,96.924,97.6846,1513937
20150526,98.8106,99.5181,97.431,98.5571,2185501
20150527,98.339,98.7517,96.8061,98.3684,3322399
20150528,98.2564,99.5004,97.6492,98.2151,4665962
20150529,98.2623,100.2256,96.6469,97.1127,7732469
20150601,98.0147,98.0147,96.2932,97.0655,3210581
20150602,97.1009,97.5725,94.5658,95.1907,5707915
20150603,95.7449,97.5254,95.008,96.7648,6616980
20150604,96.4052,97.3603,95.7272,96.2283,3890684
20150605,96.6764,98.5276,95.7802,97.3426,1693508
20150608,97.3426,98.4038,94.9195,96.0986,1433715
20150609,96.6882,97.5077,94.8252,96.358,2460925
20150610,97.2483,98.7281,96.924,98.168,2127770
20150611,98.4569,98.7988,91.7359,93.3631,3669188
20150612,92.5612,96.6587,91.4588,96.0809,4681696
20150615,96.4524,97.2777,94.5835,96.8356,3611267
20150616,96.6882,97.9852,96.3344,97.0478,6024156
20150617,97.8614,99.5004,96.7471,97.9911,6614963
20150618,98.339,105.8736,97.9911,102.9552,8024596
20150619,103.4092,108.9039,103.1734,104.3643,17643527
20150622,104.7062,106.9466,102.8786,105.0894,6526509
20150623,104.5352,107.8899,104.5352,106.1094,5831012
20150624,106.4749,106.5928,104.5412,105.1543,2786859
20150625,105.6495,105.9207,100.4614,103.6391,9090226
20150626,104.3112,105.396,103.1085,104.1403,4014001
20150629,102.5838,103.757,100.6088,102.4246,2348573
20150630,102.4246,103.2736,100.0192,100.6324,4430385
20150701,102.5838,105.5316,102.4364,105.0187,8333549
20150702,106.1212,109.8354,105.5434,109.4168,6562733
20150703,109.069,110.2481,106.3924,106.9112,3373510
20150706,105.06,108.4735,105.06,106.3216,3526586
20150707,106.7108,111.7692,106.7108,110.9202,4248352
20150708,107.8899,113.7501,107.8899,111.7338,5325117
20150709,111.3977,111.3977,108.4794,109.5347,2272784
20150710,110.4486,111.893,109.7175,110.7905,2198027
20150713,111.781,112.8422,108.7212,109.0218,2700360
20150714,109.1869,109.5642,106.357,106.9996,2865337
20150715,107.8545,108.1611,103.6804,104.6826,4638857
20150716,104.942,106.1919,104.3525,104.8418,3358956
20150717,105.4727,106.7108,104.7416,105.9561,1629901
20150720,106.5928,107.3003,104.7062,104.9715,1648103
20150721,105.4019,106.3452,102.7371,103.5802,1736849
20150722,107.0656,108.2864,106.211,107.4318,1514538
20150723,108.5672,110.2763,106.8214,107.3403,1729214
20150724,107.4318,108.2498,106.2354,107.3891,1093597
20150727,106.8214,107.853,103.2261,103.5496,2372830
20150728,104.0136,104.5019,102.5486,102.8599,2257851
20150729,104.0014,106.3331,103.5252,104.0868,2152756
20150730,104.3798,107.8836,104.2638,105.1611,2602126
20150731,106.0279,109.6293,105.1489,108.8236,3393795
20150803,109.8735,112.425,106.4552,112.0343,4049030
20150804,112.3151,112.6814,109.8735,110.8196,2313417
20150805,111.5826,112.3151,109.8307,110.2947,1742356
20150806,110.9722,111.5826,109.0189,109.6904,2250272
20150807,110.1176,110.3984,108.9884,109.672,1733847
20150810,109.6293,110.7281,107.4318,108.3414,1414225
20150811,108.6527,109.5072,106.4674,107.206,1042173
20150812,107.206,107.206,107.206,107.206,0
20150813,105.3687,106.211,100.0276,100.7052,4621353
20150814,101.0836,106.2598,101.0836,105.8997,2216301
20150817,105.9669,107.9812,103.7206,104.3249,1457726
20150818,104.9902,106.9069,104.3798,104.6056,1210906
20150819,105.3565,106.8092,104.3798,105.3198,1175656
20150820,105.155,106.5773,102.9759,103.8671,2092285
20150821,101.9382,105.1123,101.0836,103.629,3609918
20150824,101.2057,102.4021,96.4811,100.6258,3941322
20150825,100.7052,102.3044,96.4445,99.3073,5423932
20150826,99.4843,101.0836,98.2269,99.1669,3446994
20150827,102.0603,102.0603,99.4111,100.0276,2083084
20150828,100.7174,101.871,99.1425,99.8933,2107849
20150831,99.9666,101.0226,98.7641,99.2585,3307738
20150901,99.4233,102.1824,98.8862,99.9422,1821280
20150902,100.3511,106.7604,100.1924,105.1611,6938013
