Date,Open,High,Low,Close,Volume
20150303,1308.1054,1350.9636,1304.3786,1330.606,384504
20150304,1336.988,1353.2461,1305.6829,1314.8601,319199
20150305,1325.8074,1326.4596,1263.2438,1282.1107,445851
20150309,1281.0861,1308.0123,1263.2907,1270.2318,281589
20150310,1266.5047,1286.5829,1257.7934,1275.0298,283353
20150311,1290.8221,1311.7388,1281.1791,1296.785,392310
20150312,1305.31,1388.0449,1297.5303,1371.4139,543383
20150313,1378.7743,1397.5481,1324.3166,1334.8914,580245
20150316,1343.6027,1349.8451,1282.0641,1299.906,381425
20150317,1306.6144,1337.8728,1288.819,1312.1115,667502
20150318,1319.2854,1340.7145,1301.3968,1307.7789,348613
20150319,1320.2174,1335.87,1267.5764,1274.9834,352689
20150320,1261.5203,1292.872,1254.0667,1274.5175,314785
20150323,1281.0393,1288.7725,1244.3305,1255.6971,247695
20150324,1245.6815,1260.9614,1228.678,1247.2654,305103
20150325,1256.7685,1274.5639,1247.172,1271.303,357497
20150326,1267.0638,1291.3346,1249.8273,1262.6382,693115
20150327,1271.7689,1298.7882,1248.4765,1287.0022,269913
20150330,1303.2602,1321.6613,1286.6759,1317.422,235305
20150331,1321.9407,1340.6679,1296.2725,1301.3502,326430
20150401,1301.6767,1322.0809,1297.4376,1316.0249,161830
20150406,1323.0123,1352.8267,1304.3783,1348.8669,309201
20150407,1357.4851,1369.5972,1334.6585,1350.0781,335549
20150408,1358.4169,1381.6162,1350.9633,1362.33,303756
20150409,1368.6655,1388.2312,1341.6462,1359.2087,313019
20150410,1364.9388,1377.9826,1341.0873,1348.4943,317721
20150413,1357.299,1357.4853,1323.1987,1342.9042,248479
20150415,1350.9634,1360.2337,1324.0839,1333.2145,212667
20150416,1333.3543,1341.3669,1295.0615,1308.478,178420
20150417,1312.7638,1312.7638,1224.2057,1235.2465,236320
20150420,1241.0229,1253.0418,1203.7083,1214.3297,269179
20150421,1218.4758,1232.0786,1185.7731,1203.2891,239772
20150422,1207.5748,1227.9791,1166.3006,1207.6215,325745
20150423,1216.6125,1226.7214,1181.9532,1194.0653,213106
20150424,1197.233,1210.2768,1129.452,1144.266,416931
20150427,1187.7298,1195.3697,1159.9651,1178.5525,674985
20150428,1168.6299,1215.3545,1156.2383,1205.2456,323372
20150429,1204.78,1234.4545,1201.0066,1211.8143,321408
20150430,1213.165,1275.4957,1204.9662,1267.8558,605499
20150504,1285.7446,1312.7639,1277.8252,1307.7327,507646
20150505,1272.2349,1276.4276,1230.9606,1253.6941,414300
20150506,1243.8182,1255.6507,1192.5748,1207.3888,377836
20150507,1207.4817,1210.2301,1142.1696,1165.0894,408140
20150508,1175.8041,1230.6812,1175.8041,1214.0038,307758
20150511,1218.1031,1259.2841,1218.1031,1250.5261,291729
20150512,1256.8619,1256.8619,1179.6707,1188.8945,295418
20150513,1197.2329,1220.1061,1171.2384,1209.8574,293097
20150514,1218.569,1265.2471,1201.8449,1255.6505,326095
20150515,1265.247,1270.8372,1241.3489,1250.759,179051
20150518,1252.9952,1306.102,1250.7591,1299.0211,367020
20150519,1297.0181,1298.7883,1260.1228,1269.4865,246024
20150520,1280.8064,1308.8971,1276.4741,1299.0677,300854
20150521,1289.0054,1320.9628,1289.0054,1299.7666,450876
20150522,1299.7197,1306.987,1271.7688,1280.0609,218218
20150525,1280.154,1282.3435,1250.3397,1259.2374,158595
20150526,1256.8616,1270.8371,1242.001,1260.5884,149486
20150527,1252.2031,1287.6076,1244.7495,1268.601,270083
20150528,1268.9739,1299.7199,1250.3399,1292.4061,293950
20150529,1294.1296,1309.0368,1268.9737,1275.1229,534121
20150601,1274.2845,1284.114,1263.57,1272.7473,125127
20150602,1273.6325,1292.2664,1231.8458,1244.3306,183922
20150603,1250.2468,1250.2468,1198.258,1232.9637,209500
20150604,1234.5009,1268.9737,1221.5037,1252.11,220860
20150605,1260.1226,1280.2473,1252.2498,1259.5636,218176
20150608,1259.5637,1271.1633,1201.8915,1212.4663,290055
20150609,1206.55,1238.5539,1201.1461,1226.2555,217843
20150610,1223.0411,1257.7004,1215.8671,1243.3522,203853
20150611,1254.812,1270.3713,1192.0154,1206.5033,291800
20150612,1206.5501,1218.3361,1193.5063,1204.4537,171339
20150615,1206.55,1231.3798,1200.8201,1228.3518,191685
20150616,1225.184,1233.1501,1211.2085,1226.3953,199913
20150617,1238.2279,1247.5449,1223.3207,1231.0072,306461
20150618,1236.7371,1278.4306,1224.625,1270.9771,378605
20150619,1282.2973,1299.72,1273.8187,1277.8717,309948
20150622,1281.0858,1293.7569,1257.7934,1282.7163,305594
20150623,1288.912,1310.4342,1275.6818,1296.645,357247
20150624,1299.7199,1306.0089,1257.9798,1265.2471,258846
20150625,1267.1106,1287.608,1262.4521,1276.6605,324852
20150626,1268.3217,1295.0614,1267.1104,1276.0082,214871
20150629,1262.452,1265.2471,1215.8671,1239.5322,255750
20150630,1240.1844,1260.4955,1229.3767,1256.722,273071
20150701,1261.5201,1295.0147,1261.5201,1288.819,294537
20150702,1299.7198,1324.8757,1295.0613,1316.3506,577382
20150703,1324.2233,1341.6461,1318.9592,1330.7917,324510
20150706,1317.4222,1347.749,1300.1858,1343.7427,347389
20150707,1346.305,1368.6191,1343.7428,1351.0566,429183
20150708,1334.6586,1346.7707,1311.832,1326.2267,312597
20150709,1332.3759,1357.0193,1318.3538,1344.6743,350017
20150710,1350.9633,1363.1685,1337.9661,1342.5314,368124
20150713,1342.6246,1373.3241,1342.6246,1361.8641,465009
20150714,1369.5974,1386.368,1364.2401,1372.1595,294464
20150715,1379.0073,1390.0946,1365.7773,1373.0444,282427
20150716,1384.4578,1388.0449,1373.324,1378.821,295322
20150717,1383.5727,1404.8154,1378.4483,1393.0294,313332
20150720,1397.5481,1403.511,1379.6595,1387.7653,260060
20150721,1389.2561,1396.6165,1347.5161,1354.0845,174718
20150722,1346.305,1375.1877,1331.3978,1368.4329,282454
20150723,1377.9826,1384.5045,1348.9602,1355.3423,196342
20150724,1354.6902,1367.734,1336.9879,1342.5781,155623
20150727,1338.8513,1340.9477,1282.5767,1289.6576,173852
20150728,1295.0615,1304.3784,1282.4835,1286.4899,171593
20150729,1290.4029,1358.184,1290.4029,1351.7087,291809
20150730,1360.2804,1364.9389,1324.736,1329.3945,399659
20150731,1340.668,1367.7339,1329.674,1355.8547,232434
20150803,1359.3489,1386.3682,1352.827,1374.5822,297053
20150804,1384.9237,1384.9237,1349.0999,1375.2806,270101
20150805,1388.1846,1405.9335,1376.1192,1394.9861,389164
20150806,1419.7228,1453.1707,1411.5238,1421.7725,934285
20150807,1428.9933,1433.6051,1398.4801,1404.1169,215329
20150810,1406.8655,1425.4995,1388.3713,1397.1293,236794
20150811,1398.8528,1402.6728,1364.939,1368.9918,162755
20150812,1365.0317,1378.8674,1334.472,1338.618,179853
20150813,1345.0008,1364.9391,1305.3104,1309.5497,282132
20150814,1310.9934,1354.5969,1299.7198,1346.6775,416224
20150817,1357.4852,1360.2337,1325.295,1334.1927,241271
20150818,1343.2301,1355.6217,1334.9381,1339.4102,210998
20150819,1348.1683,1371.4607,1327.6709,1355.1094,267585
20150820,1350.9634,1373.3242,1313.6955,1319.0061,375424
20150821,1313.6953,1321.1489,1295.0613,1304.3317,256958
20150824,1276.4274,1276.4274,1119.6691,1142.8218,625333
20150825,1165.2759,1193.8791,1030.133,1157.3564,596259
20150826,1155.4928,1185.0278,1122.7902,1141.2379,412254
20150827,1175.804,1182.6519,1131.5949,1165.7882,425597
20150828,1178.6921,1232.6375,1175.9902,1192.6676,537353
20150831,1187.9161,1206.5035,1173.7543,1178.4594,335672
20150901,1164.1111,1179.717,1141.564,1156.7507,402941
20150902,1187.9161,1192.5746,1110.9578,1121.5792,608287
20150903,1133.5979,1148.3188,1115.2435,1124.2809,439754
20150904,1120.9268,1127.2624,1082.634,1100.15,513654
20150907,1108.7216,1112.4484,1059.3882,1064.792,393417
20150908,1081.2831,1112.4483,1067.3076,1105.0879,430769
20150909,1125.4921,1152.5114,1114.6844,1148.505,318717
20150910,1141.1449,1172.0773,1104.2495,1164.4839,381797
20150911,1183.0712,1196.9534,1170.2137,1188.9408,495632
20150914,1204.5005,1216.7523,1187.9162,1211.8143,319001
20150915,1218.6154,1223.3205,1185.3072,1194.4379,292313
20150916,1207.2023,1211.2087,1186.7516,1202.1713,240522
20150918,1211.2087,1234.5012,1203.3359,1208.1807,295827
20150921,1196.9535,1241.0229,1189.8726,1235.3396,241297
20150922,1240.0911,1248.6162,1193.5061,1204.5468,314559
20150923,1189.7793,1216.519,1173.9404,1206.876,228934
20150924,1209.1588,1227.5132,1200.2611,1222.6218,199637
20150928,1202.8233,1210.0906,1175.3849,1189.5933,292152
20150929,1166.0209,1221.9228,1166.0209,1196.5807,247072
20150930,1217.9634,1243.492,1202.2177,1235.3861,342495
20151001,1246.6129,1261.8928,1239.4389,1252.11,357881
20151005,1260.5886,1289.9371,1259.75,1272.7473,471430
20151006,1282.9493,1285.3252,1262.6382,1276.1013,249937
20151007,1285.7446,1296.8318,1276.6139,1280.4805,330041
20151008,1280.1545,1282.9496,1248.2438,1253.3215,221621
20151009,1273.6326,1273.6326,1238.7405,1254.3929,213506
20151012,1261.5203,1281.086,1258.0264,1276.4275,204121
20151013,1277.3589,1290.4027,1254.1131,1269.2065,199724
20151014,1271.769,1281.086,1268.9739,1276.1479,117808
20151015,1285.7446,1290.3564,1277.5456,1280.6669,165060
20151016,1285.8375,1295.0148,1274.564,1287.5146,285870
20151019,1285.7444,1293.1979,1268.0421,1276.3807,188511
20151020,1274.5639,1287.6077,1257.7933,1263.9891,207584
20151021,1265.2468,1275.9614,1230.774,1257.2808,201539
20151023,1269.9054,1281.0858,1260.1226,1277.4056,218556
