Date,Open,High,Low,Close,Volume
20150303,866.9018,879.802,862.8791,872.0803,2114707
20150304,875.6408,957.9892,867.2255,930.5706,7567230
20150305,941.39,967.2365,929.8307,960.5784,3792463
20150309,947.2622,970.8894,932.1426,962.6592,3154190
20150310,967.2829,976.068,941.1589,947.5396,2094814
20150311,951.9321,957.4806,931.2641,933.8533,1845619
20150312,936.4429,961.5497,933.9923,958.1744,1990646
20150313,966.0806,966.0806,930.8016,935.4716,1499576
20150316,937.7836,955.1688,934.1309,952.3483,1445672
20150317,955.2613,971.9067,948.9268,963.4915,1818956
20150318,964.8787,969.1325,953.4118,965.8959,1489193
20150319,970.9819,994.1005,958.2204,968.9012,2661474
20150320,970.9819,993.6382,944.4417,949.3892,2371025
20150323,958.8677,967.2366,937.1362,947.1697,1972135
20150324,956.186,970.797,952.487,959.0989,2573597
20150325,978.3798,987.4424,963.6763,972.8776,4242685
20150326,973.5712,973.7561,943.2396,950.36,2974909
20150327,958.8677,963.1678,926.6865,935.1017,1999967
20150330,944.3031,948.5569,933.0675,934.732,1613058
20150331,938.6158,955.4923,934.3157,946.846,1939047
20150401,946.846,1011.6706,942.2685,999.7877,4104961
20150406,1019.716,1092.1235,1007.9718,1081.3041,4805720
20150407,1091.1987,1110.4335,1050.2788,1065.3522,3978093
20150408,1073.9521,1085.0028,1051.4808,1063.8723,2732857
20150409,1072.6112,1074.8306,1022.7674,1029.6567,3143647
20150410,1029.2409,1043.6669,1015.6934,1035.4829,2880186
20150413,1035.8064,1070.7618,1028.9632,1064.3347,2036205
20150415,1073.9984,1073.9984,1028.6396,1033.2172,3103257
20150416,1037.7485,1042.4185,1001.0362,1006.076,2725037
20150417,1007.9718,1022.0279,951.3312,959.6539,3749872
20150420,969.1324,986.6101,959.7001,965.2485,2941375
20150421,879.4322,900.9325,860.0126,880.5419,265709391
20150422,890.5291,905.2325,876.6579,894.9678,10905987
20150423,906.2498,906.9896,865.561,871.1095,9450660
20150424,874.8085,884.0559,867.6417,876.1031,10416821
20150427,879.8944,885.2579,852.4757,856.6833,7641311
20150428,852.6146,863.8965,843.5983,855.2501,5553353
20150429,863.8963,875.7331,859.0877,869.7222,7229944
20150430,856.3135,872.8665,851.6898,868.1965,16367861
20150504,877.5827,885.2119,871.1558,876.4268,7780934
20150505,883.0387,887.7549,878.5537,886.3215,4329997
20150506,885.4892,885.6279,855.3888,866.6245,5151640
20150507,862.7867,865.561,850.8113,858.0706,3690081
20150508,863.1104,875.0396,850.8575,869.4911,4998817
20150511,878.9698,895.569,877.3977,891.8238,5241168
20150512,889.8355,892.7485,872.0342,878.1838,4197503
20150513,881.1893,890.483,871.7107,882.2527,2584318
20150514,881.0966,881.4665,868.3352,873.3288,2701006
20150515,857.6083,880.357,856.5448,875.1321,2563043
20150518,876.1031,887.7549,872.3117,884.9344,2137699
20150519,884.9343,904.8164,876.5191,885.0268,2047194
20150520,889.0495,896.4012,884.0559,892.7022,2163245
20150521,893.3959,912.4457,889.6969,907.4058,4649220
20150522,904.4002,932.9748,903.2442,928.2123,4813876
20150525,927.5189,933.9921,918.7338,926.7329,2000807
20150526,924.6983,924.7446,908.0992,919.9821,2570872
20150527,921.138,928.4435,898.0194,902.1345,2738544
20150528,899.869,905.0939,875.3171,882.9462,7781595
20150529,891.87,905.325,887.7548,893.3958,7065774
20150601,846.6499,848.7306,803.6955,811.6021,14265602
20150602,820.4335,821.5432,792.3675,795.974,7192196
20150603,796.7599,798.0546,777.2478,779.0049,6496553
20150604,772.1618,779.0973,756.9959,768.9714,6628714
20150605,768.9713,795.8352,767.538,784.0909,4696506
20150608,786.033,789.732,763.423,767.1219,2678221
20150609,761.9895,764.2552,747.656,749.6442,3709907
20150610,750.153,768.3705,750.153,761.1574,4205596
20150611,765.6886,776.7856,754.5917,757.8745,4107146
20150612,762.6831,762.6831,746.5001,752.326,2398615
20150615,754.9616,784.0911,749.182,774.6587,3946889
20150616,778.4501,779.5598,769.85,776.8781,2221962
20150617,782.9814,785.062,773.5952,780.3921,3705966
20150618,783.2588,797.13,781.4093,791.6277,3919775
20150619,796.2051,797.8696,779.7909,782.2877,2333016
20150622,786.8653,797.1299,786.1717,792.4138,2429207
20150623,795.2342,801.4762,791.5814,793.1535,1899146
20150624,794.3556,814.4688,794.3556,805.545,5168452
20150625,805.2215,812.2958,796.0665,800.9214,6719110
20150626,804.2505,807.672,796.2052,801.9386,2614534
20150629,787.8824,789.7319,773.3639,785.6168,1794757
20150630,790.3331,811.2785,786.5878,808.7817,4010634
20150701,815.1162,819.6937,804.1579,807.3945,2251368
20150702,816.3645,818.2602,802.2159,805.545,1914607
20150703,808.5967,815.3473,803.3718,805.4525,1407939
20150706,797.1761,814.0527,796.6675,812.7581,1381867
20150707,813.3129,824.6872,809.1515,818.7226,2556817
20150708,816.8269,821.6355,801.6611,805.7299,2485149
20150709,805.4526,818.7227,799.1643,806.7473,2059496
20150710,814.7001,839.4833,812.7582,833.7036,3549894
20150713,841.4252,855.8511,839.6681,846.6037,3265149
20150714,846.5113,852.1522,837.4025,850.2103,1706366
