Date,Open,High,Low,Close,Volume
20150303,140.5536,146.229,139.3565,145.0318,4314580
20150304,145.4309,145.7412,139.2234,140.4206,2204041
20150305,140.0215,143.1252,138.4253,141.263,1419036
20150309,141.0413,144.4111,139.4451,141.0413,2281047
20150310,141.5734,142.7705,138.1593,139.4451,1354766
20150311,139.5338,141.4404,138.9574,139.9772,1773712
20150312,140.5536,143.1253,139.9772,141.8838,2130596
20150313,142.7262,142.8592,136.1641,137.3169,2248388
20150316,137.4056,138.0263,135.5433,137.2282,1343251
20150317,137.6716,139.4895,137.6716,138.9574,1416285
20150318,139.1348,140.3319,137.8046,138.2037,1268390
20150319,138.9131,139.5338,135.4103,136.4301,1776564
20150320,136.3414,136.3414,132.1293,132.9717,1834524
20150323,132.8387,133.5038,130.2671,130.5331,1229406
20150324,130.6661,132.0849,129.6463,131.1981,1328198
20150325,131.2425,132.4839,131.0208,132.1292,1566031
20150326,131.2868,132.617,129.9123,130.6217,2029247
20150327,131.6415,132.3066,126.5426,129.2472,2099157
20150330,130.4444,133.2377,129.9567,132.7943,818899
20150331,133.2377,134.0801,131.5085,131.9519,1383972
20150401,131.9519,134.7452,131.9519,133.9914,575050
20150406,134.7452,134.8783,132.8387,134.3018,843471
20150407,135.1442,135.1442,132.9273,133.9914,1810409
20150408,134.6122,136.2971,133.7255,134.4349,1142129
20150409,135.1,135.6764,133.9028,134.8339,852909
20150410,135.4103,144.1007,134.8339,142.9479,6349564
20150413,143.3469,144.3224,140.6423,143.2139,3122578
20150415,143.1696,144.9875,139.9772,140.9527,4215595
20150416,140.9083,142.1054,138.381,141.263,1373494
20150417,141.2187,142.9479,139.2234,139.7112,1223180
20150420,139.4895,139.8885,134.0801,135.898,1753170
20150421,135.5877,137.1395,132.7056,133.1934,3096387
20150422,133.8141,134.5679,129.3359,132.7057,2719219
20150423,133.9028,135.233,132.9273,133.1934,2312755
20150424,133.5924,133.5924,129.6463,130.5774,1179218
20150427,130.9321,131.3755,125.3898,126.0549,3007045
20150428,125.5671,127.8284,125.0351,125.8775,3701269
20150429,126.1435,127.119,125.4784,126.4096,1836583
20150430,126.1435,126.9416,124.503,126.0105,2456804
20150504,127.1633,128.4935,126.4096,127.2963,1103984
20150505,127.5624,129.3802,127.252,128.1831,1785800
20150506,127.9171,128.5378,123.0398,123.9709,2281538
20150507,123.2615,124.5473,121.1333,122.1531,2366296
20150508,123.2615,125.7888,122.6408,125.0794,1572681
20150511,125.3898,127.6067,124.636,127.119,2341680
20150512,127.0746,129.0255,123.6162,126.6756,3019872
20150513,126.9416,129.3802,126.8529,128.1831,2227212
20150514,128.6265,130.267,127.385,129.735,1373721
20150515,130.2227,131.6859,128.9812,130.7104,2232739
20150518,131.0208,133.4151,130.9321,131.1981,1497623
20150519,131.0652,132.351,130.1784,130.8435,1138811
20150520,130.7547,131.9075,128.1831,129.4246,1648427
20150521,129.6019,130.7991,128.6265,130.0453,702795
20150522,130.3557,132.2623,129.9567,131.1981,1010894
20150525,130.7991,132.5283,130.134,130.7547,872187
20150526,130.1783,132.75,130.1783,131.9519,1118631
20150527,130.7104,133.016,130.7104,131.8632,909189
20150528,132.4839,133.2821,126.8086,128.4935,5132085
20150529,126.8529,130.0453,126.8529,129.6906,1343454
20150601,128.8482,129.8236,128.4048,128.7152,569531
20150602,128.5822,129.2473,124.1483,124.8577,2077218
20150603,124.6804,125.2124,121.0446,121.7984,2271136
20150604,122.0644,122.9068,120.6012,122.1531,2132044
20150605,122.2861,123.8823,121.355,122.8181,756591
20150608,123.0842,123.0842,118.8277,119.5814,1937914
20150609,119.7144,123.1728,118.8277,121.9757,877704
20150610,122.02,122.9955,120.6012,121.1333,799419
20150611,121.488,122.153,118.4729,119.1824,1586596
20150612,118.4729,119.2267,111.4674,113.64,2641286
20150615,113.374,116.0786,112.7089,114.4825,1933262
20150616,114.3494,114.8372,112.4429,114.1277,1341209
20150617,114.6598,118.9607,114.2608,117.3645,2239733
20150618,117.8965,118.739,117.3201,117.5862,970883
20150619,118.1182,120.7786,117.6305,118.606,1278156
20150622,118.606,121.0002,118.5616,119.7144,1019044
20150623,120.2465,120.5125,117.9409,118.6946,2115793
20150624,118.2513,119.9361,117.4975,118.1182,1696146
20150625,117.8522,120.9559,117.5862,120.3352,2736280
20150626,118.1182,119.7144,117.3201,118.6946,928889
20150629,117.0541,117.0541,113.6844,114.8815,1397938
20150630,115.0589,117.7192,114.5268,117.2315,4332991
20150701,117.4975,120.6899,116.4334,120.2022,2667661
20150702,120.1135,122.4191,119.8031,121.5766,1826569
20150703,121.9314,122.9068,119.9361,120.6899,1032972
20150706,118.0296,120.2465,117.2315,119.7144,1260314
20150707,120.2465,125.6115,119.8031,122.5521,3133999
20150708,120.6899,122.3748,119.005,119.6257,1608817
20150709,119.6257,120.3352,118.1182,118.7833,1049069
20150710,119.5371,120.2465,118.6503,119.3154,1590741
20150713,119.6257,122.1974,119.0493,121.3106,1720786
20150714,121.488,122.5521,120.3795,121.5323,1974367
20150715,121.9314,123.7049,121.1333,122.5078,1530200
20150716,123.2171,123.2171,121.1332,122.3747,804974
20150717,123.1728,124.1483,121.7097,123.2615,2108950
20150720,122.5521,126.4095,122.5521,125.7001,2394358
20150721,124.237,125.8331,121.3993,121.9314,1965237
20150722,121.488,124.1483,119.271,123.7049,1310150
20150723,124.104,126.0992,123.6162,124.9021,2009103
20150724,124.9021,126.1879,124.237,124.8577,1542474
20150727,124.6804,124.6804,121.2663,121.9757,1245996
20150728,122.1974,122.8181,120.7342,121.887,1294926
20150729,122.5077,123.1728,121.7097,122.9511,1150281
20150730,124.0978,124.0978,122.1152,123.6022,1848759
20150731,122.5658,128.6941,121.98,126.3509,2328615
20150803,127.4324,129.6404,126.396,126.9367,1673236
20150804,129.2348,130.4514,127.0719,129.1447,2117898
20150805,129.9558,130.3613,127.7928,128.1083,1550830
20150806,127.9731,132.7495,127.0719,129.5502,3835649
20150807,128.8292,130.6767,127.6126,127.928,992867
20150810,127.9731,128.5589,124.5935,125.2244,1248444
20150811,125.4497,126.8916,122.746,124.0978,1269206
20150812,124.0978,124.0978,119.051,119.9072,1197225
20150813,121.2139,121.4392,116.6177,117.1584,1074691
20150814,118.2399,120.493,116.9332,119.051,1714304
20150817,119.4115,119.772,117.7893,118.0597,798673
20150818,120.9436,122.9263,119.4566,120.8985,2189190
20150819,121.2139,121.4843,118.5103,120.5831,1504926
20150820,120.1325,121.6645,118.7356,119.772,1354813
20150821,118.5103,119.1411,114.4548,117.5189,1043785
20150824,116.1671,116.1671,101.3871,103.505,3763375
20150825,104.6315,107.6055,97.8273,105.9383,5056575
20150826,106.2988,107.966,103.7754,105.713,1404188
20150827,107.4703,107.6506,104.4513,104.8568,6857158
20150828,106.6593,108.5068,105.4426,106.479,3490011
20150831,106.1636,108.2815,105.3074,107.7858,2010188
20150901,107.0198,107.0198,102.784,103.8204,2716732
20150902,104.6315,107.5605,104.0908,107.1099,1927201
20150903,108.8222,112.6524,107.2451,111.8863,4688477
20150904,112.2468,112.2468,105.2173,108.3265,2496844
20150907,109.5882,110.3542,106.6593,108.5518,1349442
20150908,109.408,110.0388,105.4426,109.0024,1414288
20150909,110.0388,112.2017,109.5431,111.4357,1569358
20150910,109.9487,112.2919,108.1463,111.5258,1042265
20150911,112.4721,112.9227,110.5795,111.0752,784377
20150914,111.8413,112.2017,109.6333,111.7962,789201
20150915,111.7962,113.9591,111.7962,113.0129,939558
20150916,114.4097,114.4097,110.0839,110.94,695624
20150918,111.7512,113.5536,110.7598,113.0579,1284690
20150921,110.895,113.7338,110.895,113.103,623623
20150922,113.7338,114.4548,110.7598,111.661,1284630
20150923,111.1654,112.9678,110.174,112.6524,1055109
20150924,112.4721,113.5085,111.4357,111.9314,1011551
20150928,112.6524,115.356,111.5709,114.5449,1253307
20150929,114.0042,114.9955,110.94,114.0943,1009942
20150930,114.8153,116.6177,114.1394,115.1758,915110
20151001,116.2122,118.2399,114.8153,117.2035,1218988
20151005,118.4652,119.3664,117.2486,118.8257,746173
20151006,119.4115,119.4566,116.798,117.6541,1009128
20151007,119.051,120.7183,118.6004,119.9072,994870
20151008,121.5744,121.5744,118.8257,120.1776,846622
20151009,120.7633,121.98,120.1775,121.3942,1317037
20151012,121.6646,122.5658,120.6732,121.259,566886
20151013,121.259,121.3942,118.6905,119.2313,1028678
20151014,119.8621,121.6646,119.3214,120.7633,1428493
20151015,120.9436,121.6645,120.0423,121.3942,591991
20151016,121.6646,121.8448,119.5016,120.7633,357403
20151019,120.4028,121.7547,120.0874,121.3942,405056
20151020,121.3942,127.883,121.3491,125.6299,2469431
20151021,125.9003,125.9003,122.2053,123.9627,589717
20151023,124.9991,126.1707,123.3318,124.188,413539
20151026,124.7287,126.3509,123.6472,125.1793,734224
20151027,124.999,125.3595,121.7547,122.3855,881996
20151028,122.3855,123.4219,121.6646,122.2053,593469
20151029,122.4756,124.8188,121.4843,122.4756,2084196
20151030,123.467,123.6923,118.0596,120.2676,774022
20151102,120.7633,121.6646,118.0146,119.5467,621684
20151103,120.1325,120.8985,117.8794,118.7356,519168
20151104,118.9609,120.3127,118.4202,118.7356,557561
20151105,118.7356,119.5016,114.9054,115.356,892494
20151106,114.2746,115.5813,112.4271,113.4184,858491
20151109,112.5622,116.6628,110.8499,116.077,1107840
20151110,114.7252,115.7616,112.9227,113.2832,525833
20151113,115.356,116.2572,113.7789,115.356,737584
20151116,115.1758,116.6177,114.0042,115.4912,580961
20151117,116.8881,120.7633,115.6264,119.4115,1152357
20151118,120.4479,120.4479,115.4461,116.0319,922793
20151119,116.798,118.4201,116.4825,117.9695,488288
20151120,118.1047,122.5658,118.1047,120.5831,1149754
20151123,121.4843,121.6646,118.285,119.8171,842444
20151124,119.8621,122.2954,119.4115,121.0788,613392
20151126,121.3041,122.7911,120.8985,121.6195,1904180
20151127,121.5744,124.7287,121.5744,123.4219,1152280
20151130,124.3682,124.4583,122.4756,123.9627,849968
20151201,124.4133,125.3596,121.6646,122.7911,911482
20151202,122.9262,124.188,121.6645,122.746,565383
20151203,122.6559,123.2867,120.9436,121.5744,689892
20151204,120.7633,121.6645,119.6368,120.4479,758581
20151207,120.8535,122.3855,120.8535,121.98,476940
20151208,121.6195,124.8188,121.2139,121.6645,1271238
20151209,121.7997,122.8361,117.5189,119.0961,1152536
20151210,119.0961,122.3855,118.8707,121.9349,704236
20151211,121.9349,122.3855,118.2399,120.0424,836942
20151214,118.8708,121.6646,118.6455,121.0788,773849
20151215,121.5294,121.5294,119.6368,120.6281,589790
20151216,121.1238,125.1342,120.8985,123.0614,1191657
20151217,124.0077,128.694,122.8361,128.1533,1707401
20151218,128.3786,129.7755,127.0719,127.8829,1147660
20151221,127.5675,130.0459,127.3422,128.7842,1040800
20151222,129.415,129.7755,126.441,127.2521,609093
20151223,127.9731,128.6941,127.1169,127.9731,561726
20151224,128.8743,131.9835,127.9731,130.4965,1428993
20151228,130.5866,130.9021,129.2799,129.8206,780709
20151229,130.136,130.136,127.2521,127.8829,1260484
20151230,128.4237,132.8397,127.5225,131.8934,1746109
20151231,132.4792,133.3804,129.9558,131.7582,1464755
20160101,131.623,134.1014,131.1273,131.9384,781067
20160104,131.4878,132.6594,128.1984,129.5051,950484
20160105,129.7755,134.7322,128.1533,133.6958,1502760
20160106,132.5693,135.0026,130.2261,130.9021,834054
20160107,129.8657,130.4064,125.2694,126.2157,1034747
20160108,126.7564,132.2539,126.2608,130.1811,1284440
20160111,129.0545,129.7755,127.0268,127.8829,1201860
20160112,128.3335,129.2798,124.4133,125.72,1353097
20160113,127.7478,127.928,117.4288,122.2053,1907971
20160114,119.051,122.7911,118.1949,120.8084,1431102
20160115,121.6645,122.025,114.9054,115.8066,1756768
20160118,115.356,116.2572,109.0925,109.8135,2065711
20160119,110.8049,114.4548,109.5432,113.9141,1411260
20160120,112.2919,112.2919,108.5969,110.4444,1278069
20160121,110.895,112.2468,107.6957,109.7234,1322358
20160122,111.616,114.3647,109.9036,113.148,1084192
20160125,113.4184,114.4548,111.2104,112.0215,682689
20160127,112.6073,113.5085,111.1203,112.1567,655053
20160128,112.6073,113.0128,110.4894,110.9851,1539708
20160129,111.8413,114.8603,111.1653,114.0042,925581
20160201,114.2746,115.6264,112.8326,114.0943,592819
20160202,114.8153,115.0856,111.3456,111.9764,734748
20160203,110.895,112.4721,109.0475,109.7234,877186
20160204,110.94,111.2104,108.5068,109.5882,1120485
20160205,109.8586,111.7061,109.453,110.3993,797137
20160208,110.895,113.6437,110.3993,111.661,1227619
20160209,110.8499,112.1116,108.2364,108.8222,1109232
20160210,108.5969,109.0475,104.9469,106.6593,1654991
20160211,101.5674,104.3612,92.2848,94.8533,5524328
20160212,93.0508,95.8897,90.1219,93.9971,2087141
20160215,94.7181,97.7372,94.7181,95.5292,1091675
20160216,97.0613,98.1427,92.1046,92.5101,1341261
20160217,92.8255,94.2675,91.1132,93.7268,1268061
20160218,94.9885,95.9798,92.3749,94.2224,1429030
20160219,94.628,97.5119,93.9521,96.7008,1340622
20160222,96.7008,98.9989,96.4304,98.323,1151733
20160223,98.2328,98.6835,94.7181,96.115,1037357
20160224,95.7095,97.602,94.628,96.1601,758132
20160225,97.1514,97.3767,92.3749,95.7094,9364686
20160226,97.2866,97.7823,93.5465,94.4027,2381968
20160229,94.628,96.5205,91.5638,93.3212,1639500
20160301,93.907,98.6835,93.907,98.1427,1481271
20160302,99.1341,101.6124,98.6384,99.044,1220668
20160303,99.5847,100.2606,97.2866,98.6835,1260507
20160304,99.1341,102.6488,98.368,102.063,1377634
20160308,103.0093,104.9019,101.9279,104.226,1677380
20160309,104.226,105.8932,103.2346,105.3074,1555016
20160310,106.1636,106.434,104.0007,104.9469,1177827
20160311,105.0371,105.9833,103.6852,104.4062,1170769
20160314,104.5865,105.758,102.6488,104.226,1609295
20160315,104.5414,104.9019,103.6402,104.0457,1082982
20160316,104.271,104.6315,102.8291,103.7303,964165
20160317,104.5414,105.3975,103.6402,104.3611,1396728
20160318,104.992,107.8308,104.4963,107.1549,2062464
20160321,107.4253,108.9574,107.0197,108.0561,839802
20160322,109.0925,111.1203,108.5518,109.408,1469400
20160323,109.5882,110.0839,106.9296,107.6506,1230385
20160328,108.1463,109.0475,106.7944,107.6055,1382616
20160329,107.3352,108.5068,106.7043,107.5154,3588313
20160330,108.0561,112.6524,107.6956,109.408,1922207
20160331,109.9487,110.2191,108.4166,109.2728,1627181
20160401,109.9487,111.9314,108.3265,110.4444,1532533
20160404,110.7147,111.2555,108.8222,109.2277,831737
20160405,109.0475,109.1827,106.3438,106.5691,1663091
20160406,107.7858,108.1463,103.6402,107.1099,1327276
20160407,106.434,108.5068,106.434,106.9747,1147382
20160408,106.7944,107.245,105.4426,106.0735,648096
20160411,106.3438,108.3716,106.2086,107.6956,1050521
20160412,107.6957,108.2364,106.3889,106.6593,788617
20160413,107.2901,109.3629,107.2,108.732,928735
20160418,108.9123,109.0475,107.3352,108.1463,765331
20160420,108.3265,111.0302,107.7407,109.8135,1572869
20160421,110.3092,110.6246,107.7407,108.2364,892645
20160422,107.245,109.8135,107.245,108.3716,716365
20160425,108.5068,109.8586,108.1463,109.2277,782130
20160426,108.687,110.3993,108.687,109.7685,984070
20160427,110.3993,111.7061,109.9036,110.3092,1949554
20160428,110.3993,111.3005,108.1463,108.4166,2142054
20160429,109.0475,109.0925,107.245,108.1913,869948
20160502,107.5605,109.7685,107.245,109.1376,717595
20160503,109.5882,110.4444,107.3802,107.6506,1356187
20160504,107.966,107.966,104.8118,105.3975,894057
20160505,105.4426,106.1636,103.9105,104.8568,745000
20160506,105.0371,107.6957,104.3611,106.4339,654231
20160509,107.1549,108.5068,105.8482,107.0197,1207381
20160510,107.245,108.1012,106.3438,106.5241,526190
20160511,105.4426,106.5691,104.8118,105.713,622661
20160512,106.1185,107.4253,105.6679,107.2,596225
20160513,106.3438,108.7771,106.3438,107.7407,1103386
20160516,107.7407,109.0475,106.7494,108.732,688646
20160517,109.0475,109.408,107.7858,108.4617,1068540
20160518,108.1463,109.7234,107.7407,109.0024,641976
20160519,108.1463,109.9487,107.2,108.1012,1085102
20160520,108.0561,109.1827,107.6957,108.1913,466672
20160523,108.5969,111.8413,107.8759,108.5068,1396870
20160524,109.6783,110.1289,107.8759,109.7234,1438192
20160525,108.1463,109.0475,107.3802,107.6956,1787665
20160526,108.1463,108.3716,106.479,106.8846,1383549
20160527,106.4339,107.6055,105.3074,105.713,676137
20160530,106.3438,107.8308,105.713,106.2988,692008
20160531,106.1636,107.3352,105.9383,106.1185,658231
20160601,106.5241,107.6506,106.2086,106.3889,581341
20160602,106.7945,107.966,106.0284,107.4704,549738
20160603,109.0024,110.0388,107.8759,108.3265,1783456
20160606,108.4617,109.2277,106.8846,107.5154,866406
20160607,107.6055,108.4617,107.1099,107.5605,690551
20160608,107.5154,114.0042,107.1549,112.1116,2390316
20160609,114.7252,114.8603,112.2919,112.6073,2825223
20160610,112.9227,113.5536,110.5795,111.4357,900666
20160613,109.9487,116.2572,109.9487,115.4912,4305954
20160614,116.6177,116.7078,113.5536,114.0042,2902578
20160615,114.6801,115.4912,114.0943,114.4548,1662070
20160616,114.3647,115.8517,111.5709,113.6437,1489092
20160617,114.0042,115.6714,112.382,113.2832,1717907
20160620,112.2468,114.59,112.2468,113.6888,732869
20160621,113.824,114.2746,112.7425,113.0579,447117
20160622,113.1931,115.9418,112.382,114.6801,2792498
20160623,114.9054,115.4912,113.1931,114.2295,1408701
20160624,108.5969,112.5172,105.5327,111.9764,3585896
20160627,112.427,113.9141,112.0215,113.5085,2162032
20160628,114.9054,115.8968,114.2295,115.2208,2563561
20160629,115.4912,117.9696,115.4462,116.8881,2735697
20160630,117.6091,118.9158,116.6628,118.2399,2810587
20160701,118.9609,123.2417,118.5103,121.5744,5379977
20160704,122.2053,122.3855,120.5831,120.8534,1144671
20160705,120.9886,122.7009,120.0423,120.6732,942568
20160707,120.3127,122.9262,120.2677,121.1689,2125346
20160708,121.1689,121.3041,118.4652,119.5016,1296935
20160711,120.7633,121.6645,119.5917,119.9522,1689644
20160712,120.2677,121.7997,119.4115,119.772,1612081
20160713,119.772,120.5831,118.1498,119.0961,1306338
20160714,119.772,120.1325,118.6004,119.5016,1093389
20160715,120.7633,121.2139,119.1862,119.5016,1587827
20160718,119.8621,120.2677,116.3924,117.1134,2283784
20160719,118.5103,118.5103,116.077,117.2035,3903542
20160720,117.4739,121.4843,117.4739,120.6281,1887075
20160721,121.4843,121.4843,118.1948,118.7806,1884426
20160722,118.8708,119.772,118.2399,118.5103,2012357
20160725,118.7356,120.7633,118.2399,120.2676,1656721
