Date,Open,High,Low,Close,Volume
20150303,572.5284,572.5284,562.2081,564.2722,3593208
20150304,571.5455,581.9641,560.3407,564.2722,6242783
20150305,566.1396,567.9088,557.9817,560.9304,3354510
20150309,561.2253,563.7808,552.3794,555.4263,3566055
20150310,558.1784,562.8962,549.1359,550.6102,3917160
20150311,551.3964,555.5246,538.8155,541.4694,3184841
20150312,545.4008,557.2446,544.8111,554.2468,3430749
20150313,555.9668,556.016,545.5974,548.7918,5382475
20150316,549.4798,556.016,544.762,547.3666,2786971
20150317,554.3451,569.0883,552.7725,561.7659,5395883
20150318,560.5864,561.2253,546.9735,550.6102,4569613
20150319,555.328,559.2104,541.8133,544.3197,3295114
20150320,539.5527,541.2236,531.7387,538.2258,5119749
20150323,538.6681,548.2512,538.6681,542.0099,3153860
20150324,542.3539,543.0419,519.3545,523.1386,4519046
20150325,526.333,536.2601,524.3672,532.5743,8625253
20150326,521.8118,529.7731,511.8847,515.2756,6544581
20150327,516.6516,527.6107,509.28,526.1855,4721243
20150330,527.6598,531.788,522.254,530.7559,4012522
20150331,530.9033,550.217,528.397,540.7813,5409542
20150401,539.7002,556.704,538.619,555.2297,4222512
20150406,560.1917,569.7286,551.6979,564.4138,5728358
20150407,565.3078,566.947,550.4064,556.665,3201751
20150408,561.2844,565.8541,555.5226,557.8074,3774897
20150409,559.0989,561.1354,548.6183,556.218,3043135
20150410,555.1252,565.6556,551.8966,558.95,2808049
20150413,559.2975,560.1916,548.8169,552.5919,2889208
20150415,547.6248,547.6248,534.7103,536.8959,4118983
20150416,540.1742,547.6249,530.687,537.6906,4027716
20150417,537.939,541.2173,530.6373,531.8294,2728290
20150420,539.5781,539.5781,517.6234,529.6935,5011252
20150421,527.9551,534.462,520.0573,523.9317,3243871
20150422,525.5212,526.2166,507.2919,520.0574,4311384
20150423,524.329,524.329,505.1063,508.633,4961920
20150424,511.8616,516.5804,505.2553,512.8054,4302328
20150427,517.5738,519.5606,509.6761,513.451,3082875
20150428,517.0771,530.2896,514.9412,526.3656,6417077
20150429,523.286,524.5278,513.4014,517.4745,3685760
20150430,514.7922,517.3751,503.4175,504.9077,10009172
20150504,508.3846,512.6067,494.2284,503.1195,5849866
20150505,506.1494,512.3087,502.7221,507.0932,3398712
20150506,505.156,505.156,492.5395,494.576,5925410
