Date,Open,High,Low,Close,Volume
20150303,71.2548,72.4094,70.1003,71.9558,2803269
20150304,72.5744,72.8218,69.1106,69.5642,2752005
20150305,69.5642,70.8425,69.2755,70.3477,2394050
20150309,69.7292,69.9766,67.6261,67.8323,2210809
20150310,68.2447,68.6158,66.6777,66.8839,2361600
20150311,67.4612,67.7498,66.4303,66.6777,3338126
20150312,67.0076,67.956,66.9664,67.1725,3011012
20150313,68.2034,68.2034,65.4819,65.7293,3689687
20150316,66.554,67.1725,65.5644,66.8014,3030132
20150317,67.3375,67.4612,66.018,66.4303,2387387
20150318,66.1004,67.7086,65.0283,66.2654,5906417
20150319,66.7602,67.4199,65.5644,65.8118,2905760
20150320,65.9767,66.3066,64.8633,65.1108,2398900
20150323,65.5643,65.6468,64.6159,64.9458,2500710
20150324,64.7809,65.5231,64.451,64.6159,2560026
20150325,65.0695,65.0695,63.7088,63.7912,1892901
20150326,63.9149,64.5335,62.6779,62.8428,4567870
20150327,63.4613,63.4613,61.0285,61.7707,3761113
20150330,62.348,62.5542,60.6573,61.3171,4614892
20150331,62.1006,63.9149,61.7707,63.585,6840776
20150401,63.5438,64.2448,63.2552,63.9149,2798293
20150406,64.3273,64.5747,62.7603,63.7087,4749503
20150407,64.1623,65.152,63.6675,64.6572,2546427
20150408,65.0695,65.152,63.6263,63.7912,2227241
20150409,64.1624,64.8221,63.7912,64.6159,1948487
20150410,64.7396,65.6468,64.3273,65.0695,1930751
20150413,65.317,66.3478,65.0695,66.1004,2412265
20150415,66.3891,67.9148,65.4819,66.9664,4619530
20150416,66.9663,67.0488,65.4406,66.1416,1788962
20150417,65.9767,67.2138,65.3582,66.3478,1602765
20150420,66.3066,66.8426,64.6984,64.9458,1983867
20150421,64.7397,65.4819,63.6263,63.9149,2395252
20150422,63.9974,65.5231,63.1315,64.8634,3366177
20150423,65.8118,66.2653,64.8221,65.3582,2348489
20150424,65.3994,65.4406,63.9974,64.4098,1487555
20150427,64.7396,65.3169,63.8325,63.9974,2222370
20150428,63.8325,64.8221,63.1315,64.2448,2494510
20150429,64.2448,64.451,63.6263,63.8737,1615193
20150430,63.8737,64.2861,61.3583,62.5129,6036198
20150504,62.9253,64.0799,62.8841,63.75,1665818
20150505,63.6675,63.7912,62.6779,62.7603,1528185
20150506,62.6779,62.8016,60.2862,60.5749,4113387
