Date,Open,High,Low,Close,Volume
20150303,12.0921,12.2582,11.9722,12.0972,53751517
20150304,12.1948,12.2342,11.8386,11.9259,49051635
20150305,11.9379,11.9619,11.6896,11.7581,50067718
20150309,11.7581,11.7735,11.4755,11.52,45854906
20150310,11.5834,11.6125,11.3059,11.359,42948363
20150311,11.407,11.4755,11.1072,11.1432,49145480
20150312,11.2254,11.5234,11.2168,11.4138,45390518
20150313,11.5097,11.5251,11.1329,11.1843,34423720
20150316,11.2648,11.2648,11.0678,11.174,29148663
20150317,11.3042,11.5251,11.2048,11.3915,45438233
20150318,11.4994,11.4994,11.2819,11.3641,32534625
20150319,11.4498,11.8112,11.4292,11.5303,64537645
20150320,11.5303,11.6947,11.2014,11.2597,60626733
20150323,11.3196,11.4755,11.2562,11.3521,37579430
20150324,11.3076,11.4378,11.1072,11.2066,46746811
20150325,11.2357,11.2682,11.0301,11.0695,37206304
20150326,11.0644,11.1312,10.7561,10.8109,68402890
20150327,10.8726,10.9394,10.6602,10.7938,42185886
20150330,10.8931,11.1295,10.7955,11.0438,31389356
20150331,11.1774,11.1809,10.7972,10.8503,41301004
20150401,10.8589,11.1295,10.8246,11.0867,32391543
20150406,11.1124,11.1535,10.8452,10.8966,38517191
20150407,10.9719,11.4823,10.8589,11.4241,76555500
20150408,11.5131,11.6091,11.2562,11.5131,65964997
20150409,11.5611,11.9002,11.544,11.854,64566720
20150410,11.842,11.955,11.6896,11.7392,50551514
20150413,11.7923,11.9293,11.6844,11.8249,36136932
20150415,11.818,11.8249,11.5166,11.5662,33587067
20150416,11.5919,11.7615,11.4258,11.568,39577978
20150417,11.5354,12.0647,11.4806,11.8523,73270741
20150420,11.9379,12.1366,11.6176,11.7992,65778471
20150421,11.8694,12.0578,11.7683,11.9293,52428633
20150422,11.9876,12.1434,11.6896,12.0355,50216626
20150423,12.1606,12.7069,12.1366,12.6556,127971125
20150424,12.7361,12.8388,12.4209,12.6915,88782331
20150427,12.6436,12.7703,12.3832,12.6367,52444209
20150428,12.6744,12.8131,12.5408,12.7172,43662643
20150429,12.7395,12.993,12.6059,12.6727,57228679
20150430,12.6059,12.6367,12.301,12.3438,64867495
20150504,12.3849,12.5648,12.2359,12.3884,34305965
20150505,12.4826,13.0512,12.4295,13.0204,80454027
20150506,13.0512,13.1711,12.5374,12.5939,62965679
20150507,12.5322,12.6967,12.349,12.5819,43462461
20150508,12.6778,12.8457,12.4723,12.5613,36242093
20150511,12.7463,13.0649,12.6915,12.9176,46997300
20150512,12.8577,12.8799,12.0766,12.1126,57462038
20150513,12.2034,12.3832,12.0458,12.3147,56637676
