Date,Open,High,Low,Close,Volume
20150303,1127.1644,1172.5536,1124.7058,1166.6698,3424308
20150304,1171.7136,1181.8422,1141.307,1154.0623,3862994
20150305,1155.7427,1164.4422,1126.7651,1133.2372,2173514
20150309,1109.5134,1126.2401,1096.9053,1112.3712,2883174
20150310,1113.2536,1125.5886,1090.7062,1110.6479,3037052
20150311,1110.3536,1117.8975,1091.7777,1095.4551,2240200
20150312,1102.7469,1103.1671,1088.5418,1100.7086,1827636
20150313,1108.6728,1109.4923,1082.1958,1085.2848,1586838
20150316,1086.4827,1096.9054,1072.5297,1076.8585,1556296
20150317,1085.3477,1095.5183,1074.9461,1085.8521,1267318
20150318,1088.8993,1092.4716,1072.4036,1075.6188,1255170
20150319,1082.6159,1095.161,1079.2958,1091.1263,2448964
20150320,1091.0214,1100.2674,1083.8138,1097.3044,1963908
20150323,1099.4271,1105.7312,1095.2244,1099.9104,1566608
20150324,1105.3106,1108.2525,1085.1797,1089.0461,2394878
20150325,1089.0883,1098.5864,1069.6718,1081.6705,2224858
20150326,1073.0756,1087.1126,1051.0955,1056.1808,3091642
20150327,1063.7041,1080.8931,1052.3989,1056.8958,2751776
20150330,1061.1822,1080.0523,1059.0809,1077.6357,1339006
20150331,1079.8633,1079.8633,1059.5012,1073.3491,2427028
20150401,1075.051,1077.4046,1060.0264,1068.5999,2075758
20150406,1075.0512,1077.1105,1050.7176,1070.5543,1568542
20150407,1076.9216,1092.2825,1069.1676,1086.3987,1886922
20150408,1090.1808,1116.4477,1088.857,1110.1016,1652134
20150409,1117.4987,1129.4553,1107.4752,1119.8312,2544450
20150410,1113.0857,1122.4577,1104.4702,1115.2921,1815544
20150413,1119.6001,1120.0204,1104.4704,1116.0278,1308642
20150415,1115.6914,1140.5714,1096.6531,1104.3651,2913934
20150416,1104.0294,1104.0504,1080.6624,1085.4745,3217570
20150417,1074.6732,1075.8919,1038.0676,1040.106,9668742
20150420,1042.2909,1043.9089,1019.092,1020.7521,2890722
20150421,1020.7522,1030.5024,1009.0687,1020.0167,2546032
20150422,1021.8872,1039.3284,1011.8217,1027.6029,4186812
20150423,1038.908,1042.1861,1021.9711,1032.709,4342990
20150424,1031.8894,1056.5593,1028.6323,1047.7546,3625158
20150427,1050.4654,1059.0809,1044.7917,1050.7595,2733052
20150428,1054.8783,1054.8783,1031.8055,1048.5742,3088298
20150429,1043.9512,1048.5742,1030.1033,1045.3381,2019620
20150430,1042.2702,1046.4729,1020.038,1035.4198,3738054
20150504,1046.8934,1052.6932,1032.6883,1042.9219,1890630
20150505,1051.0958,1065.9943,1050.6755,1058.1774,3255070
20150506,1056.9795,1056.9795,1032.0995,1035.1465,3394406
20150507,1035.9241,1073.2652,1031.2171,1069.6929,3205028
20150508,1075.8918,1087.6593,1057.526,1062.1279,3003664
20150511,1065.3844,1077.173,1061.1817,1074.2101,2573082
20150512,1075.892,1077.9933,1056.1393,1060.2999,2467386
20150513,1070.4285,1070.4285,1042.4595,1057.1479,1863774
20150514,1059.0806,1059.0806,1044.3711,1050.36,1309050
20150515,1056.9798,1064.2924,1051.096,1055.3617,1461454
20150518,1056.6014,1061.2874,1049.4568,1059.249,4507752
20150519,1058.8286,1063.2835,1049.3095,1056.0128,1957722
20150520,1059.0808,1080.0523,1057.7779,1074.6519,1897814
20150521,1074.6311,1084.2974,1070.9117,1074.0007,1579578
20150522,1071.6888,1104.7851,1067.1709,1100.2251,2691632
20150525,1101.1081,1108.2106,1086.6928,1093.1229,982978
20150526,1094.804,1102.474,1088.0376,1096.4221,1961740
20150527,1096.065,1106.6347,1089.3407,1099.1119,1620690
20150528,1094.3421,1102.3693,1085.2433,1096.6957,2763608
20150529,1099.8474,1113.128,1091.5471,1097.0316,4423532
20150601,1096.6741,1112.4973,1096.2119,1100.1624,882264
20150602,1099.4264,1105.3102,1088.7095,1092.66,3935820
20150603,1094.3836,1103.4615,1088.71,1097.2834,1804684
20150604,1099.889,1102.2845,1087.8692,1095.0768,4131468
20150605,1099.4674,1106.6784,1090.1355,1092.6169,2308534
20150608,1098.6191,1098.6191,1086.5936,1093.2957,1570320
20150609,1096.4982,1098.6191,1082.0762,1086.5936,2578914
20150610,1088.4386,1107.1023,1087.5054,1103.1787,2763350
20150611,1105.1934,1108.3747,1084.5147,1090.6865,1847336
20150612,1090.9417,1098.174,1050.6025,1062.9037,2571456
20150615,1062.691,1069.1172,1052.3834,1062.4789,2525176
20150616,1060.4432,1068.6298,1058.089,1065.5333,1267396
20150617,1069.3508,1072.8078,1061.2066,1066.2968,1975720
20150618,1066.8057,1080.0825,1063.8364,1073.1896,2165046
20150619,1075.2889,1083.7724,1071.9379,1081.4607,1999610
20150622,1080.3794,1102.8608,1080.3794,1099.2552,1102002
20150623,1102.8604,1106.2538,1088.9473,1092.0863,898318
20150624,1094.3773,1097.7283,1085.406,1090.2628,1170246
20150625,1086.742,1091.4079,1079.1704,1081.6519,1930992
20150626,1081.7369,1101.3127,1081.7369,1099.8069,1290102
20150629,1090.9839,1104.5575,1078.8523,1099.8491,1372756
20150630,1096.4981,1098.0887,1077.4101,1082.0548,1549952
20150701,1087.548,1106.2543,1084.5152,1099.9341,1279708
20150702,1102.8607,1104.112,1090.5808,1093.4227,1445880
20150703,1091.4293,1107.1027,1090.1356,1104.5151,963470
20150706,1094.5044,1121.9487,1094.5044,1116.9858,1182338
20150707,1116.753,1122.755,1104.1337,1109.754,1642836
20150708,1101.9913,1112.0655,1094.5894,1100.7825,2667850
20150709,1100.74,1102.1186,1063.2639,1069.9872,3934122
20150710,1085.4697,1085.4697,1041.3552,1049.5631,8263654
20150713,1050.0082,1068.3327,1050.0082,1064.4939,2280308
20150714,1065.1086,1066.8053,1056.2009,1060.2306,1703274
20150715,1060.8673,1081.6308,1060.4431,1079.8492,2003660
20150716,1078.9794,1085.4057,1071.726,1077.4948,1456608
20150717,1080.2946,1090.1779,1078.8099,1087.76,1070526
20150720,1089.9281,1098.3873,1084.7845,1096.3682,853786
20150721,1095.0288,1105.3798,1086.1445,1088.8225,1274500
20150722,1088.6525,1092.0532,1071.6703,1074.6459,1320628
20150723,1070.1614,1078.812,1055.4958,1057.8763,1496780
20150724,1061.6596,1069.7363,1059.3642,1064.9115,1574972
20150727,1057.6212,1064.8477,1054.7093,1061.4683,2003738
20150728,1062.5098,1070.799,1059.3853,1063.5938,1891188
20150729,1067.3983,1069.1199,1055.7084,1065.5917,2413318
20150730,1069.545,1069.8639,1051.1599,1054.4968,2770574
20150731,1058.4291,1070.7992,1057.1964,1067.2922,1963776
20150803,1064.1677,1073.3497,1063.105,1066.8033,1179324
20150804,1067.1432,1072.4994,1056.7711,1066.5056,2342692
20150805,1071.2244,1083.977,1067.3986,1082.7655,988994
20150806,1090.3533,1098.0049,1084.0195,1093.8816,2211366
20150807,1093.7539,1093.7539,1082.7015,1084.8483,1188506
20150810,1093.3285,1100.5551,1086.7822,1093.3711,1431182
20150811,1095.8793,1109.4821,1080.6186,1107.0166,2200306
20150812,1106.5487,1144.0839,1106.081,1135.7097,3479784
20150813,1134.9875,1140.9388,1086.5274,1120.3645,1406426
20150814,1121.3844,1155.9655,1121.0019,1149.1002,2293964
20150817,1143.5315,1146.3795,1128.6108,1141.2572,773644
20150818,1150.6728,1168.9517,1143.4889,1165.1259,1916926
20150819,1168.9947,1170.2063,1157.0497,1162.0233,1690070
20150820,1166.8688,1166.8688,1135.8373,1142.1499,2349298
20150821,1152.8413,1160.4503,1128.6538,1137.6018,3536080
