Date,Open,High,Low,Close,Volume
20150303,561.0476,567.1993,551.9078,566.2065,2013832
20150304,566.4984,572.144,557.855,560.5609,2200520
20150305,560.6581,567.0434,555.0321,560.298,1725044
20150309,557.1542,557.1542,541.3857,547.294,2569948
20150310,536.0223,554.0393,536.0223,552.8323,2513260
20150311,552.8909,573.0687,548.0046,568.7664,5020084
20150312,572.0175,572.3484,555.2561,556.1808,4443664
20150313,560.2688,560.2688,546.6417,548.6663,2839984
20150316,552.4819,552.9589,548.0044,550.5255,4702048
20150317,553.6502,561.0088,551.0999,557.3295,5144028
20150318,559.4903,560.6583,543.1378,545.1818,15227544
20150319,541.191,545.7853,533.404,535.0782,5621879
20150320,536.4799,537.2975,524.0597,528.1868,3616042
20150323,532.6254,533.7545,506.3056,511.445,3672301
20150324,514.7154,519.7769,507.7072,513.6642,3793847
20150325,516.2728,516.2728,506.9285,511.0945,3053431
20150326,510.822,517.8302,504.7092,507.0453,3774322
20150327,509.2647,515.027,497.5843,502.9573,3223159
20150330,504.5146,508.2912,481.7378,488.201,3887546
20150331,492.9898,498.0513,487.8505,490.3423,3125329
20150401,490.9653,497.3506,489.7973,492.6785,4892589
20150406,494.5473,504.2031,494.5473,500.9715,5050758
20150407,503.3076,510.8219,502.2174,508.369,1922672
20150408,511.5617,526.3958,510.822,523.5146,3505745
20150409,529.4327,529.9778,516.1171,522.0352,1882337
20150410,522.3466,524.4101,510.0433,514.0925,1675314
20150413,517.5966,525.15,506.656,517.363,1357726
20150415,517.363,523.0085,510.8219,513.8199,3785304
20150416,516.0393,517.2463,501.8671,510.861,1850395
20150417,507.7072,508.4859,493.8075,499.1805,2224178
20150420,499.1415,499.1415,484.7357,492.3669,2301636
20150421,485.9428,501.6723,484.3464,496.4162,1504719
20150422,494.4693,495.1702,484.8135,490.4201,3464944
20150423,492.3669,496.2603,475.8976,479.0513,3887545
20150424,476.326,478.6621,450.1619,457.4816,3375425
20150427,460.2847,464.4508,440.0388,457.2868,4643882
20150428,457.7931,476.5595,451.6414,473.912,1776573
20150429,473.4447,488.123,468.8504,480.3751,1729917
20150430,479.6743,487.3055,465.8914,483.8403,2983762
20150504,485.0472,486.5657,469.5513,476.3648,2859253
20150505,480.4529,482.789,470.9918,474.9632,2826920
20150506,476.5595,479.9468,467.2152,474.1455,3148933
20150507,468.7725,481.2316,467.2152,478.3115,1954517
20150508,484.3465,486.6047,479.6743,483.8793,1400231
20150511,486.6825,498.285,481.2316,491.5882,2019842
20150512,492.912,497.4284,476.5984,479.83,2539734
20150513,483.5289,484.3465,475.8198,479.9468,2839628
20150514,478.8957,480.8035,472.4326,479.2461,1443799
20150515,476.9877,484.3075,476.6373,481.5042,1245727
20150518,479.9857,483.5677,471.1086,477.0267,2241358
20150519,476.5594,485.8648,474.457,482.205,1760702
20150520,483.5288,500.6989,483.5288,498.9858,2353164
20150521,500.8158,513.5474,499.1416,510.5105,2427489
20150522,509.9654,520.945,504.5924,519.4265,1589768
20150525,517.7135,520.8672,491.0823,504.943,1795055
20150526,490.5759,509.0698,489.7972,498.5575,2608856
20150527,448.7212,450.5511,424.4649,427.5797,22929044
20150528,428.2806,435.9897,421.2724,424.465,11498735
20150529,428.2417,433.6536,425.8667,431.7068,4961544
20150601,435.2889,435.2889,426.7233,428.7478,1842699
20150602,429.0593,434.4323,423.8031,427.8134,2276829
20150603,430.5389,432.0183,420.5326,426.2171,3675701
20150604,429.7212,435.9118,426.7232,433.9261,2352012
20150605,434.5102,435.2888,429.0593,431.006,1385964
20150608,432.0961,432.5244,425.4773,428.7088,1412942
20150609,427.8524,428.9815,404.1801,420.8831,3680213
20150610,420.883,435.1331,420.883,433.1863,2135795
20150611,432.4076,439.4159,430.1495,434.1597,2140594
20150612,429.8379,434.8994,423.1412,429.4097,1974142
20150615,429.0593,436.8462,425.1659,431.4343,1749558
20150616,432.174,432.174,425.4383,429.4097,1591051
20150617,431.0061,433.2643,425.3217,427.6188,1913683
20150618,426.1003,428.0081,420.5716,421.4282,3012586
