Date,Open,High,Low,Close,Volume
20150303,390.6091,399.3187,388.5737,393.7332,719506
20150304,402.0642,402.0642,387.6743,389.4731,655400
20150305,390.0411,393.4965,378.9646,384.1242,959120
20150309,382.4674,384.0768,374.1365,378.3966,648441
20150310,380.9527,385.5916,378.3967,383.7928,657218
20150311,386.917,386.917,376.7873,378.5387,410728
20150312,380.1007,385.0236,378.9173,383.0355,349974
20150313,384.3609,385.8283,376.0299,377.4973,428548
20150316,378.4913,378.6806,370.823,376.4086,399268
20150317,377.7339,384.1241,374.7044,382.8934,562431
20150318,385.2603,385.2603,378.6807,380.3847,309016
20150319,382.4202,392.5972,378.87,383.2249,1023111
20150320,383.9823,386.065,369.971,371.7698,461698
20150323,373.4738,375.4619,364.4801,370.0183,498876
20150324,370.2076,374.8938,365.0008,366.6102,408226
20150325,367.4149,372.9531,364.4801,369.6396,636108
20150326,369.2136,372.7164,364.4801,368.977,1419196
20150327,368.8823,374.5152,364.4801,371.9117,670005
20150330,373.9472,376.2666,366.5155,370.4917,420532
20150331,371.9118,376.74,369.7344,370.7284,438421
20150401,370.539,373.2371,366.7049,369.5923,452828
20150406,373.9472,382.8462,370.1604,382.0888,904638
20150407,382.9408,388.8104,380.1007,384.9289,636179
20150408,385.8756,389.473,382.9408,385.7336,534912
20150409,388.1477,388.1477,376.9293,378.6333,756901
20150410,378.3966,384.8815,377.7812,379.2013,969396
20150413,379.6273,396.1473,379.6273,392.7392,1399618
20150415,392.8812,400.0761,384.4556,389.4258,947070
20150416,389.4257,395.248,375.5092,384.5976,884632
20150417,381.5207,386.2069,372.2904,373.9944,603542
20150420,374.8939,382.2782,371.1544,373.8999,934634
20150421,379.6273,380.006,368.0302,371.3437,657263
20150422,372.4324,376.3139,368.4563,374.9885,517359
20150423,376.8819,383.0828,371.107,381.9468,743194
20150424,383.4142,383.8875,369.2137,374.7992,738949
20150427,377.4499,377.4499,362.5867,365.9001,947654
20150428,365.4268,369.7343,361.64,365.5688,612828
20150429,367.2255,367.8883,359.7466,361.498,866439
20150430,360.1253,366.2316,359.6993,362.3974,2267714
20150504,364.2908,373.2371,361.8767,364.7168,462963
20150505,365.5215,367.983,359.9833,363.9121,593407
20150506,362.2554,365.4268,348.3862,362.9654,1719756
20150507,363.4388,365.2375,345.7828,349.8536,1729099
20150508,321.8785,338.6352,316.5297,334.7537,5691342
20150511,333.239,351.605,327.7482,348.0549,1343524
20150512,349.759,349.759,337.0258,343.416,901977
20150513,342.8954,349.3329,338.8719,347.8182,837838
20150514,344.1734,346.4928,340.9073,343.558,527009
20150515,343.7473,351.2263,343.7473,348.3388,557137
20150518,348.1496,359.652,345.5935,358.5633,796620
20150519,358.5633,361.5454,353.6878,359.3206,711652
20150520,360.6934,363.3442,355.0132,356.1019,476821
20150521,352.741,360.6933,352.741,355.9598,351909
20150522,354.2084,358.2793,349.3329,350.7057,438670
20150525,347.4869,352.6464,345.2148,351.2263,406302
20150526,353.1197,353.6878,346.9662,350.8477,251010
20150527,348.4335,355.4864,347.3448,352.3623,215459
