Date,Open,High,Low,Close,Volume
20150303,465.6007,477.5921,463.4264,475.0225,103392
20150304,474.8686,495.4693,470.1028,480.6227,139160
20150305,482.292,488.0022,473.2435,483.9612,53020
20150309,485.7839,494.9861,476.5817,479.5027,91032
20150310,478.778,493.7123,475.5276,482.7751,209304
20150311,480.9743,485.9597,471.3109,473.8365,141704
20150312,476.406,486.6844,476.406,480.6008,78028
20150313,482.2699,484.8835,473.3313,478.2509,92152
20150316,480.0957,509.5252,480.0957,499.774,334906
20150317,502.058,511.2821,492.3946,498.4342,294300
20150318,500.301,508.9541,492.3945,501.2014,415390
20150319,500.7842,515.1695,500.7842,503.3538,175644
20150320,506.6701,509.7449,492.8339,497.1824,231840
20150323,504.6935,506.0112,496.787,500.279,130956
20150324,500.7404,504.6936,488.156,491.4723,68838
20150325,500.2131,505.3523,495.4692,504.4958,232620
20150326,507.3289,516.1138,494.1515,498.2585,146030
20150327,504.6056,506.4504,492.109,499.9715,50168
20150330,497.2703,508.4931,496.9409,503.3979,1049674
20150331,507.7682,512.3803,499.4225,508.9102,200888
20150401,515.6526,531.9267,511.2382,525.1183,282248
20150406,540.4042,553.4497,540.4042,546.0485,337792
20150407,549.4527,549.4966,536.1216,544.7527,132864
20150408,548.1788,563.5524,547.8713,554.6577,228312
20150409,553.4497,554.9212,533.6837,543.2812,324902
20150410,543.3472,548.1789,535.309,546.5537,102734
20150413,549.9359,571.0197,549.9359,559.9507,237428
20150415,582.0008,585.8222,569.5262,572.6448,273530
20150416,574.7532,582.0008,554.0648,575.1486,157378
20150417,571.4588,579.7825,558.523,562.7837,112694
20150420,564.2113,566.1879,535.4407,542.9078,239874
20150421,549.0574,549.0574,512.1607,515.9163,153540
20150422,520.067,540.2942,512.5778,532.4756,266066
20150423,536.7585,545.5435,527.9956,533.1348,238784
20150424,529.2912,539.6793,517.9147,534.7817,88176
20150427,535.9239,540.7337,507.5707,513.8958,117852
20150428,510.3158,531.9266,498.5439,523.1637,180702
20150429,553.4498,581.1003,527.0951,533.9034,596034
20150430,542.3807,544.0937,518.332,527.9075,144080
20150504,529.2914,535.8801,505.5721,514.6205,492200
20150505,506.2307,524.4154,506.2307,518.6174,175008
20150506,535.8799,535.8799,520.3526,527.0071,578268
20150507,531.0482,535.0015,517.9148,529.3791,309660
20150508,529.2912,538.8668,520.5063,526.0408,115478
20150511,526.2166,533.6837,517.2998,524.3937,129910
20150512,522.7026,522.7026,512.1826,518.0466,124464
20150513,523.1419,568.3842,518.4639,554.8994,622104
20150514,562.1029,564.387,547.2783,550.968,133584
20150515,550.9681,558.2816,542.886,552.3737,230484
20150518,519.4522,546.8611,516.663,538.7131,735558
20150519,540.2724,566.6271,540.2724,559.9945,347944
20150520,560.4776,563.0033,540.3821,547.1245,171722
20150521,551.2535,551.2535,542.249,547.1685,116150
20150522,542.908,551.2097,542.3809,544.2257,122908
20150525,546.356,546.9489,540.2724,543.0836,33310
20150526,548.1788,549.211,542.9078,544.577,25216
20150527,544.577,545.1261,541.2387,544.3574,70786
20150528,544.643,546.8612,540.2725,544.1599,291322
20150529,541.5902,543.3252,527.0512,529.1815,561012
20150601,535.8799,545.5433,513.5004,537.0439,179044
20150602,537.044,545.3238,529.2913,531.5095,354714
20150603,535.4406,540.7335,522.7025,528.6762,279496
20150604,532.5636,539.899,523.581,531.5533,1046710
20150605,527.0951,546.378,527.0951,540.9533,159268
20150608,546.4219,548.9256,530.9165,539.8333,80418
20150609,542.7981,548.1788,535.858,545.1261,74928
20150610,546.8611,562.2347,544.7088,557.7324,151178
20150611,564.2552,574.9728,558.8744,565.4631,173552
20150612,566.6272,566.6931,551.8027,562.4983,81442
20150615,569.4061,569.4061,560.1367,564.5286,53822
20150616,557.4884,560.4899,548.6825,554.553,46688
20150617,559.6954,584.7449,553.9793,572.6064,253226
20150618,592.977,604.0561,586.6208,590.4609,714102
20150619,595.0073,595.0073,580.4411,589.1146,289036
20150622,590.9905,600.3041,589.7105,594.2348,134408
20150623,591.4761,599.4213,589.2691,593.1093,270752
20150624,596.1109,598.0972,592.3369,594.257,271476
20150625,597.6558,604.7182,587.945,593.3301,334622
20150626,591.4763,594.9192,584.9215,591.4984,99510
20150629,588.3644,588.3644,563.6681,571.1719,137878
20150630,570.2891,580.4413,565.4337,574.4603,370882
20150701,581.5447,589.7106,581.4565,583.9283,196892
20150702,592.359,598.053,578.6756,581.0812,181504
20150703,585.9587,586.9739,578.6756,583.3986,332160
20150706,582.6483,595.6696,571.5912,582.6041,440282
20150707,587.0622,587.0843,582.56,584.789,248730
20150708,587.0401,587.0622,576.91,581.324,134984
20150709,580.4412,587.0401,567.6406,570.2449,133490
20150710,575.939,587.0843,573.8202,586.4884,377988
20150713,587.945,587.945,584.5904,586.9297,157062
20150714,589.2692,589.2692,585.2966,586.3339,173636
20150715,588.7836,589.3574,577.3513,583.5309,730598
20150716,587.0401,587.2829,578.6977,585.5173,163156
20150717,587.5036,598.5386,584.8552,588.585,342886
20150720,591.3879,593.6832,587.1063,589.8651,159148
