Date,Open,High,Low,Close,Volume
20150303,142.254,145.1761,141.571,143.376,73120
20150304,143.3272,146.2542,141.4881,142.0735,69960
20150305,142.732,145.2737,142.1564,143.2931,36890
20150309,142.4588,144.3956,141.0831,142.4198,39080
20150310,143.3272,145.3761,142.0686,144.4297,52750
20150311,143.5223,145.7664,137.7658,144.0346,297050
20150312,143.2443,146.9372,143.2443,143.9712,69780
20150313,145.1664,151.2302,144.4053,146.8201,351760
20150316,143.9126,148.2056,142.654,145.181,273700
20150317,146.8202,146.9324,142.9467,145.2981,235740
20150318,146.1518,147.1714,143.4248,145.2249,277730
20150319,145.3712,145.3761,143.0394,144.3078,92310
20150320,144.8297,145.7469,142.4491,144.2492,114570
20150323,144.2541,144.3029,141.0832,142.7125,102050
20150324,140.7075,144.7907,140.7075,142.2881,34880
20150325,142.8394,143.4345,139.5269,141.5661,139730
20150326,140.0147,143.3272,140.0147,142.6783,119860
20150327,141.9613,145.2786,139.5221,144.3858,177120
20150330,144.4005,144.8883,142.2637,143.776,106020
20150331,144.737,144.7907,142.049,143.4052,202960
20150401,144.2004,145.5713,143.9126,144.5029,23690
20150406,144.3029,147.6202,143.1321,145.0005,264310
20150407,145.181,146.2493,142.6442,143.1564,49720
20150408,143.6199,144.5029,140.888,141.4588,134210
20150409,141.571,142.254,137.961,138.9562,195010
20150410,139.5221,140.1026,137.0878,137.7756,56190
20150413,138.1561,139.522,135.3754,135.6974,62570
20150415,135.3266,138.0585,133.1801,133.9607,33390
20150416,135.634,136.1072,132.7021,135.595,155730
20150417,136.0096,136.8877,134.2144,135.1998,81690
20150420,135.1315,135.1315,126.9651,128.7018,112820
20150421,128.9847,129.6433,124.0088,125.9796,135010
20150422,126.3504,127.6724,124.4137,125.3649,112640
20150423,125.765,126.6431,118.5547,120.7695,273440
20150424,120.4963,120.4963,114.5447,115.8277,205580
20150427,116.7887,117.0863,109.276,112.8177,110500
20150428,112.886,118.1547,111.9591,116.8424,49570
20150429,116.8229,117.7986,112.3396,112.8616,66060
20150430,113.4714,113.6666,106.8368,111.1005,193780
20150504,111.5786,120.3987,111.2274,115.2959,201910
20150505,115.4228,117.7644,114.2764,115.2325,26340
20150506,115.2325,116.3009,108.8223,109.7834,46380
20150507,108.8858,112.9836,108.8858,110.4225,39770
20150508,110.5298,115.4521,110.5249,114.6861,60720
20150511,115.6179,116.5741,113.6763,114.3886,44060
20150512,112.0177,115.6179,107.8174,109.0321,184470
20150513,109.7638,112.2274,109.0809,110.4956,534270
20150514,111.7152,114.0568,109.3736,112.6323,64190
20150515,112.0469,113.569,110.7883,112.486,45400
20150518,112.2128,115.1301,112.2128,114.3739,23630
20150519,114.6422,116.9839,114.1983,116.1399,22820
20150520,116.9058,129.5652,116.9058,126.8772,441710
20150521,127.8139,129.1799,124.643,125.7503,339010
20150522,125.1015,126.8382,123.6721,125.0527,27810
20150525,126.7358,126.7358,121.472,122.1647,17030
20150526,123.0477,124.6917,119.6182,121.072,23840
20150527,120.1987,123.316,118.8377,121.5452,54570
20150528,119.9938,120.789,117.4717,119.2426,65320
20150529,120.0231,120.9061,115.2521,116.2326,360950
20150601,116.5936,119.906,114.9349,115.9106,70510
20150602,117.7107,119.7109,115.1349,116.3741,77650
20150603,114.8959,115.1301,106.8368,111.5201,81950
20150604,113.0568,115.613,110.2614,112.7738,79070
20150605,113.0616,114.6422,110.1541,110.8273,38500
20150608,110.4371,112.3835,108.7882,110.7346,280650
20150609,112.203,112.203,108.7882,109.0809,15850
20150610,109.3199,111.9104,109.2809,110.7151,24070
20150611,111.725,114.5496,111.2274,111.8664,124170
20150612,110.2517,112.3982,109.7638,111.6176,45760
20150615,110.9883,112.4762,108.5101,109.6419,32870
20150616,110.7347,110.8322,107.8808,109.1589,19080
20150617,111.2225,118.3498,109.4711,116.9156,136700
20150618,115.6179,118.8328,115.1545,116.2472,38130
20150619,117.0814,120.0085,114.252,118.7352,46760
20150622,120.0085,120.0085,115.2374,116.1448,50260
20150623,115.6179,118.0571,114.5349,115.1301,37780
20150624,115.1301,115.5643,111.7689,112.1738,93530
20150625,112.1055,113.6568,111.2323,112.0665,26630
20150626,112.3982,112.5884,109.637,111.0469,41090
20150629,110.2517,110.5395,108.8857,109.8858,25970
20150630,110.6664,113.6324,109.2809,109.9492,77380
20150701,111.2274,113.6666,108.3101,112.4421,75750
20150702,113.0763,113.6568,111.7152,112.4762,63870
20150703,112.3933,114.1544,110.7444,113.569,70360
20150706,112.2079,115.4472,112.203,114.9642,41060
20150707,115.9496,117.2766,114.691,116.5838,43170
20150708,113.5739,117.2766,113.5739,115.2276,60760
20150709,115.2326,118.7352,115.2277,116.8912,46040
20150710,118.8377,121.6671,115.4228,118.4181,221540
20150713,118.545,121.472,117.0814,118.6669,31280
20150714,119.8085,120.9793,117.862,118.7303,12470
20150715,118.6474,119.1304,116.2033,116.857,27920
20150716,116.5936,119.2621,116.5936,117.5156,1593970
20150717,118.0571,119.0328,115.4228,116.4082,90400
20150720,117.0815,117.4278,114.9398,115.4277,23600
20150721,118.4474,118.4474,113.6568,116.1448,22600
20150722,115.135,118.0571,113.7641,115.7887,21560
20150723,116.6668,120.789,116.3253,118.945,85680
20150724,119.3206,120.789,117.0863,118.3742,584720
20150727,118.1102,120.2514,116.4433,118.7506,168310
20150728,117.3281,119.2786,117.3232,117.6703,200200
20150729,117.8316,119.2786,116.7024,117.7876,13460
20150730,118.3009,119.7283,117.2303,117.4845,45750
20150731,119.6697,122.0161,118.0076,119.6746,40170
20150803,118.3645,121.2291,117.7583,119.0537,26760
20150804,119.7674,120.4518,117.3232,117.9049,36270
20150805,119.6648,120.2514,118.7897,119.5328,20670
20150806,120.2465,123.9715,118.4964,121.8548,148220
20150807,123.776,124.8514,118.1053,119.6501,113870
20150810,122.2117,131.4069,118.5013,127.4472,226790
20150811,129.6421,131.3922,127.4032,129.8523,1177410
20150812,129.8524,132.1841,127.1001,127.8774,91920
20150813,128.0778,129.0604,121.1362,126.9828,109290
20150814,124.2648,127.589,124.2648,127.1734,22180
20150817,125.4381,128.0583,124.6559,125.6092,29280
20150818,125.5505,128.0778,125.5505,127.3592,26050
20150819,127.8627,129.5541,126.0247,126.3718,22240
20150820,127.0512,129.0506,124.9736,128.1414,53140
20150821,128.1707,128.6889,122.6027,127.9067,120670
20150824,123.4387,127.3836,117.0934,117.465,191180
20150825,117.9929,122.1139,116.3504,119.9336,51500
20150826,120.2465,121.234,118.4475,119.9287,55480
20150827,120.2563,121.2291,117.4943,119.9874,24680
20150828,121.7277,122.0064,120.0412,120.7696,8460
20150831,124.167,124.167,119.7674,120.8771,391080
20150901,120.8722,122.7983,119.7674,121.8206,1995260
20150902,121.8157,122.6761,121.669,121.7326,41090
20150903,121.0433,122.2019,120.5056,121.7521,35850
