Date,Open,High,Low,Close,Volume
20150303,270.3004,280.0953,266.957,276.1397,7675974
20150304,277.7407,278.7767,267.8517,272.4666,2015273
20150305,274.5386,276.6106,268.4639,275.3392,1646495
20150309,266.6274,278.7768,266.6274,270.2534,1605505
20150310,272.137,279.6244,270.3946,277.835,1532750
20150311,279.7186,279.7186,267.0512,268.6523,2219295
20150312,271.0068,274.3503,266.5803,272.7963,1353664
20150313,274.209,274.6328,260.2231,261.5416,1532733
20150316,260.8823,260.8823,253.5362,258.1981,1987381
20150317,260.741,267.475,259.6109,266.7686,1641187
20150318,266.5332,267.2867,260.7882,262.6247,1109210
20150319,265.0263,266.5332,255.6082,257.4447,1789604
20150320,257.586,258.0569,248.9213,252.8298,1757867
20150323,253.7716,255.1843,246.7551,251.0403,2058386
20150324,250.5224,251.4642,236.7719,244.7773,3054024
20150325,245.8133,246.7551,241.1984,244.3064,1821346
20150326,243.9297,256.1733,242.9879,250.9462,2812025
20150327,255.2314,258.4807,250.5224,256.1262,2210673
20150330,257.586,258.3394,247.2731,250.8049,2205124
20150331,251.9351,253.3478,245.8133,248.4975,1863590
20150401,246.7551,247.9795,237.9021,239.9741,3411924
20150406,241.9048,242.3286,233.193,238.0433,3157618
20150407,236.5835,243.4588,236.5835,240.5391,1796361
20150408,242.0461,243.7413,235.2179,236.4423,2286056
20150409,238.1846,238.9381,234.229,236.0185,2432885
20150410,236.3952,242.9879,236.3952,241.999,1932969
20150413,243.4588,245.7191,238.7497,240.0212,3447397
20150415,241.1042,242.7053,235.8301,236.6777,3397244
20150416,237.337,237.7608,228.2956,230.4617,2792944
20150417,228.2014,234.8412,223.4452,230.2263,2479115
20150420,231.1681,233.5697,217.4647,220.6669,2053951
20150421,220.3373,227.5892,212.5202,224.2929,2717826
20150422,225.5643,226.8829,218.7833,223.8691,2385390
20150423,224.9051,229.1903,217.1822,219.9605,2601630
20150424,219.9605,222.6918,213.6033,218.642,1720122
20150427,220.196,221.9854,207.764,215.7694,2428785
20150428,216.6171,217.606,211.0604,214.7335,1817196
20150429,215.6753,226.0352,214.3096,223.1627,5715580
20150430,226.0352,227.2125,220.3844,221.9383,4551737
20150504,225.8939,236.0184,222.3621,235.1237,2812312
20150505,236.4483,236.4957,225.2835,227.4124,1661252
20150506,225.8986,225.8986,212.6522,214.0714,2971373
20150507,212.8887,213.3618,197.1822,203.7108,4412971
20150508,208.1578,214.308,205.5086,208.7256,3553277
20150511,210.334,215.6326,210.0502,214.8283,1396761
20150512,215.7272,218.4711,209.5771,210.6179,2052333
20150513,212.1317,215.0649,205.5085,208.2524,2330921
20150514,206.2655,212.794,203.7581,212.1317,1711307
20150515,213.2671,214.781,207.6847,209.3878,1084375
20150518,210.7125,212.8887,207.3063,212.0844,1229626
20150519,211.7533,213.6456,209.104,210.0975,1658986
20150520,210.9963,212.2264,207.5901,208.489,1097207
20150521,209.6717,220.2688,206.2655,217.2884,3140021
20150522,218.2819,218.8023,212.9833,214.9703,1602898
20150525,215.2541,220.7419,213.9295,217.8561,1310422
20150526,218.1873,223.06,217.4303,222.3977,2134624
