Date,Open,High,Low,Close,Volume
20150303,3250.3688,3250.3688,3187.7691,3236.7415,247539
20150304,3244.5906,3272.5197,3170.9156,3188.0583,278837
20150305,3192.5845,3207.0305,3035.9408,3071.7671,490549
20150309,3061.6071,3072.2009,2940.4044,2952.9243,318482
20150310,2956.6318,2994.0952,2894.9951,2905.7815,539122
20150311,2905.7815,2932.2178,2865.1399,2876.7932,309685
20150312,2887.2907,2918.0608,2883.5828,2898.2217,483570
20150313,2927.7395,2927.7395,2826.1836,2838.0774,254015
20150316,2860.3249,2865.1403,2783.2791,2805.8149,214421
20150317,2838.174,2855.3167,2784.3383,2820.2607,290837
20150318,2841.0632,2856.8575,2802.0106,2827.2913,292204
20150319,2844.9159,2882.7647,2767.8701,2786.1685,354477
20150320,2781.3528,2783.279,2730.8879,2749.6196,284773
20150323,2754.387,2772.252,2720.6794,2724.5317,213023
20150324,2732.2357,2740.9033,2687.5972,2698.0466,389917
20150325,2714.9002,2725.2051,2648.4483,2663.8574,389212
20150326,2648.4486,2722.1718,2633.7136,2692.5574,433234
20150327,2706.3296,2711.6265,2661.8355,2698.3843,267173
20150330,2718.7528,2848.3824,2706.2811,2835.3328,340546
20150331,2857.9164,2857.9164,2749.5707,2771.625,465222
20150401,2782.2676,2801.8662,2751.8346,2777.2114,371347
20150406,2791.9461,2802.251,2764.0171,2785.7344,137119
20150407,2792.9096,2836.2478,2772.1071,2823.5835,283978
20150408,2855.2204,2910.886,2830.2769,2876.1672,270787
20150409,2889.2168,2892.1061,2836.2479,2854.498,192790
20150410,2878.526,2893.0203,2836.2472,2859.4092,118815
20150413,2860.3242,2917.0491,2843.3261,2890.6128,238104
20150415,2913.1972,2918.0126,2855.5093,2876.2153,585767
20150416,2876.2152,2892.9246,2754.9645,2788.1423,301285
20150417,2775.574,2778.4632,2693.9536,2705.4141,505583
20150420,2705.4143,2721.4496,2647.0041,2675.5591,496778
20150421,2686.6825,2712.9744,2631.8356,2649.6042,127347
20150422,2660.9684,2705.2697,2650.3746,2689.668,361828
20150423,2701.4174,2744.7556,2611.3701,2627.5498,220291
20150424,2627.7428,2643.0555,2590.6645,2606.9885,361319
20150427,2607.0361,2666.7466,2540.6324,2557.2454,585545
20150428,2557.2939,2616.619,2528.6425,2589.6047,461994
20150429,2605.1099,2692.7495,2564.9016,2580.3108,292385
20150430,2580.3114,2589.4124,2537.6955,2573.4255,465521
20150504,2573.3291,2646.5226,2515.5448,2609.011,304191
20150505,2609.9258,2636.8918,2589.7495,2609.1553,150916
20150506,2604.1471,2608.2883,2500.7612,2509.4771,481825
20150507,2496.2833,2565.9617,2437.5359,2522.4307,342436
20150508,2534.8061,2609.9258,2529.0759,2598.3689,391296
20150511,2598.4651,2754.29,2598.3687,2719.5232,500284
20150512,2726.3132,2726.3132,2629.2837,2647.3413,321050
20150513,2677.3404,2720.5822,2653.9377,2691.2085,211737
20150514,2690.7276,2700.1175,2630.3912,2692.7983,169391
20150515,2699.684,2732.4767,2687.742,2701.8027,165461
20150518,2711.0488,2797.7253,2677.6784,2793.0063,269975
20150519,2793.006,2874.7707,2787.9978,2861.6729,639626
20150520,2859.5541,2938.2853,2859.5541,2920.2759,631734
20150521,2918.1092,2995.0107,2895.3806,2951.4316,706556
20150522,2954.9944,2973.0039,2858.8316,2865.5249,303833
20150525,2883.438,2888.2051,2816.7934,2826.6167,160917
20150526,2820.8385,2842.9892,2773.648,2799.5066,271690
20150527,2802.5399,2805.4291,2754.3863,2778.6074,335348
20150528,2783.2786,2839.4739,2747.019,2809.7148,335276
20150529,2831.1428,2886.2304,2796.1832,2865.4282,415630
20150601,2884.4016,2912.3307,2860.3248,2894.4175,199856
20150602,2884.4978,2903.6146,2786.6495,2802.781,190073
20150603,2789.057,2806.3923,2716.0561,2726.5537,135557
20150604,2749.2823,2773.4073,2710.2779,2762.1394,113540
20150605,2755.2049,2797.1465,2678.3999,2702.6211,218113
20150608,2727.4201,2728.6721,2678.0626,2706.0881,110182
20150609,2707.196,2740.9035,2685.8158,2706.5701,147353
20150610,2730.3096,2739.8922,2696.6021,2700.9841,172608
20150611,2702.381,2723.5204,2591.0497,2601.8843,264043
20150612,2605.1103,2665.3987,2581.0335,2647.0039,178572
20150615,2648.4484,2649.7966,2604.1471,2610.696,137756
20150616,2613.7781,2649.4118,2591.6274,2643.3926,94874
20150617,2646.1372,2718.3676,2635.0619,2693.2795,259492
20150618,2669.6841,2723.5679,2661.0646,2695.3499,233429
20150619,2697.5649,2712.974,2689.0898,2699.2502,252628
20150622,2703.6328,2739.459,2690.5349,2700.4546,130727
20150623,2716.8267,2801.4327,2698.4801,2788.9607,332447
20150624,2818.9128,2860.2285,2725.4948,2747.0195,483905
20150625,2749.2823,2769.3142,2711.3373,2756.3127,316505
20150626,2773.4553,2813.1338,2759.2018,2807.0664,229021
20150629,2758.1425,2808.3186,2720.679,2797.6284,175359
20150630,2802.5401,2889.2166,2799.1694,2882.9084,411445
20150701,2881.5118,2952.7791,2870.0513,2945.0264,348256
20150702,2945.0746,2960.4838,2918.205,2944.7856,317654
20150703,2924.8504,2965.2512,2921.0945,2951.4792,232296
20150706,2934.4807,2995.0099,2924.6092,2987.6904,262061
20150707,2999.0068,3066.6144,2988.413,3044.7527,259506
20150708,3032.7144,3032.7144,2966.5032,3000.2107,332135
20150709,3000.2591,3024.0469,2968.1887,2988.4614,204698
20150710,3004.785,3027.8505,2978.8302,3014.2231,264743
20150713,3038.4927,3052.8906,3005.7482,3046.9678,225978
20150714,3033.7739,3051.9758,3009.6007,3022.1206,102650
20150715,3014.4161,3108.5564,3014.031,3081.8794,292569
20150716,3091.4621,3096.759,3042.3936,3057.8027,274262
20150717,3067.3854,3128.0589,3052.9393,3104.5601,234184
20150720,3072.2005,3244.5905,3001.8962,3230.0,1148342
20150721,3235.9226,3243.5308,3090.4987,3104.8484,340048
