Date,Open,High,Low,Close,Volume
20150303,144.6682,147.5784,142.1797,146.6505,4175711
20150304,152.3866,154.369,142.3062,143.445,5947712
20150305,144.0777,145.3008,141.3783,144.626,2967285
20150309,143.4028,144.9212,140.7035,143.0654,3382807
20150310,143.4028,145.3852,142.1797,144.2042,2645679
20150311,144.3729,145.9335,141.8423,143.3185,2897295
20150312,144.5838,145.4695,143.4872,144.2042,1598980
20150313,145.2586,145.5961,142.1375,142.6858,2009513
20150316,142.9811,144.0355,140.0708,143.3607,1951466
20150317,144.2464,145.3852,142.3484,144.0777,2433460
20150318,144.3307,146.3131,142.728,143.1076,2479341
20150319,144.6682,144.7947,141.7158,142.7702,2352731
20150320,141.8845,142.5171,137.5824,141.1675,2744764
20150323,141.6736,141.7157,138.3416,139.8599,1771355
20150324,139.5225,141.8845,135.3048,138.2994,3253167
20150325,138.3416,141.0409,136.528,140.0708,2724295
20150326,138.7212,141.3783,135.8531,136.6545,3899993
20150327,137.245,138.932,129.9905,135.0517,4473270
20150330,136.0218,137.2449,133.1116,134.5034,3191228
20150331,135.5157,136.1484,131.3401,132.015,3514147
20150401,131.5932,137.1606,130.2857,136.6967,3296223
20150406,137.0341,137.3715,133.449,134.5878,2631318
20150407,135.1361,136.3592,132.6054,133.1116,2972760
20150408,133.8708,135.0096,132.268,132.5211,2424825
20150409,133.7021,136.4436,132.5211,135.4735,4888449
20150410,136.064,137.7089,134.7143,136.0218,3833612
20150413,136.4858,140.0287,136.4858,138.2572,2444271
20150415,139.1007,143.4028,138.4681,139.7756,4497004
20150416,140.3661,140.7035,137.0763,138.3416,1856739
20150417,138.8477,140.2395,136.8232,138.8477,2333413
20150420,138.7633,141.5471,132.6055,133.7021,2957984
20150421,133.7021,135.0517,131.6354,133.4912,3009484
20150422,134.2504,135.347,128.9782,131.6776,2928537
20150423,132.0993,132.6898,128.5564,129.0626,2264791
20150424,129.1891,129.6952,124.17,124.7183,2359418
20150427,124.8448,125.3088,119.9522,120.5849,3784344
20150428,120.5849,121.9768,118.94,120.6271,4820724
20150429,120.5849,122.0611,119.6149,119.9945,2068095
20150430,119.7835,122.2298,119.1509,121.3019,3174957
20150504,121.8924,124.4231,121.3019,124.0435,1844251
20150505,123.8748,125.0979,121.4706,121.9768,1921362
20150506,121.555,122.989,114.7644,115.1862,2830751
20150507,114.7223,114.7645,109.9141,111.095,2398405
20150508,112.6134,114.6379,109.4501,113.0352,3953991
20150511,113.8787,119.2774,111.6433,118.3917,3860745
20150512,118.5182,124.5074,113.2461,121.1754,15797537
20150513,122.5251,134.4612,122.5251,130.4122,15448490
20150514,129.8218,138.2994,127.2068,137.2028,9052409
20150515,138.0885,140.7878,137.0341,139.1008,5666289
20150518,139.1851,139.5225,132.9429,135.8109,3710637
20150519,135.7266,138.2994,134.9674,136.6967,2169999
20150520,137.0763,138.8477,135.1361,137.5402,2238685
20150521,137.4137,138.8477,135.8531,138.3416,2500350
20150522,138.4681,141.4627,136.9075,137.6667,3800084
20150525,137.498,139.396,136.3592,137.7089,1404326
20150526,137.2871,138.5103,136.1483,137.4137,1386142
20150527,136.4858,144.4995,136.3171,142.4328,4985627
20150528,143.4029,146.0179,141.0831,144.6682,4381048
20150529,144.6682,146.9879,143.4872,146.2709,2623053
20150601,146.3553,148.5485,146.1865,147.7471,2052741
