Date,Open,High,Low,Close,Volume
20150303,71.4435,72.6995,70.9868,72.4385,2607810
20150304,73.4009,73.4009,68.8337,69.2904,3312882
20150305,69.372,70.3017,68.0997,68.5564,3805233
20150309,68.0181,68.0181,64.4623,64.9516,3849212
20150310,64.5601,65.0821,63.3857,64.4623,3249275
20150311,64.5928,64.7722,62.6354,62.8638,2900359
20150312,63.4999,66.0608,63.2879,65.441,4152207
20150313,65.9303,66.387,63.663,63.9077,3166012
20150316,63.8424,63.8424,60.2703,60.5149,5329301
20150317,61.0043,63.5488,60.8085,62.929,6331648
20150318,65.0658,65.8977,62.6843,63.2715,6723848
20150319,63.8261,64.5438,62.1461,62.4723,3789625
20150320,62.7333,63.1247,61.0043,61.2816,5985299
20150323,63.0595,63.2878,60.3518,62.2929,4809495
20150324,62.4886,63.7772,62.0482,63.2389,3999910
20150325,63.2878,64.4296,62.2602,64.2013,2751114
20150326,63.6141,63.8914,60.9553,61.4284,3772877
20150327,61.9829,62.7659,59.944,61.461,4884993
20150330,62.3092,62.4723,60.5149,61.7057,2370764
20150331,62.2113,63.9403,61.5262,61.8198,5909964
20150401,62.2439,62.6028,61.0695,62.0319,2895471
20150406,62.2766,62.7659,61.1674,62.4723,2195394
20150407,62.8801,64.8537,61.8688,64.5112,5056071
20150408,64.2665,64.397,62.7985,63.1574,3773503
20150409,63.6141,63.9403,62.5539,63.4999,3687672
20150410,63.5651,66.387,63.3857,66.0118,5633668
20150413,65.7835,66.0118,64.5928,65.4246,2956701
20150415,65.4246,68.3117,65.2452,67.2841,4696238
20150416,67.643,67.7898,65.2778,66.5827,4517705
20150417,66.5501,69.4535,65.8487,68.9153,5362972
20150420,68.5727,68.8337,67.2678,67.8224,4437336
20150421,68.0181,70.7911,66.5664,68.8663,6374704
20150422,68.8989,69.111,67.1536,68.8337,4555727
20150423,69.1599,70.4648,68.4749,68.9968,4473008
20150424,68.5075,69.4209,66.3218,66.8437,3967076
20150427,67.1699,68.8337,66.6806,68.5075,4253266
20150428,67.9855,69.8939,67.2026,69.1273,4272604
20150429,68.1323,68.1975,66.0934,67.5451,6810716
20150430,66.5338,68.9642,65.8977,68.4585,6871842
20150504,69.1599,70.318,68.4259,69.2904,4478102
20150505,69.1599,74.51,68.5238,73.9554,9398916
20150506,73.7271,74.8363,70.4648,71.8187,6674219
20150507,71.2478,73.0746,70.3343,71.1662,4077485
20150508,71.7697,72.3569,69.845,71.101,2699329
20150511,72.4222,76.1411,71.0357,75.1299,7737382
20150512,74.983,74.9994,70.8237,71.1988,4292646
20150513,72.3733,72.3733,68.6543,71.1662,4720436
20150514,70.791,71.0846,69.323,70.057,3139029
20150515,70.367,71.0847,67.9203,68.6217,2725616
20150518,68.7521,69.6819,67.333,68.8826,1999025
20150519,68.7358,71.7208,68.4096,70.1549,4979544
20150520,69.8613,70.7421,69.7797,70.4811,2333117
20150521,70.6769,70.7421,67.855,68.1813,3225685
20150522,68.1812,68.1812,66.8763,67.2678,3921859
20150525,67.2026,67.2026,64.8211,65.0495,2206795
20150526,65.7998,66.1586,63.3857,63.6467,4827801
20150527,63.4836,63.5162,62.1461,62.5049,4761365
20150528,62.8638,64.7233,62.5049,64.185,6024108
20150529,64.0055,66.5501,62.8964,64.0871,29940793
20150601,64.5927,65.7835,64.0708,64.4949,2477571
20150602,64.2665,64.5928,63.1574,63.5325,2171286
20150603,63.5325,63.7772,60.3681,61.4284,2981326
20150604,61.983,62.5702,58.7859,60.0908,4567486
20150605,59.8788,60.988,59.1937,59.6341,4560330
20150608,59.8298,60.1724,57.2853,57.7583,4278582
20150609,58.6391,60.1235,57.8725,59.5526,5165712
20150610,59.3242,61.2652,58.4923,60.3518,5136459
20150611,60.8575,62.2929,59.3242,61.3305,8432192
20150612,60.9064,61.1348,59.2263,59.9604,3941272
20150615,61.1674,61.5915,58.7533,59.1611,7462050
20150616,59.1774,59.3405,57.3342,58.2313,3176232
20150617,58.3292,58.3292,56.1109,56.3229,7092962
20150618,56.3229,57.1874,56.3229,56.5023,2255568
