Date,Open,High,Low,Close,Volume
20150303,114.0421,116.1,113.6991,115.3197,9609805
20150304,115.2854,115.5426,112.5501,113.0989,8693384
20150305,113.1675,114.8824,112.37,114.5223,7213278
20150309,114.3851,114.3851,112.5072,113.2018,7593752
20150310,111.6412,113.4933,110.6123,112.2071,9328397
20150311,112.7645,116.2029,111.5554,112.2843,12190748
20150312,112.4643,112.6616,110.8695,112.3786,6275689
20150313,112.9102,112.9102,108.3743,109.6262,10007634
20150316,109.9606,111.6326,109.1717,110.8266,8820568
20150317,111.4697,111.7098,109.6262,110.3378,7882840
20150318,110.9552,111.1267,107.8255,108.2799,8925624
20150319,109.3603,110.2178,108.4686,108.9059,7848403
20150320,109.5318,112.6187,109.1803,111.9241,12037719
20150323,111.9327,113.2703,109.9606,110.6294,6133273
20150324,110.6123,112.9274,110.2864,111.8556,7011000
20150325,111.6412,113.862,110.8781,113.3733,5859475
20150326,112.8245,112.8245,107.2167,108.3657,12227282
20150327,109.7033,110.0292,104.3614,104.9787,13652951
20150330,106.3249,107.1738,105.6733,106.908,6814467
20150331,106.848,108.8287,106.0163,107.8427,9010840
20150401,106.908,109.146,106.3592,108.5886,6354889
20150406,107.8598,107.8598,105.8791,106.5222,7872158
20150407,106.908,107.6797,104.4643,105.4761,9890882
20150408,105.296,106.8394,105.1416,105.6904,9541026
20150409,106.5822,107.0624,104.9616,105.8362,7049918
20150410,106.3678,106.6508,105.3903,105.9305,5738526
20150413,106.1363,107.311,105.4418,107.0452,4619465
20150415,106.8394,106.8394,103.0237,104.0355,7315918
20150416,104.0956,104.3013,101.1888,103.2295,13076860
20150417,102.2177,102.3292,100.3227,100.64,8342621
20150420,100.64,101.3603,97.8361,98.6764,7922147
20150421,97.4074,100.9058,94.4148,99.148,21048960
20150422,96.3784,96.5928,92.9486,93.3859,33440956
20150423,94.1404,94.1404,91.328,91.6195,16233670
20150424,91.8424,92.3741,87.8896,89.7245,19017589
20150427,90.6506,91.8768,88.8585,91.5424,9816226
20150428,91.4052,92.1854,90.0332,91.2765,16379558
20150429,91.4051,93.7546,90.925,92.8886,15025078
20150430,92.0997,92.9571,91.5338,92.3655,16950219
20150504,92.4513,93.3945,91.671,92.8028,5264457
20150505,93.4716,94.0376,92.82,93.4459,8626659
20150506,93.2487,93.2487,90.7963,91.2937,14824806
20150507,91.0622,93.0686,90.0504,92.2883,12131047
20150508,92.7943,93.3773,91.9368,92.6914,8303757
20150511,93.1115,93.343,92.1083,92.8628,11205821
20150512,93.0343,93.3602,91.0021,91.5509,7637918
20150513,91.7481,93.1887,90.8307,92.9914,8023000
20150514,93.0858,93.0858,91.4137,92.0054,5469907
20150515,91.9196,92.88,91.7481,92.3398,5391273
20150518,92.4341,93.4631,91.8167,93.3344,5679331
20150519,93.4631,95.1351,93.223,94.7664,12356226
20150520,95.1351,96.8757,94.775,96.7214,7847779
20150521,97.0644,97.0816,95.7782,96.7643,7785822
20150522,96.1297,96.5328,95.1094,96.1212,10580120
20150525,96.2069,96.9786,95.6067,96.5671,8279640
20150526,96.1298,96.6871,95.3666,95.7353,6425326
20150527,95.3923,95.641,93.6431,94.7235,8946008
20150528,94.9207,95.641,92.82,95.1008,12361740
20150529,95.1094,96.8929,95.1094,96.327,17654976
20150601,96.0354,97.3988,95.821,96.6442,4461161
20150602,96.3698,96.3784,93.6431,94.1147,5428366
20150603,94.3634,95.7353,93.3001,93.5659,9938402
20150604,93.8061,96.1898,93.8061,94.7836,12418162
20150605,95.0579,96.8843,94.4234,95.3152,9048973
20150608,95.3152,96.327,94.4063,95.178,6071763
20150609,94.8693,95.581,92.7085,93.2144,6360473
20150610,93.0343,97.2273,92.8971,96.507,9516498
20150611,96.8929,97.0644,93.1286,93.6431,10654536
20150612,93.6431,95.0751,90.7192,92.1511,11815543
20150615,91.9196,93.9775,91.2079,92.7599,5508510
20150616,93.1201,93.7117,91.7567,92.6571,6020206
20150617,92.9486,94.9979,92.7942,93.7289,7280782
20150618,93.8918,96.104,93.4116,95.3666,9528344
20150619,95.7696,99.0794,95.4867,96.3012,27555342
20150622,96.0183,96.6442,94.8436,96.0697,8081059
20150623,96.7214,96.7214,95.178,95.5896,5694782
20150624,95.6925,97.4074,95.521,96.9615,7592163
20150625,96.6357,96.7043,94.2776,94.6892,11733234
20150626,95.0236,96.2669,95.0236,95.8039,4171246
20150629,94.8522,95.1694,92.9915,94.7321,4477214
20150630,94.6635,95.1008,93.4631,93.7546,8373885
20150701,93.3001,95.3495,92.82,94.7921,6424723
20150702,95.3409,96.1212,94.1576,95.3066,5362553
20150703,94.9036,95.0751,93.9775,94.2433,4578990
20150706,93.3859,94.6206,93.2401,94.3291,3867641
20150707,94.9207,96.4299,94.7835,94.9722,4165118
20150708,94.5091,95.8211,94.149,94.7921,5195982
20150709,94.7836,95.4267,93.163,93.4459,3664431
20150710,94.3205,95.0751,93.5574,94.089,5939475
20150713,94.1662,96.3784,94.1662,95.9754,4831150
20150714,95.6067,97.3045,95.3323,96.9615,3293913
20150715,97.4074,99.431,97.1587,99.0794,8716285
20150716,99.2766,99.8083,98.1276,98.6593,4637732
20150717,98.9508,99.4481,96.9272,97.4674,5034174
20150720,97.9275,99.4381,97.5803,98.7262,3991263
20150721,98.5439,101.5911,98.5092,100.1153,8343864
20150722,100.7056,102.1988,100.0111,101.5043,5474926
20150723,102.0252,103.1017,99.7767,102.277,11890199
20150724,101.2352,101.7474,98.1359,98.405,12045388
20150727,98.1011,98.9259,97.1896,97.5195,5267502
20150728,97.4934,97.6237,96.1044,96.6513,8265859
20150729,96.7121,98.622,96.7034,98.0751,6008291
20150730,98.622,98.9172,96.4864,97.5802,5578062
20150731,97.7539,99.3166,97.7452,98.9433,7047102
20150803,99.1429,99.9937,98.7957,99.0388,3455284
20150804,99.1256,99.1256,96.7989,97.2069,7786595
20150805,97.45,100.3583,97.207,99.8982,5696430
20150806,100.532,100.6622,98.7957,99.2471,5022969
20150807,99.2471,99.9937,98.2835,98.813,4219929
20150810,98.6307,99.5683,97.2504,97.832,3854564
20150811,98.2748,98.5265,96.3735,98.3008,6672931
20150812,97.6237,100.9313,97.6237,100.3149,7323971
20150813,100.2802,100.6188,98.2401,99.1777,5510921
20150814,99.1776,100.3236,98.3876,99.8808,4568222
20150817,99.9763,100.532,98.7696,99.985,2212863
20150818,100.3062,102.0078,98.7088,99.169,7479918
20150819,99.6117,101.8776,99.3166,101.5303,5814979
20150820,101.5738,101.8082,99.6204,100.1413,6423955
20150821,99.8027,100.1847,97.8754,100.0111,7385267
20150824,98.787,99.6638,93.0832,94.5157,11884861
20150825,95.3838,95.7571,91.7289,93.9861,15297276
20150826,94.6112,96.6426,94.2986,95.6616,11044007
20150827,96.7902,96.7902,94.9063,95.7311,12857543
20150828,96.2433,98.1793,95.9047,97.8581,5714915
20150831,97.8581,99.8375,97.3545,99.2818,8954392
20150901,99.195,99.3165,97.233,97.9535,7103043
20150902,98.3008,98.8304,95.3578,96.2346,6572206
20150903,97.0593,98.622,96.9812,98.4744,3285449
20150904,98.622,99.2471,95.0105,96.1912,7928355
20150907,96.1738,96.6774,94.481,95.8613,5709214
20150908,95.5488,98.2748,95.4967,97.8581,4094153
20150909,98.4137,99.5857,96.9205,97.424,4099134
20150910,96.3648,97.1896,95.5575,95.8613,8775869
20150911,96.3648,97.7278,96.3301,97.0767,4084660
20150914,97.4066,99.6117,97.0941,99.2558,10684962
20150915,98.7957,99.6638,98.2835,99.1603,4937700
20150916,99.6465,101.0529,99.2211,100.8011,9941709
20150918,100.8272,103.3101,100.7056,102.7892,9898909
20150921,102.4072,103.6573,101.4869,102.8239,11840733
20150922,102.7892,104.9161,102.4419,103.4663,18028038
20150923,102.2856,103.5531,101.0789,102.5721,7529166
20150924,103.1364,105.029,101.921,104.7078,11094738
20150928,104.5255,104.5255,102.4506,102.9541,5322644
20150929,101.6779,103.8136,101.5737,102.1467,8118296
20150930,103.1538,103.9959,102.7892,103.8049,9590429
20151001,103.8396,106.4875,103.7181,104.1348,18667659
20151005,104.2477,105.8971,103.6747,104.2303,9100269
20151006,104.5949,105.9145,103.8657,104.0653,8106115
20151007,104.1435,104.1435,101.5737,102.2422,4985700
20151008,102.7197,103.6486,101.6866,102.4072,5878542
20151009,103.4316,103.5965,101.6085,102.8499,7196840
20151012,104.1782,104.1782,101.0529,101.3914,5656995
20151013,101.5738,103.0843,101.3394,101.6345,5195476
20151014,101.0702,103.2146,100.8879,101.2091,5600910
20151015,102.086,102.086,100.0284,100.2021,4486078
20151016,100.532,101.0789,98.2053,100.176,4888068
20151019,101.0355,101.4435,99.1603,100.2802,5330665
20151020,100.532,100.6882,98.9693,99.2818,7156819
20151021,99.8027,100.6188,99.1777,100.3323,5404803
20151023,99.6291,99.6291,98.0404,98.5786,9916189
20151026,99.0735,99.7159,98.2227,98.8044,5681966
20151027,99.0127,100.2541,98.2748,99.8548,15674230
20151028,99.8201,100.9226,98.9259,100.3583,7496963
20151029,100.5407,100.6882,99.1429,99.768,8150157
20151030,99.4034,100.5406,98.8217,99.4641,6049662
20151102,99.577,100.2455,98.7088,99.8635,9695048
20151103,99.8635,100.6448,99.2037,99.7072,5637257
20151104,100.2021,100.5233,99.2211,99.4989,4350852
20151105,99.5336,99.8201,98.8564,99.1169,3277977
20151106,98.6654,99.4294,98.3963,98.9606,3659753
20151109,97.8407,98.4484,96.5732,97.2764,7082536
20151110,97.3979,97.5455,95.7484,96.5471,7630478
20151113,96.1912,96.4082,95.5661,95.7571,3326617
20151116,95.4793,96.877,94.151,96.1044,5924403
20151117,96.7121,96.7121,95.6703,96.5124,7816195
20151118,96.1044,96.6861,95.6964,96.252,6561801
20151119,96.443,97.5802,95.9568,96.6687,5367129
20151120,97.5282,99.8374,96.8857,98.9172,9887773
20151123,99.6551,100.0371,98.5439,98.9867,5929566
20151124,99.5249,100.2542,97.6671,97.9015,5441907
20151126,97.0594,99.4815,97.0594,98.8825,10273112
20151127,98.8825,99.0388,98.0838,98.9606,7137918
20151130,98.7957,99.9677,98.4831,98.9606,22234597
20151201,100.5667,101.9991,100.5667,101.0442,9200387
20151202,101.539,101.6432,100.0198,100.3149,3787604
20151203,101.5738,101.5738,98.8478,99.4121,6974419
20151204,99.3773,99.3773,97.615,98.8477,5513331
20151207,99.2905,100.2542,98.6047,100.0198,6213411
20151208,99.6985,100.5146,97.9883,98.3963,3736804
20151209,97.9275,99.6378,97.6757,98.1532,4223545
20151210,98.4571,98.9693,97.1722,98.1185,6014387
20151211,98.4484,98.5786,97.3372,98.2574,3691311
20151214,97.7886,98.9693,97.233,98.4571,3973023
20151215,98.6915,98.9693,96.6079,97.042,6393961
20151216,95.8873,97.0333,95.8873,96.3562,10970066
20151217,96.7989,96.9552,96.0349,96.5558,10163672
20151218,96.1912,96.7729,95.5748,96.2259,14961660
20151221,96.1565,97.1028,95.2362,96.5124,6207683
20151222,96.3301,96.7989,96.0176,96.443,6653875
20151223,97.233,97.233,96.1912,96.5906,4221929
20151224,96.6253,97.1983,96.278,96.7468,2154842
20151228,96.4603,97.9275,96.4603,97.4848,5220702
20151229,97.5629,98.6568,97.0507,97.9362,4268569
20151230,98.2574,98.622,96.5385,96.9031,2678249
20151231,96.8857,97.8233,96.7121,97.2156,7054776
20160101,97.1983,97.1983,96.2086,96.6166,3165524
20160104,96.7121,97.233,96.5385,96.8336,3431636
20160105,97.5803,98.1011,96.2346,96.6947,4687529
20160106,96.7121,97.1983,96.0176,96.3822,6123539
20160107,96.0176,96.7902,94.9931,95.4706,11168290
20160108,95.8613,96.8597,95.4186,96.5037,4648302
20160111,95.844,96.1825,92.7881,93.3176,9954184
20160112,93.1527,95.6703,92.2324,95.3057,6982168
20160113,94.9758,95.8266,93.8385,94.889,3587567
20160114,94.6285,95.4793,93.0659,94.6719,5838665
20160115,94.9063,95.297,93.2395,94.2986,3334175
20160118,93.2395,95.6356,92.1543,95.0018,9031923
20160119,95.1494,95.8439,93.4131,94.1076,5106281
20160120,93.5954,95.8266,92.5797,94.2031,6238110
20160121,94.0295,96.3648,94.0295,95.6356,9300264
20160122,96.4864,96.4864,94.9932,95.514,4445262
20160125,96.0047,96.3376,95.2863,95.8557,4242825
20160127,96.3726,97.24,95.2424,96.8195,11160519
20160128,96.9333,97.0209,95.3914,95.8908,6459529
20160129,96.1273,99.1236,96.1273,98.6155,7734574
20160201,99.1061,100.5605,97.6518,99.5529,8037187
20160202,99.8946,100.1487,98.8608,99.3952,6855160
20160203,99.2638,99.2638,97.0823,97.7394,3213476
20160204,98.1774,98.414,97.021,98.1161,5609982
20160205,98.1249,99.1411,97.3188,97.7569,5742094
20160208,97.7832,98.1599,95.1987,95.4965,4384750
20160209,94.6029,94.6029,93.5691,93.9633,4267924
20160210,93.9633,94.0334,92.5177,93.0784,5157374
20160211,93.0784,93.2712,89.9069,90.6253,5269476
20160212,91.957,92.7718,89.0571,90.6428,9598621
20160215,91.6241,92.4477,90.7918,92.1235,5214324
20160216,92.3425,92.9558,91.3175,92.2724,3685887
20160217,91.6416,92.8594,90.6341,92.3337,5763710
20160218,92.5353,95.2863,92.5353,94.8482,4740372
20160219,94.8657,96.285,94.2963,95.9083,5768537
20160222,95.882,96.0397,94.0071,95.1023,4520996
20160223,94.9971,95.2687,93.8494,94.6116,5036873
20160224,94.6379,95.0147,92.9558,93.5603,5189321
20160225,93.6392,94.4014,91.4839,93.5428,5119049
20160226,94.6555,94.9533,92.29,92.9558,5250574
20160229,92.693,93.1923,88.9958,91.1598,11091282
20160301,91.9921,94.4452,91.7205,93.8231,9201448
20160302,94.6204,94.9446,92.8945,94.5415,9548461
20160303,94.6467,96.101,93.7881,95.0935,6511139
20160304,95.479,95.6104,93.7618,94.086,8533469
20160308,94.2174,95.2337,93.6041,94.8745,8277325
20160309,94.9709,94.9709,93.4377,94.2962,10597186
20160310,94.4539,94.6029,93.3413,93.8932,6464851
20160311,93.8845,94.5854,93.8669,94.4452,5963203
20160314,95.1461,95.1461,94.0071,94.7694,5552606
20160315,94.8832,95.1461,92.5878,93.4289,10384866
20160316,93.7618,94.708,92.8769,94.3488,10071645
20160317,94.9008,95.3125,93.8494,94.4802,9839474
20160318,94.7168,97.0385,94.708,96.5917,13512583
20160321,97.1436,98.5454,94.9358,97.5028,5891875
20160322,97.5116,97.5291,96.5654,96.872,7905422
20160323,96.3902,97.9847,95.6367,97.3802,7693379
20160328,97.8708,98.7557,96.25,97.4503,7775976
20160329,97.5992,97.9497,96.0222,96.9246,8018333
20160330,96.8457,98.7644,96.5917,98.4666,7883464
20160331,98.449,99.8771,97.6342,98.8696,20671520
20160401,99.3514,100.3152,97.6343,98.5016,7355416
20160404,99.3339,100.0699,98.6768,99.22,3719124
20160405,99.22,99.2813,97.643,97.9496,4395422
20160406,98.1249,98.4753,96.8545,97.8095,5808793
20160407,97.7744,98.1249,96.434,96.688,3246500
20160408,96.0222,96.6179,95.7593,96.2938,5016142
20160411,96.1974,99.6318,95.0059,99.1324,5949523
20160412,99.0536,100.1837,98.3176,99.7983,4493886
20160413,102.155,103.7145,101.7257,102.4879,10674994
20160418,103.2063,104.1701,101.6644,103.1362,13105324
20160420,104.7833,106.3604,103.3115,105.3528,25034223
20160421,99.8771,100.8671,97.5729,97.9234,30976914
20160422,98.1249,98.5892,97.2663,97.7657,11492685
20160425,97.7919,98.4315,96.5654,96.8019,9151325
20160426,96.7932,97.7744,96.4077,97.1524,9657501
20160427,96.7669,98.3439,96.7669,98.1249,4790110
20160428,98.0372,98.8258,96.5479,96.9158,14505825
20160429,97.2487,97.5642,96.0835,97.1349,6830286
20160502,96.5479,96.8895,95.5491,96.1098,5296409
20160503,96.1974,96.3288,94.4539,95.295,9210403
20160504,95.0585,95.2162,94.0947,94.6204,6997112
20160505,94.4452,95.5491,94.0947,95.1636,5824718
20160506,95.7944,95.7944,93.1486,93.4114,6870419
20160509,93.3851,94.6379,93.131,94.4452,5356158
20160510,94.4014,94.9884,93.6479,94.3839,5211513
20160511,93.6392,94.524,93.4114,94.2349,3859455
20160512,94.27,95.1899,93.867,95.0234,5328180
20160513,95.0935,95.0935,94.0947,94.5591,4528516
20160516,94.7431,95.2337,93.9546,94.7606,6225662
20160517,94.9709,95.0409,94.2787,94.6467,6809208
20160518,94.4277,94.7693,93.7443,94.5415,7621128
20160519,94.6204,95.3125,94.1386,95.1373,6685262
20160520,95.2162,96.0134,95.0585,95.2162,4706510
20160523,95.3213,95.4001,94.3225,94.5941,4875689
20160524,94.5941,94.6905,93.8407,94.2086,5286206
20160525,94.6204,95.8382,94.4452,95.6893,6641075
20160526,95.6893,96.1624,95.1461,95.4878,6586563
20160527,95.1724,96.5479,95.1461,95.5666,6460681
20160530,95.882,96.8107,95.4001,96.3989,5706643
20160531,96.5479,96.7231,95.2074,95.5754,11040471
20160601,95.6017,97.3889,95.6017,97.1611,5452990
20160602,97.424,97.9409,93.6479,94.6905,13762753
20160603,94.8833,95.2337,94.4452,94.7606,7088563
20160606,94.7956,94.9533,93.4639,93.7618,10304205
20160607,94.6204,94.8219,94.1298,94.5941,10313858
20160608,94.7956,95.5053,94.6204,95.4264,8129181
20160609,95.8645,95.8645,95.0059,95.4615,9430088
20160610,95.4089,95.8733,95.1461,95.5579,6359182
20160613,94.7256,95.444,94.4189,94.8307,3480377
20160614,94.8307,95.3213,94.6204,95.1636,5602446
20160615,95.6367,95.9784,95.0234,95.8557,2263231
20160616,95.6192,96.5479,94.892,96.3551,3681988
20160617,96.6004,97.0735,96.1974,96.7318,8613805
20160620,96.3726,97.9234,95.5141,97.608,7409230
