Date,Open,High,Low,Close,Volume
20210723,116.0,138.9,115.0,126.0,694895290
20210726,126.35,143.75,125.3,140.65,249723854
20210727,141.7,147.8,127.75,132.9,240341900
20210728,131.0,135.0,123.55,131.2,159793731
20210729,134.95,144.0,132.2,141.55,117973089
20210730,142.6,142.7,131.0,133.5,88312522
20210802,135.75,140.75,135.15,139.7,66909732
20210803,137.0,140.8,137.0,139.4,46610001
20210804,139.8,141.0,135.25,138.4,41134419
20210805,138.75,138.9,132.0,134.95,38437134
20210806,135.5,136.2,130.1,131.35,31975356
20210809,132.4,133.55,127.25,130.6,41358299
20210810,131.0,131.45,122.1,125.2,43164004
20210811,123.0,138.75,123.0,135.65,111702781
20210812,135.65,137.4,132.05,135.45,51256670
20210813,133.85,139.75,132.1,137.35,33674300
20210816,136.4,136.9,132.25,134.95,20305361
20210817,132.8,134.35,130.6,132.5,15815187
20210818,134.5,136.8,133.3,134.95,22566920
20210820,134.95,141.45,133.0,139.3,53789580
20210823,137.8,137.8,124.75,127.25,68470861
20210824,127.25,127.95,120.5,125.0,56713556
20210825,126.0,128.5,123.1,124.25,51078811
20210826,125.25,127.15,124.35,125.85,20645403
20210827,126.6,129.5,124.1,124.7,22227595
20210830,127.85,135.45,127.55,133.55,45239080
20210831,134.0,135.2,131.35,134.55,24640924
20210901,134.55,135.1,130.7,132.6,16162269
20210902,132.0,138.5,131.5,137.6,27882466
20210903,135.95,151.4,135.6,149.75,113381518
20210906,149.25,149.35,143.25,144.05,34811620
20210907,144.9,146.85,138.55,140.05,30421931
20210908,141.0,143.6,139.05,141.25,28133284
20210909,141.4,142.9,140.0,141.6,18970691
20210913,143.25,144.25,142.0,143.15,17426798
20210914,145.15,152.75,136.2,144.1,112358935
20210915,142.95,145.0,140.75,142.65,38892545
20210916,143.0,144.0,141.5,142.05,17634206
20210917,142.55,146.9,137.15,137.9,23264091
20210920,137.7,140.85,133.25,134.3,19799941
20210921,137.2,138.0,131.0,133.45,19330196
20210922,135.4,135.4,131.3,132.1,16923375
20210923,134.5,140.4,133.05,137.3,31779169
20210924,137.55,139.5,136.05,136.65,13099391
20210927,139.85,144.75,138.0,143.7,26041244
20210928,143.9,143.9,137.65,139.0,13489232
20210929,138.0,139.5,136.5,138.5,10801439
20210930,139.2,139.2,136.15,136.6,7825751
20211001,137.3,140.5,137.0,138.0,11940576
20211004,139.1,140.0,138.0,139.1,11995299
20211005,138.75,138.8,137.15,137.95,10912142
20211006,138.75,139.2,133.7,134.95,9988184
20211007,136.75,138.45,136.05,137.1,7317664
20211008,138.0,138.0,135.7,136.15,6207969
20211011,137.5,137.5,136.15,136.85,4395523
20211012,137.3,137.75,135.5,136.6,5600652
20211013,137.25,137.4,134.35,135.45,6351349
20211014,135.9,137.3,133.7,135.0,8688177
20211018,136.0,146.15,135.9,144.05,31446800
20211019,144.9,145.1,137.25,138.55,14688308
20211020,138.5,140.4,133.85,137.9,12607297
20211021,139.75,139.9,135.8,138.15,5951873
20211022,138.95,142.0,135.8,137.75,11468458
20211025,138.0,138.95,131.55,132.7,13530512
20211026,133.0,137.35,133.0,135.45,6445894
20211027,136.2,139.25,134.5,134.8,8982174
20211028,135.35,136.5,131.5,135.6,11936370
20211029,135.0,135.0,130.5,131.55,12925877
20211101,133.6,134.3,132.0,132.65,6200243
20211102,132.7,133.6,131.75,132.45,7367792
20211103,132.9,132.9,127.5,128.35,15919925
20211104,130.0,132.4,130.0,131.35,4101820
20211108,132.95,133.6,130.6,131.15,17645794
20211109,133.0,138.9,131.65,137.65,26457361
20211110,136.5,139.15,135.0,136.05,16816048
20211111,142.0,144.0,132.6,140.9,83582039
20211112,142.0,155.2,142.0,153.0,140547798
20211115,149.0,163.3,142.35,160.3,121197599
20211116,161.15,169.0,153.8,157.6,109342731
20211117,155.95,162.25,154.25,156.55,44505156
20211118,158.9,161.85,152.5,154.7,46802082
20211122,158.25,158.25,136.8,149.75,79417849
20211123,150.0,152.0,144.25,148.7,38236588
20211124,151.1,156.4,149.6,155.5,53749976
20211125,157.0,161.3,154.05,159.75,48900473
20211126,158.45,158.45,146.25,148.15,35968151
20211129,148.8,153.9,137.5,149.1,43972445
20211130,149.95,158.0,145.3,152.55,258130152
20211201,153.0,157.9,149.45,151.4,32604856
20211202,151.6,153.8,147.8,150.65,23508261
20211203,152.1,152.8,143.85,144.9,26452896
20211206,146.6,146.85,135.3,138.55,33244501
20211207,141.35,143.8,138.65,139.8,36835410
20211208,141.0,148.6,140.25,147.6,37324365
20211209,148.65,148.65,145.3,146.25,18377899
20211210,144.1,146.4,139.75,140.55,27881031
20211213,142.2,144.45,141.9,142.65,20318225
20211214,144.7,144.95,140.0,140.65,19474412
20211215,140.5,142.0,140.0,140.6,12791660
20211216,141.9,142.85,137.4,138.4,17182101
20211217,138.95,141.0,132.35,135.35,95386202
20211220,135.3,135.75,124.6,126.55,36064413
20211221,128.85,132.85,128.6,131.6,20442777
20211222,133.05,139.75,133.0,138.65,19425711
20211223,140.05,140.75,132.1,133.0,21934786
20211224,134.5,134.5,129.6,131.45,17625584
20211227,131.35,133.85,128.0,132.75,13934154
20211228,133.7,134.0,131.65,132.85,11170275
20211229,132.7,137.7,131.55,137.1,18914246
20211230,137.05,137.05,133.3,133.95,8369208
20211231,133.85,138.4,133.4,137.4,11452243
20220103,139.7,142.45,138.3,141.35,22518241
20220104,141.35,141.55,137.6,138.35,10705792
20220105,137.9,137.9,133.3,133.95,15874857
20220106,133.0,133.15,129.6,130.0,23780419
20220107,130.0,131.45,129.0,129.25,22846951
20220110,130.5,130.9,129.4,130.2,11389370
20220111,131.0,132.5,130.0,131.3,15396652
20220112,132.1,132.9,131.6,132.25,8004430
