Date,Open,High,Low,Close,Volume
20150303,276.1794,277.2727,272.4785,274.2259,362105
20150304,276.968,276.968,272.9535,274.1901,524210
20150305,273.4912,276.8963,271.0269,274.1274,289100
20150309,275.1041,276.4841,268.6521,270.7849,317280
20150310,271.5196,275.1399,268.4729,268.8492,1064420
20150311,269.1898,272.4158,266.9406,270.068,401200
20150312,270.982,287.3449,268.8493,282.0489,1942105
20150313,284.782,291.2339,279.6025,283.9128,879235
20150316,286.2158,289.5762,280.3284,283.4558,534520
20150317,285.0688,307.3549,282.3178,301.3331,4466690
20150318,311.1633,313.4215,292.3093,293.7162,1334140
20150319,295.7145,298.4118,283.1691,287.1388,795710
20150320,287.1119,299.9442,284.4595,288.483,734470
20150323,288.5456,296.5658,288.5456,293.9044,593110
20150324,296.4314,304.4963,290.3379,300.4908,977380
20150325,304.6756,306.9875,301.4496,304.7831,1340765
20150326,304.6756,305.5627,293.8059,297.8921,511825
20150327,301.9872,308.9768,294.2807,296.6016,740890
20150330,299.0033,311.8444,292.1301,303.9766,700555
20150331,307.5431,316.1099,305.2133,312.167,774170
20150401,314.5327,322.0241,311.3157,320.8323,1510745
20150406,322.5976,348.5309,320.5097,341.2635,1673210
20150407,345.8964,358.4418,337.9479,340.0448,2228270
20150408,343.0289,344.149,338.7276,340.4212,949695
20150409,345.3587,345.8964,326.4599,330.5999,440965
20150410,332.885,332.885,321.0206,323.1085,555900
20150413,325.1068,325.1068,316.3429,320.1513,599135
20150415,320.2678,329.7665,315.4378,318.5652,529230
20150416,319.3717,326.0029,314.1832,321.0474,521715
20150417,321.1639,327.0782,308.4393,310.7512,595630
20150420,313.6367,313.6367,304.1469,311.2441,394775
20150421,312.2028,319.5957,307.4714,315.2496,962165
20150422,317.239,321.7016,311.486,314.0041,337925
20150423,315.4288,318.0006,312.0236,315.5184,478440
20150424,317.0418,322.4364,309.7027,316.773,517560
20150427,316.773,316.773,302.8834,304.9982,362910
20150428,306.4678,306.4678,291.4132,297.8114,703805
20150429,299.1197,309.873,296.4762,299.6126,520285
20150430,301.0912,309.2995,299.299,304.9982,389390
20150504,304.6755,319.73,304.6665,316.7281,279835
20150505,318.1172,319.0133,314.3535,316.1637,244745
