date,ticker,action,quantity,price,value
2015-03-31,ABB,BUY,18,1090.088623046875,19621.59521484375
2015-03-31,ADANIENT,BUY,181,88.6963119506836,16054.03246307373
2015-03-31,ASIANPAINT,BUY,17,751.0789184570312,12768.341613769531
2015-03-31,AMBUJACEM,BUY,47,218.40733337402344,10265.144668579102
2015-04-01,ABB,SELL,18,1105.0977783203125,19891.760009765625
2015-04-01,ADANIENT,SELL,181,88.2710952758789,15977.068244934082
2015-04-01,ASIANPAINT,SELL,17,760.70703125,12932.01953125
2015-04-01,AMBUJACEM,SELL,47,222.64198303222656,10464.173202514648
2015-04-06,ABB,BUY,17,1162.798583984375,19767.575927734375
2015-04-06,ADANIENT,BUY,178,90.66381072998047,16138.158309936523
2015-04-06,ASIANPAINT,BUY,16,763.2991943359375,12212.787109375
2015-04-06,AMBUJACEM,BUY,46,223.7113800048828,10290.72348022461
2015-04-07,ABB,SELL,17,1164.355712890625,19794.047119140625
2015-04-07,ADANIENT,SELL,178,92.38627624511719,16444.75717163086
2015-04-07,ASIANPAINT,SELL,16,773.2049560546875,12371.279296875
2015-04-07,AMBUJACEM,SELL,46,222.51365661621094,10235.628204345703
2015-04-08,ABB,BUY,16,1196.2769775390625,19140.431640625
2015-04-08,ADANIENT,BUY,176,92.94843292236328,16358.924194335938
2015-04-08,ASIANPAINT,BUY,16,783.9901123046875,12543.841796875
2015-04-08,AMBUJACEM,BUY,48,220.41773986816406,10580.051513671875
2015-04-09,ADANIENT,SELL,176,92.24935150146484,16235.885864257812
2015-04-09,AMBUJACEM,SELL,48,219.13446044921875,10518.4541015625
2015-04-10,ADANIENT,BUY,150,91.96827697753906,13795.24154663086
2015-04-10,AMBUJACEM,BUY,50,220.97378540039062,11048.689270019531
2015-04-21,AMBUJACEM,SELL,50,205.31825256347656,10265.912628173828
2015-04-22,AMBUJACEM,BUY,52,207.072021484375,10767.7451171875
2015-04-23,AMBUJACEM,SELL,52,203.26510620117188,10569.785522460938
2015-04-24,ASIANPAINT,SELL,16,714.0942993164062,11425.5087890625
2015-04-24,AMBUJACEM,BUY,65,199.62924194335938,12975.90072631836
2015-04-27,ASIANPAINT,BUY,15,689.5151977539062,10342.727966308594
2015-04-27,AMBUJACEM,SELL,65,196.89166259765625,12797.958068847656
2015-04-28,ASIANPAINT,SELL,15,708.63232421875,10629.48486328125
2015-04-28,AMBUJACEM,BUY,66,197.23385620117188,13017.434509277344
2015-04-29,ASIANPAINT,BUY,15,698.402587890625,10476.038818359375
2015-04-29,AMBUJACEM,SELL,66,203.8639373779297,13455.01986694336
2015-04-30,ABB,SELL,16,1159.2032470703125,18547.251953125
2015-04-30,ASIANPAINT,SELL,15,705.8551635742188,10587.827453613281
2015-04-30,AMBUJACEM,BUY,85,198.81654357910156,16899.406204223633
2015-05-04,ABB,BUY,11,1198.2091064453125,13180.300170898438
2015-05-04,ASIANPAINT,BUY,15,721.5469360351562,10823.204040527344
2015-05-04,AMBUJACEM,SELL,85,206.43040466308594,17546.584396362305
2015-05-05,ABB,SELL,11,1217.169677734375,13388.866455078125
2015-05-05,ASIANPAINT,SELL,15,723.3984375,10850.9765625
2015-05-05,AMBUJACEM,BUY,83,204.63389587402344,16984.613357543945
2015-05-06,ABB,BUY,11,1187.1448974609375,13058.593872070312
2015-05-06,ASIANPAINT,BUY,15,704.3738403320312,10565.607604980469
2015-05-06,AMBUJACEM,SELL,83,194.02578735351562,16104.140350341797
2015-05-07,ABB,SELL,11,1194.13037109375,13135.43408203125
